跟随着小红娘就能见着她,237,那就是来了我西厢带路的小红娘。
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,9631979.1864692178,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,9675423.2991311122,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,9679705.3316099513,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,9708435.2211205047,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,9775760.0083394479,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,9801579.8356042057,0.0
daspd-DuShouKong-WangJiangTing.xml_1,芳心寂寞有谁怜，,9829460.021310078,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,9829979.5456438251,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,9830237.0321437009,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,9860067.3306229729,0.0
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,9952259.4181803502,0.09090909090909091
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,10000584.808871103,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,10016258.144020097,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,10023144.604600497,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,10060575.03933497,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,10063329.762399688,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,10065471.013111299,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_1,算当初曾经得几晌温存。,10086389.968315845,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,10087822.255543614,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,10102839.690329753,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,10114050.258801309,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,10128784.822115121,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,10136739.158979217,0.18181818181818182
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_0,海岛冰轮初转腾；,10174855.833929177,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,10257107.002777766,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,10285424.105237719,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,10293831.469727147,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,10299587.481182605,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,10305215.236924933,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,10305756.968749456,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,10315028.395068018,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_1,见玉兔（哇）玉兔又早东升。,10327878.257157341,0.09090909090909091
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,10380244.397549381,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,10408684.914933104,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,10445789.135229234,0.0
daxp-ZhiJianTa-WangJiangTing.xml_6,低下头心生计，,10464936.296726666,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,10484856.186240092,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,10488672.188052749,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,10512697.050140874,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,10523921.134457704,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,10582293.066832021,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_3,莫负他好春宵一刻千金。,10601157.365160797,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,10627974.016316589,0.09090909090909091
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,10633691.273795931,0.09090909090909091
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,10688233.411959087,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,10711929.592728706,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,10723649.436317863,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,10736412.522164196,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,10736657.992431019,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,10747759.993838212,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,10750292.796852689,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,10783807.819508364,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,10783807.819508364,0.09090909090909091
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,10798242.338095732,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,10803850.923434198,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,10809210.110648435,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,10834924.290860808,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,10839414.834480025,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,10916881.897501614,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,11064284.528030625,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,11066234.03482046,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_5,待我来搀扶（哇）你重订鸳盟。,11075027.859836712,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,11104686.911603224,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,11135307.19574626,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,11160803.315336255,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,11171743.555060999,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,11174311.4120802,0.09090909090909091
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,11208348.772316886,0.09090909090909091
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_5,恰便似嫦娥离月宫，,11221747.660748962,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,11248623.489253957,0.09090909090909091
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,11255393.535037346,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,11272031.510635834,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,11298448.697278524,0.0
daxp-ZhiJianTa-WangJiangTing.xml_3,害得儿夫犯焦急；,11387039.239110835,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,11403302.127163874,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,11486548.908146374,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,11487578.902779117,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,11519096.471784113,0.0
daxp-GuanShiYin-TianNvSanHua.xml_7,催祥云驾瑞彩速赴佛场。,11583256.362383928,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,11614742.722698735,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,11620852.494601486,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,11623015.997893412,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,11664229.691934606,0.09090909090909091
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,11692720.079584032,0.0
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,11713858.161913555,0.0
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,11714423.083259804,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,11752490.984737758,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,11761339.277003935,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,11867733.442823393,0.0
daxp-ZheCaiShi-SuoLinNang.xml_1,不想团圆在今朝。,11867733.442823393,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,11877253.605265507,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,11894682.940874495,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,11918174.073489929,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,11923301.039496357,0.0
danbz-KanDaWang-BaWangBieJi.xml_1,我这里出帐外且散愁情。,11935716.40508402,0.0
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,11956444.725999942,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,11984381.156834653,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,12045990.706545871,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,12087247.74478074,0.18181818181818182
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,12088538.019565791,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,12100392.724726332,0.0
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,12166978.384793445,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,12171056.451832028,0.09090909090909091
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,12195236.893342743,0.09090909090909091
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,12247107.860221012,0.09090909090909091
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,12289939.422306716,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,12353515.346922768,0.09090909090909091
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,12403946.598332979,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,12406300.715186158,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,12422734.824038284,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,12481081.808695592,0.0
daxp-ZhiJianTa-WangJiangTing.xml_0,只见他一封书信握手里，,12534224.967538716,0.09090909090909091
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,12620673.113720573,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,12638234.816613425,0.0
danbz-KanDaWang-BaWangBieJi.xml_0,看大王在帐中和衣睡稳，,12653369.065770179,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,12734394.971158199,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,12737984.235057797,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,12769184.412447013,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,12781260.767094657,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,12806877.483624129,0.09090909090909091
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,12825094.107957749,0.09090909090909091
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,12902521.84883848,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,12934582.547619708,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,12944824.927499913,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,12962389.368848631,0.0
daxp-ZhiJianTa-WangJiangTing.xml_8,出二堂深施礼，,12983180.250353783,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,13003248.43093778,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,13017328.554447114,0.18181818181818182
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,13129040.396217087,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,13170606.979629634,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,13183290.390075335,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,13219094.764704058,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,13252572.776513368,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_4,皓月当空，,13252753.025107343,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,13349969.196826674,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,13382852.311880048,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,13440153.878873438,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,13467357.934468534,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,13485048.69642113,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,13509028.692565149,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,13544226.764734108,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,13556525.22378053,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,13590502.465867054,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,13633370.633735452,0.0
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,13671909.289976493,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,13846607.105026836,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,13874216.644728333,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,13893596.060034478,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,13954040.763354409,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,14034735.72716788,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,14074910.426782669,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,14086907.440998005,0.0
daxp-ZhiJianTa-WangJiangTing.xml_1,长吁短叹语声低。,14109845.185203973,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,14130532.760273643,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,14327582.993014259,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,14396573.869901286,0.0
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,14398081.01406941,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,14469100.389452232,0.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,14585179.650267044,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_2,我不免去安排罗衾绣枕，,14614339.916754147,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,14641222.885780273,0.0
daeh-TanHongYan-HuoXiaoYu.xml_1,美满姻缘付东流。,14725465.769860271,0.0
daxp-XiShiNv-XiShi.xml_3,每日里浣纱去又傍清溪。,14761102.119402513,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,14830003.17778101,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,14864227.100267388,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,14889478.840478521,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,14949145.880734419,0.09090909090909091
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,14977081.727754408,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,14988089.226153076,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,15023042.74491271,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,15050664.265350996,0.0
daxp-ZhiJianTa-WangJiangTing.xml_2,何人来把书信寄？,15054729.81727357,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,15072620.961190773,0.0
daxp-ZheCaiShi-SuoLinNang.xml_6,种福得福如此报，,15131764.217712078,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,15230637.390484916,0.0
daxp-GuanShiYin-TianNvSanHua.xml_4,绿柳枝酒甘露三千界上，,15247956.332473671,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,15252765.802641461,0.0
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,15298633.727106271,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,15298633.727106271,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,15307603.173986146,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,15410323.70685041,0.09090909090909091
daxp-XiRiLiang-LongFengChengXiang.xml_1,今朝仙女会襄王。,15450374.846110774,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,15475132.934327293,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,15487015.77612327,0.0
daxp-ZheCaiShi-SuoLinNang.xml_0,这才是人生难预料，,15550927.713609969,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,15640156.40126578,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,15655310.67278509,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,15680033.106697978,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,15807958.197570978,0.09090909090909091
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,15939116.532750981,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,16209205.623315411,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,16553361.726007843,0.09090909090909091
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,16558136.716099385,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,16615995.172521295,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,16732545.339370934,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,16797636.780615009,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,16843659.046765201,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,16981168.818297267,0.18181818181818182
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,17005553.182681564,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,17029414.698709719,0.09090909090909091
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,17064099.824067462,0.0
sdxp-SuLongWei-WuJiaPo.xml_13,腰中取出银一锭，,17110557.356551532,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,17120907.530904226,0.0
daxp-ZheCaiShi-SuoLinNang.xml_5,善果心花可自豪。,17135564.968953367,0.0
daxp-ZheCaiShi-SuoLinNang.xml_2,回首繁华如梦渺，,17194404.479054861,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,17242546.092376143,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,17244305.653445188,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_3,发奋自强日夜读诗文。,17375550.389504738,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,17401818.626349688,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_4,原来是不耐烦已经睡困，,17660694.551799048,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,17725782.306764312,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,17894807.094678007,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,17952454.683201674,0.18181818181818182
daxp-JiaoZhangSheng-HongNiang.xml_2,放大胆忍气吞声休害怕，,18026610.757961132,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,18088574.030394398,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,18142210.615131408,0.0
daspd-DuShouKong-WangJiangTing.xml_3,为避狂徒到此间。,18276533.741256218,0.0
daxp-QiaoLouShang-HuangShanLei.xml_10,我不免引寒机伴奴坐等，,18290419.162753403,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,18341865.016054071,0.0
daxp-ZheCaiShi-SuoLinNang.xml_4,柳暗花明休啼笑，,18365837.005068969,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,18383660.466141667,0.09090909090909091
daxp-ZhiJianTa-WangJiangTing.xml_4,莫不是平地风波起，,18397010.812258169,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,18437739.728302918,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,18635687.999865994,0.0
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,18796126.474565465,0.0
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,18805705.508952376,0.0
daxp-JiaoZhangSheng-HongNiang.xml_4,这也算是一段风流佳话，,18853082.525633693,0.0
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,19000938.069645826,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,19039367.003111593,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,19325576.802339915,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,19669586.435480911,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,19791041.188917167,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,19858922.667359274,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,19897836.433348533,0.09090909090909091
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,19950344.099725109,0.0
lsxp-DaHeYi-SiLangTanMu.xml_21,龙行虎步非凡等，,20031378.504633226,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,20790685.458433319,0.09090909090909091
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,20905860.507831953,0.09090909090909091
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,21551791.396953814,0.0
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,21663338.360294838,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,21984032.54917746,0.0
sdxp-DangNianHan-SanJiZhang.xml_15,未央宫斩的是韩信，,22116858.419728111,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,22291828.325044744,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,22854722.599920928,0.09090909090909091
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_3,乾坤分外明，,23109470.893814847,0.0
lsxp-WeiCengKai-QiYuanBao.xml_4,奉母命京城往，,23377218.825517766,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,23404889.832610048,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_6,舍子搭救忠（呃）良的后，,23503265.135191675,0.0
lsxp-WeiCengKai-QiYuanBao.xml_1,尊一声太爷听端详。,24473332.567176186,0.0
lsxp-DaHeYi-SiLangTanMu.xml_25,家住哪州并哪郡？,24928116.920082569,0.0
lsxp-ZouYingLong-DaYanSong.xml_1,在朝房来了我这保国忠。,25825455.886291329,0.0
lsxp-DaHeYi-SiLangTanMu.xml_11,我父令公官极品，,26873938.807364948,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_2,今日里斩宗保娘把儿怪，,27314029.139956359,0.09090909090909091
sdxp-SuLongWei-WuJiaPo.xml_5,西凉川四十单八站，,27407323.967335515,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_0,深宫无（哇）处不飞花，,27518118.389121577,0.0
lsxp-ZouYingLong-DaYanSong.xml_3,偶遇见小小的顽童放悲声，,29192735.10932637,0.18181818181818182
lseh-YiLunMing-WenZhaoGuan-1.xml_9,满腹的含冤我向谁言（哪）！,30053002.499398649,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_9,满腹的含冤我向谁言（喏）。,30053002.499398649,0.0
sdxp-WoHeNi-SiLangTanMu.xml_10,怎奈我身在番难以过关。,32815441.385183245,0.0
lsxp-DaHeYi-SiLangTanMu.xml_9,家住后山磁州郡，,34943450.327224351,0.0
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,35512912.849895075,0.0
lsxp-JiangShenEr-SanJiaDian.xml_1,尊一声过往的宾朋听从头：,35665681.85541331,0.0
