帝王家深宫怨似水流年,1,帝王家深宫怨似水流年。
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,9884644.1526844967,0.1
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,9892912.0992574301,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,9896472.5212035105,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,9918371.3242180217,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,9918719.0120577924,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,9920856.9207546301,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,9923011.8719814159,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,9937915.243771648,0.0
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,9944273.4045172222,0.0
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,9952137.0486530047,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,9963309.0565257054,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,9978087.2019149456,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,9984571.9137745053,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,10019183.319651077,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,10075376.297899185,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,10108538.361295694,0.2
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,10133927.511032715,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,10157645.586268445,0.0
daxp-GuanShiYin-TianNvSanHua.xml_2,菩提树薝卜花千枝掩映，,10168331.174915044,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,10172414.842806354,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,10186548.523050917,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,10232750.472729076,0.1
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,10244234.395779306,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,10271608.823647996,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,10279849.260763528,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,10359100.144125212,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,10360783.995343255,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,10366201.77499377,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,10393883.535533573,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,10405334.869735278,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,10409192.136715012,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,10450538.845519392,0.1
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,10475496.705576966,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,10521588.657886917,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,10532642.436945103,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,10540135.521934854,0.1
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,10565824.765461698,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,10575801.524164449,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,10587248.191317225,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,10587248.191317225,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,10646069.359062415,0.1
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,10662473.507221315,0.0
daxp-GuanShiYin-TianNvSanHua.xml_4,绿柳枝酒甘露三千界上，,10686722.384746784,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,10790697.835865658,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,10810143.145524014,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,10814639.298672164,0.0
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,10825958.934172709,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,10832116.484534997,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,10839555.637187017,0.0
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,10852518.751634173,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,10856354.846516652,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,10858651.343146902,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,10876320.496142453,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,10894397.977864729,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,10940865.568801144,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,10950268.770190578,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,10953952.514652677,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,10954476.227469727,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,10988715.606636107,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,11030271.41081473,0.1
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,11058203.367533907,0.1
daxp-ZhiJianTa-WangJiangTing.xml_1,长吁短叹语声低。,11073271.710044287,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,11106861.6691631,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,11109427.589005521,0.1
daxp-ZheCaiShi-SuoLinNang.xml_0,这才是人生难预料，,11127774.108546663,0.0
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,11154384.364084495,0.0
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,11179998.804180516,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,11185502.106537443,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,11195978.621717948,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,11197394.773482071,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,11212670.151967438,0.0
daxp-JiaoZhangSheng-HongNiang.xml_4,这也算是一段风流佳话，,11224465.190940084,0.1
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,11239797.590068379,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,11242069.970576795,0.0
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,11271919.108478496,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,11299550.286932848,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,11352073.78917044,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,11369017.865175681,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,11406062.478681834,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,11409121.512586171,0.0
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,11422572.018576499,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,11476328.515599294,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,11491997.963106796,0.1
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,11506825.51041529,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,11546873.476627681,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,11556547.845279757,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,11563756.822752777,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,11576413.103844183,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,11593138.210446237,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,11628956.872333955,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,11629487.413852176,0.0
danbz-KanDaWang-BaWangBieJi.xml_1,我这里出帐外且散愁情。,11671325.414711857,0.0
daxp-ZhiJianTa-WangJiangTing.xml_0,只见他一封书信握手里，,11672603.636896739,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,11746038.127612656,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,11770696.713546578,0.1
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_4,皓月当空，,11790980.85002109,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,11808634.823925687,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,11827584.331814244,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,11846627.675225466,0.0
daxp-GuanShiYin-TianNvSanHua.xml_6,满眼中清妙景灵光万丈，,11861756.067232553,0.0
daxp-GuanShiYin-TianNvSanHua.xml_7,催祥云驾瑞彩速赴佛场。,11865476.533244845,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,11895512.479022358,0.0
daxp-ZheCaiShi-SuoLinNang.xml_1,不想团圆在今朝。,11895512.479022358,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,11919959.289729824,0.0
daspd-DuShouKong-WangJiangTing.xml_2,孀居愁苦泪洗面，,11921574.441012843,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,11926617.732718116,0.0
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,11927441.116583258,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,12018569.986272374,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,12029645.569655707,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,12075932.647182178,0.0
daxp-XiShiNv-XiShi.xml_3,每日里浣纱去又傍清溪。,12085676.500906851,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,12134039.864493946,0.0
daxp-ZhiJianTa-WangJiangTing.xml_3,害得儿夫犯焦急；,12221457.031166762,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,12228301.673118288,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,12249931.52737689,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,12327693.670695579,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,12328812.102364153,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,12453290.433404762,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,12453290.433404762,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,12485654.731455596,0.1
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,12545893.566991016,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,12546942.688464811,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,12558147.125598736,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,12586879.820187129,0.0
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,12589539.168811444,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,12604030.192222103,0.1
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,12648689.829426529,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,12666962.349775219,0.0
sdxp-DangNianHan-SanJiZhang.xml_15,未央宫斩的是韩信，,12670717.545307424,0.1
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,12676004.862945005,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,12719601.335038666,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,12730057.775099186,0.0
daxp-JiaoZhangSheng-HongNiang.xml_3,这件事倒叫我心乱如麻。,12759252.613425769,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,12821709.164852936,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,12908629.686279347,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,12910182.196465105,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,12931399.198294742,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,13093196.731642347,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,13139777.01175986,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,13211414.56668861,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,13257105.64005089,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,13273538.132837355,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,13352144.97131696,0.0
daxp-JiaoZhangSheng-HongNiang.xml_5,听号令且莫要惊动了她。,13457112.719146632,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,13505882.68925694,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,13599960.482223857,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,13614814.581576597,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,13715481.164466908,0.1
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_3,发奋自强日夜读诗文。,13720364.393056804,0.0
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,13806221.166872453,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,13855274.517147303,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,13889482.722350581,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,13949725.742876388,0.1
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,13961625.22534837,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,13991077.373183088,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_3,乾坤分外明，,13994618.347812887,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,14010611.802358326,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,14116887.599839576,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,14145510.791366737,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,14148762.914541673,0.1
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,14164977.722326364,0.0
daxp-JiaoZhangSheng-HongNiang.xml_2,放大胆忍气吞声休害怕，,14271741.533962123,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,14322530.451791387,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,14381049.29554492,0.0
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,14418388.06364234,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,14429063.141880069,0.1
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,14556913.476682616,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,14622757.703894958,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,14691709.491906939,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,14777813.489629131,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,14917503.642701233,0.1
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,14936081.658860331,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,14948003.035619168,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,14961286.710178664,0.2
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,15018594.552587938,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,15061732.111548936,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,15169433.046145676,0.0
daxp-JiaoZhangSheng-HongNiang.xml_0,叫张生隐藏在棋盘之下，,15190022.239080459,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,15218494.759994546,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,15218494.759994546,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,15492542.91101451,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,15548880.953995548,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,15559872.149438933,0.0
daxp-GuanShiYin-TianNvSanHua.xml_0,观世音满月面珠开妙相，,15625286.526013097,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,15649594.123149956,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,15772132.555003116,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,15818913.579252398,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,15899087.281540215,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,15959718.023647556,0.0
daxp-ZheCaiShi-SuoLinNang.xml_3,残生一线付惊涛。,15989426.512114523,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,16003075.451420965,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,16250842.327234007,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,16307453.020352576,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,16418776.734981211,0.0
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,16547838.80693117,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,16547838.80693117,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,16586635.349978952,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,16641029.84093265,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,16756990.211275408,0.1
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,16886636.077873778,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,16909599.387364268,0.1
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,16954755.812269524,0.0
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,16993201.622127548,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,17047168.028963372,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,17145525.686265912,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,17256402.739578586,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,17304698.980249383,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_1,算当初曾经得几晌温存。,17609035.678755485,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,17908300.811679814,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,17972218.708921101,0.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,18012674.450260371,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,18030079.552781008,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,18098470.618031736,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,18209851.954137571,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,18283828.572946712,0.0
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,18338398.165481988,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,18683017.429811973,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,18694186.147183429,0.1
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,18697268.276026081,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,18699726.777814113,0.0
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,18732623.190735772,0.1
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,18813461.884088077,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_1,今朝仙女会襄王。,19208432.092572447,0.1
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,19482422.285367962,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,19494377.251880646,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,19930035.088227626,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,19932026.041688882,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,20371581.074176017,0.0
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,20946452.75626038,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,21266631.423141435,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,23228965.034815412,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_2,父道那薛平贵是那化郎模样，,23254089.660749085,0.0
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,24386150.589390311,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,25362547.650363076,0.0
daxp-QiaoLouShang-HuangShanLei.xml_10,我不免引寒机伴奴坐等，,27368642.560620684,0.0
lsxp-DaHeYi-SiLangTanMu.xml_30,自己骨肉认不清。,1208172946.7842948,0.0
sdxp-SuLongWei-WuJiaPo.xml_17,买绫罗与绸缎、打首饰和簪环，,1221483157.9482605,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_36,对天发不宏誓愿，,1229529340.0391216,0.0
sdxp-WoHeNi-SiLangTanMu.xml_20,黄沙盖脸尸骨不全。,1301457477.3535712,0.0
lsxp-DaHeYi-SiLangTanMu.xml_24,你是番邦什么人？,1337567636.5038013,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_1,请先生到江边即刻登舟。,1348302110.2030325,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_9,不能（呃）哎见。,1353742272.0893006,0.0
lsxp-DaHeYi-SiLangTanMu.xml_6,怎知今日回宋营。,1384230990.6127398,0.0
lsxp-YiShiWu-YuCangJian.xml_1,叹光明一去不回还（呐）；,1407353667.1373615,0.0
lsxp-DaHeYi-SiLangTanMu.xml_14,失落番邦被贼擒。,1411694628.538763,0.0
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,1426682791.2209213,0.0
sdxp-WoHeNi-SiLangTanMu.xml_2,贤公主又何必过于谦言。,1439412193.3735263,0.0
lsxp-YiShiWu-YuCangJian.xml_5,信用无极狗奸谗。,1462391421.4832232,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_20,对天发下宏誓愿，,1471991041.421458,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_0,为国家那何曾半日闲空，,1482529196.1795046,0.1
lsxp-ZheYiFeng-DingJunShan.xml_7,退后的项上吃一刀。,1501687144.6885169,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_17,翻来覆去睡不（哇）安。,1551536877.4071078,0.0
sdxp-DangNianHan-SanJiZhang.xml_2,未央宫斩的是何人？,1555576085.4139588,0.1
lseh-XinZhongYou-WenZhaoGuan.xml_1,翻来复去睡不安。,1560375166.6927531,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_0,为国家哪何曾半日闲空，,1560610286.4916956,0.1
lseh-YangYanZhao-PengBei.xml_0,杨延昭奉父命巡查大营，,1582298805.8245182,0.0
lsxp-DaHeYi-SiLangTanMu.xml_17,弟兄对坐叙寒温。,1584671427.1179559,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_1,各为其主统貔貅，,1591007431.9568651,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_3,赏罚中公（呃）平莫要自由。,1591180248.7395234,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_1,愁人心（呐）中似箭穿。,1594713871.55036,0.1
lsxp-ZuoRiLi-YuanMenZhanZi.xml_5,老娘亲再讲情儿自刎头来。,1602333290.1780186,0.0
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,1605302000.5856266,0.0
sdxp-WoHeNi-SiLangTanMu.xml_6,有一桩心腹事不敢明言。,1621986798.3771355,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_1,愁人心（哪）中似箭穿。,1629740173.1824434,0.1
sdxp-WoHeNi-SiLangTanMu.xml_1,我和你好夫妻恩德不浅，,1646673102.7482905,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_0,屠贼做事心太狠，,1654310617.0798383,0.0
