猛听得金鼓响画角声震,0,猛听得金鼓响画角声震，
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,2371701.9187933737,1.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,3451771.1356075122,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,3594998.8173008985,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,3693717.613987131,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,4059601.7448123721,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,4075026.5586995571,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,4187710.9628916974,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,4241184.9782572053,0.1
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,4261709.431465148,0.1
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,4267210.931861111,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,4268980.0991514046,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,4336182.8463743431,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,4431623.7424708148,0.1
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,4434671.5601723641,0.1
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,4660579.4726216709,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,4724571.5880433749,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,4725281.5933017982,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,4742389.6177078113,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,4762110.9817846147,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,4794177.9014480291,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,4801282.5697476929,0.2
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,4884939.6392749185,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,4884939.6392749185,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,4918779.9005032424,0.0
