好似我散天花纷落十方,0,好似我散天花就纷落十方；
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,5877818.0684809191,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,5892059.5585795278,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,5897180.1320102671,0.0
daxp-ZhiJianTa-WangJiangTing.xml_3,害得儿夫犯焦急；,5952912.1553135226,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,6029570.3193631498,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,6117978.0229233187,0.1
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,6124518.4972665133,0.1
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,6144655.6137857214,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,6218046.9109037798,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,6225103.4517802307,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,6232206.2562237605,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,6233222.5394618381,0.1
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,6278877.4295035619,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,6410036.4705544934,0.1
daxp-ZheCaiShi-SuoLinNang.xml_6,种福得福如此报，,6412157.4361330075,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,6417460.5944004003,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,6481364.4389736969,0.1
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,6487135.1086058244,0.1
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,6543152.1781129064,0.1
daxp-ZheCaiShi-SuoLinNang.xml_7,愧我当初赠木桃。,6602257.9420806058,0.1
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,6681160.3249527859,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,6694286.0547649665,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,6694318.8649478732,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,6710233.8659329768,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,6765900.9343670551,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,6785121.3984856009,0.1
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,6789375.9392070109,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,6795849.2654519016,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_4,皓月当空，,6833179.3102097148,0.0
daxp-GuanShiYin-TianNvSanHua.xml_4,绿柳枝酒甘露三千界上，,6861184.0904903291,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,6881596.1738579534,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,6922367.1719633434,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,6941097.493394874,0.1
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,7056050.7735959468,0.1
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_3,乾坤分外明，,7086606.5807799818,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,7093637.8007450197,0.1
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,7126873.1993397865,0.1
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,7139341.435651768,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,7191945.3296828754,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,7200864.0795943625,0.1
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,7204056.7857480915,0.2
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,7284411.8358345004,0.2
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,7295349.8643649379,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,7295349.8643649379,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,7303198.7898955606,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,7339772.7712976281,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,7362828.0732377097,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,7367434.1669682814,0.2
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,7375011.4636156391,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,7383591.0095500415,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,7389695.1451396085,0.1
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,7390609.4512166744,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,7401611.4025064847,0.1
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,7420683.2656630883,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,7430696.3574834717,0.1
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,7458762.6348139876,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,7507848.3462579576,0.1
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,7514991.7250615042,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,7558086.4136007158,0.1
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_0,海岛冰轮初转腾；,7607030.3060870422,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,7630271.7802830338,0.1
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,7651740.2070320714,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,7667478.7089497857,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,7673120.3083506627,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,7703407.7769012488,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,7724116.8813821143,0.1
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,7731281.9282285199,0.1
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,7787632.9342272403,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,7833920.9162191898,0.1
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,7837206.0228936672,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,7850775.8250589408,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,7893043.7804014329,0.1
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,7902000.634332017,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,7902854.1172583578,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,7934308.4635496764,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,7978523.7868494503,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,7983300.2517486652,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,7988699.6916807257,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,7996265.0941943675,0.1
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,8045125.5481022671,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,8065471.3337077377,0.0
daxp-ZheCaiShi-SuoLinNang.xml_2,回首繁华如梦渺，,8072568.4957664525,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,8152142.1767842229,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,8159875.6746313572,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,8175167.946792841,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,8194672.5741088688,0.1
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,8198572.8377977917,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,8214626.8022689745,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,8242155.0726912357,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,8319629.5561034046,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,8327083.016428655,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,8329235.39581584,0.1
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,8331057.9834139273,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,8354012.0589927044,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,8360611.5446147649,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,8385880.088038967,0.0
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,8391056.4178471789,0.1
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,8423533.3236202113,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,8423844.9775748271,0.1
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,8425910.522532355,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,8427712.3089723978,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,8435295.3406535424,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,8484781.3941663746,0.1
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,8501915.7552733254,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,8518367.7222362477,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,8520335.2871166784,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,8529872.6951379795,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,8540407.2774436064,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,8563940.4811199587,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,8572536.2516026944,0.1
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,8603711.0195452608,0.2
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,8606756.6794216409,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,8612274.5159696098,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,8627748.2138491012,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,8645135.8299740087,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,8663514.4010762814,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,8670714.0966733061,0.0
daxp-JiaoZhangSheng-HongNiang.xml_4,这也算是一段风流佳话，,8686479.07458652,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,8737417.2524808049,0.1
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,8748333.6517816857,0.1
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,8752086.8714022171,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,8760968.8599124607,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,8777254.3836820051,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,8799451.0773932412,0.0
daxp-ZhiJianTa-WangJiangTing.xml_4,莫不是平地风波起，,8863470.4695234746,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,8864910.3028482646,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,8870943.5032880493,0.2
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,8927124.3870307337,0.0
daxp-GuanShiYin-TianNvSanHua.xml_2,菩提树薝卜花千枝掩映，,8956657.4447640534,0.1
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,8956681.9152745046,0.1
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,8959390.9385282565,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,8974220.6400339752,0.1
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,8974975.3427549414,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,8995054.0061733518,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,9022891.6428482309,0.1
daspd-DuShouKong-WangJiangTing.xml_3,为避狂徒到此间。,9025747.0932285003,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,9049586.822158752,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,9101911.2792834882,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,9113686.513603678,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,9114953.9479052629,0.2
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,9119265.6180802416,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,9195437.172639057,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,9224793.8007365372,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,9232767.8994298801,0.0
daxp-ZhiJianTa-WangJiangTing.xml_2,何人来把书信寄？,9264482.2935667858,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,9334963.5090792719,0.2
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,9337680.9131846465,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,9349640.4845697451,0.1
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,9409137.158251984,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,9436500.3444664683,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,9460736.5602018908,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,9464842.8683822379,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,9497284.9209222626,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_4,原来是不耐烦已经睡困，,9499314.1220391635,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,9499600.7690937165,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,9509941.2309813723,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,9517640.7623769455,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,9523276.8157980852,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,9541667.3559209798,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,9550199.6899878867,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,9570445.3172100708,0.0
