不想团圆在今朝,1,不想团圆在今朝。
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,5121449.7404333865,0.0
daxp-ZheCaiShi-SuoLinNang.xml_5,善果心花可自豪。,5160879.304833645,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,5234524.7037588693,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,5240476.8725733468,0.0
daxp-JiaoZhangSheng-HongNiang.xml_4,这也算是一段风流佳话，,5253577.5935429465,0.0
danbz-KanDaWang-BaWangBieJi.xml_1,我这里出帐外且散愁情。,5313870.3002812536,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,5372889.0259643914,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,5384235.2459337804,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,5387696.7769569261,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,5440509.6220436711,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,5469877.4033096274,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,5471877.330736083,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,5483767.559357726,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,5505535.034218885,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,5506432.5038874308,0.0
daxp-ZhiJianTa-WangJiangTing.xml_4,莫不是平地风波起，,5574826.1248033401,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,5602622.5747482181,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,5615936.4727027118,0.14285714285714285
