唤起我破天门壮志凌云,2,唤起我破天门状志凌云。
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,969420.26992923988,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,1185088.2713016896,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,1262238.3439930975,0.9
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,2686022.1631598328,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,2962110.261421327,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,2985720.3594029411,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,3734634.6124618221,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,4109214.728154541,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,4117614.3395581455,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,4146070.8945314572,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,4219291.8691029903,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,4289629.5442988919,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,4402571.0102925496,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,4588695.4122120533,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,4716744.9222630644,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,4783175.4168097451,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,4831499.4286083598,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,4848635.2221672134,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,4872283.7620604411,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,4909218.668669221,0.1
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,4989807.3078256799,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,5015530.2332877228,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,5471178.850060273,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,5591921.3519906243,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,5689547.3828032827,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,5749738.0496219527,0.1
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,5798503.1299916198,0.2
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,5899431.5216214349,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,5914132.0212034537,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,5918466.074087414,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,5937908.3094026474,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,6029993.426705962,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,6041544.7327392641,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,6095427.7351326467,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,6122334.7398560382,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,6150927.4644924225,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,6546977.2419447964,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,6637130.514001674,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,6681723.435838622,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,6701471.2543898458,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,6794824.218160172,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,6803204.8305582125,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,6807787.8401176231,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,6814144.9642017782,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,6898700.3213692633,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,6955028.7083116891,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,7046441.7584467949,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,7069090.9898781758,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,7109923.2974273078,0.1
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,7179917.9021958467,0.1
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,7194460.7338532805,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,7260110.7402136605,0.1
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,7393286.9712731801,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,7479709.2443034928,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,7695792.4914033562,0.1
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,7764393.8423119197,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,7796989.6679013912,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,7800051.8995436411,0.1
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,7826824.9212316526,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,7869422.1780439848,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,7912215.1124097342,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,7924635.4957442842,0.1
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,7930884.1804875275,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,7949134.7507172329,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,7949706.2573685925,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,7999893.1774317864,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,8110625.7742593354,0.1
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,8201481.3570706462,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,8278628.074774716,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,8332144.240774489,0.1
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,8336707.2065449227,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,8414728.8256642725,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,8454641.8184428532,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,8479027.7454841528,0.1
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,8531444.2590677813,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,8596371.4085958786,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,8612194.6371178553,0.2
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,8614295.1663419157,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,8615498.5977531411,0.0
