唤起我破天门壮志凌云,0,唤起我破天门状志凌云。
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,5546849.0367277721,0.1
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,5566789.7536684908,0.1
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,5597724.3067500871,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,5667410.9717369983,0.2
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,5694273.6409998285,0.1
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,5745384.0976529513,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,5861651.3121701945,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,5865156.3307760349,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,6022942.5862970613,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,6052149.5523702009,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,6087894.3129960578,0.1
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,6116366.3665728373,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,6116499.7389531191,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,6145714.3544675624,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,6177019.1599933179,0.1
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,6209835.1676796265,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,6245817.4893080611,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,6277740.351591072,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,6288788.3409172632,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,6302949.1749313539,0.1
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,6329787.4408315327,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,6346309.4236403219,0.1
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,6352604.8640843751,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,6423929.9334474038,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,6453201.7283121767,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,6511761.1646716176,0.1
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,6520792.4698461313,0.1
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,6540573.8198364992,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,6544608.2174905725,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,6557033.5082485043,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,6589055.3744057547,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,6590038.5646312423,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,6590677.0417686729,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,6605025.882035099,0.0
