只见他一封书信握手里,0,只见他一封书信握手里，
danbz-BeiJiuChan-ChunGuiMeng.xml_1,算当初曾经得几晌温存。,9042910.9717762433,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,9056505.2826099955,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,9120046.0331637021,0.1
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,9122153.8109403476,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,9137586.619959075,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,9152686.2509624101,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,9154623.9871206563,0.2
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,9163867.7932447623,0.0
daxp-QiaoLouShang-HuangShanLei.xml_10,我不免引寒机伴奴坐等，,9170041.7556991838,0.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,9175124.5533408951,0.0
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,9187494.1305745151,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,9204273.802377684,0.0
daxp-ZheCaiShi-SuoLinNang.xml_7,愧我当初赠木桃。,9208873.5135206822,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,9214018.1065677758,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,9221599.1840441171,0.0
daxp-GuanShiYin-TianNvSanHua.xml_5,好似我散天花就纷落十方；,9226740.7945432737,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,9250085.5772750769,0.1
daxp-GuanShiYin-TianNvSanHua.xml_1,有善才和龙女站立两厢；,9251457.5619680285,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,9317616.7691252548,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,9329270.427017644,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,9350539.7482901048,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_6,奴似嫦娥离月宫。,9385437.0644466076,0.0
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,9397757.8812439553,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,9431352.4118582159,0.0
daxp-ZhiJianTa-WangJiangTing.xml_1,长吁短叹语声低。,9448533.7663422804,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,9473731.000729667,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,9476955.335408425,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,9479405.2619433627,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,9548241.5240317099,0.2
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,9572457.7680742349,0.1
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,9576423.9607156366,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,9581501.3958041463,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,9585772.8487862591,0.0
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,9586085.0143334102,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,9599630.3559517562,0.1
sdxp-DangNianHan-SanJiZhang.xml_15,未央宫斩的是韩信，,9633453.9700195994,0.1
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,9660442.0298947748,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,9677217.99741593,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,9677591.510668641,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,9686623.3987287581,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,9713714.2193854004,0.1
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,9756469.7707551457,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,9768375.3897882942,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,9777247.5183035936,0.1
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_1,见玉兔（哇）玉兔又早东升。,9803433.9172764067,0.1
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,9810537.6626750845,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,9822849.6826487053,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,9933878.4464213084,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,9951041.2641365267,0.1
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,9965076.2850860544,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,9972751.9694333691,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,9981264.7163696755,0.1
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,10085227.543640766,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,10096741.061976513,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,10129957.63111419,0.0
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,10135002.998854781,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,10156232.946750229,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,10182522.339478919,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,10188421.35588626,0.2
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,10193965.567456331,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,10197650.255057329,0.0
daxp-GuanShiYin-TianNvSanHua.xml_6,满眼中清妙景灵光万丈，,10209097.107071571,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_0,海岛冰轮初转腾；,10214400.418401737,0.0
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,10216243.44553018,0.1
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,10219283.101824149,0.1
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,10264072.562848732,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,10295398.046611277,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,10300407.891927373,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,10301186.438458934,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,10306461.826203499,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,10331359.01384683,0.2
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,10340332.22266517,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,10344348.054357896,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,10374202.835723914,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,10419038.154142577,0.1
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,10462730.663937114,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,10470483.879471412,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,10477904.925889872,0.1
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,10483046.133210862,0.0
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,10486722.341249831,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,10486722.341249831,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,10504355.426139735,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,10582825.039405756,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,10584494.191942213,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,10596447.847500337,0.1
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,10596616.221668448,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,10612704.151018867,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,10619248.554144377,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,10709192.395793492,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,10718014.879908597,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,10720022.572173322,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,10765242.235493658,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,10813815.01813934,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,10849588.934124388,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,10856685.41144263,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,10901764.152062682,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,10927202.96609118,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,10938925.463435294,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,10943417.374253955,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,10970882.225290479,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,10978307.076951982,0.1
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,10993866.744267996,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,11144111.519206371,0.1
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,11159780.580737047,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,11208348.552944239,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,11211092.309473019,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,11248189.081611415,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,11301222.246226722,0.1
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,11461170.452137744,0.1
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,11467490.266184915,0.0
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,11514189.892751135,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,11515216.806668518,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,11541122.475574603,0.1
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,11559392.662751829,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,11565317.937598366,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,11574677.093529403,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,11586247.408527307,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,11593918.827747665,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,11637092.839377347,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,11795564.8783825,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,11803658.751219528,0.0
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,11900261.905809907,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,11913766.150228754,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,11949161.928516248,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,11953487.615126271,0.2
daxp-JiaoZhangSheng-HongNiang.xml_3,这件事倒叫我心乱如麻。,11981275.172715629,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,11995588.644130167,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,11997267.966840362,0.1
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,12017157.81050765,0.1
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,12052457.100180646,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_3,发奋自强日夜读诗文。,12099348.991137939,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,12113375.169610512,0.1
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,12239251.433291126,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,12266596.998048058,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,12274100.603884589,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,12304836.343232971,0.0
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,12349869.225970767,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,12392225.261562699,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,12477030.76942407,0.0
daxp-ZheCaiShi-SuoLinNang.xml_3,残生一线付惊涛。,12499171.286542222,0.1
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,12566124.479972122,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,12593337.471976807,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,12616155.365574758,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,12706549.131696679,0.1
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,12851810.96053941,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,12877671.030335348,0.0
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,12903082.857350238,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,12904360.817625001,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,12914144.208575318,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,12935324.119060088,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,13086549.737595301,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_2,我不免去安排罗衾绣枕，,13138643.09765188,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,13166153.149509527,0.0
daxp-ZhiJianTa-WangJiangTing.xml_2,何人来把书信寄？,13279615.047678979,0.2
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,13285713.157080384,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,13307114.257621801,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,13388762.151453886,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_5,待我来搀扶（哇）你重订鸳盟。,13401366.195025304,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,13434930.37688145,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,13475852.377452552,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,13493576.210954998,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,13500803.736110233,0.0
daxp-ZheCaiShi-SuoLinNang.xml_1,不想团圆在今朝。,13500803.736110233,0.0
daxp-GuanShiYin-TianNvSanHua.xml_2,菩提树薝卜花千枝掩映，,13516985.267645299,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,13529362.782780835,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,13550624.56243496,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,13556699.603995027,0.1
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,13650867.626521761,0.1
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,13664739.12634271,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,13666228.263436846,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,13914003.70029431,0.0
daxp-ZhiJianTa-WangJiangTing.xml_4,莫不是平地风波起，,14043468.861136662,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,14413936.727950694,0.0
daxp-ZheCaiShi-SuoLinNang.xml_6,种福得福如此报，,14420771.352435706,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,14438400.385122901,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,14468701.534756776,0.1
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,14645785.233863266,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,14693676.777391218,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,14717277.666009022,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,14825963.158612082,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,14945703.847244404,0.1
daxp-ZheCaiShi-SuoLinNang.xml_2,回首繁华如梦渺，,15015561.159223102,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,15281435.248200141,0.0
daxp-ZhiJianTa-WangJiangTing.xml_3,害得儿夫犯焦急；,15431043.43200193,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,15579323.335289387,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,15676722.704112155,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,15878613.274654053,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,15943101.951598519,0.0
danbz-KanDaWang-BaWangBieJi.xml_0,看大王在帐中和衣睡稳，,15969211.843696626,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,16006489.030210953,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,16104138.794070758,0.3
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,16156194.070114357,0.1
daxp-LaoDieDie-SanJiZhang-2.xml_2,父道那薛平贵是那化郎模样，,16228482.591357637,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,16263222.924244799,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,16454550.639268676,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,16540181.792877585,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,16737714.242893666,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,16772326.999694042,0.1
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,17128843.478152335,0.0
daxp-ZheCaiShi-SuoLinNang.xml_5,善果心花可自豪。,17190738.752880517,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,17239349.631343532,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,17294401.680954851,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,17402905.126953654,0.1
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,17416437.795790277,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,17439055.466588456,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,17466880.779998239,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,17615453.997711029,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,17667232.498082194,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,17899694.297997274,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,18034743.269786052,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,18080768.121958259,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,18133735.084969874,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,18857716.281192057,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,18868697.304521285,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,18909571.721193451,0.0
daxp-GuanShiYin-TianNvSanHua.xml_4,绿柳枝酒甘露三千界上，,18996460.084865358,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,19579049.546527009,0.0
daxp-ZheCaiShi-SuoLinNang.xml_4,柳暗花明休啼笑，,20011548.059893019,0.0
daxp-JiaoZhangSheng-HongNiang.xml_4,这也算是一段风流佳话，,20068080.275014348,0.1
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_4,皓月当空，,20091957.883055292,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,20225096.924386486,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,20397084.603715353,0.0
danbz-KanDaWang-BaWangBieJi.xml_1,我这里出帐外且散愁情。,20739295.003016226,0.1
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,20972255.611842442,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,21056419.113586515,0.0
daxp-JiaoZhangSheng-HongNiang.xml_2,放大胆忍气吞声休害怕，,23010984.755381633,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,23682079.098925695,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,24767492.611839231,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,24927975.985295311,0.1
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_3,乾坤分外明，,27204504.443391122,0.0
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,33772362.948816605,0.1
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,284683581.82243431,0.1
lseh-NiangZiBu-SouGuJiuGu.xml_10,千言万（哪）语她不肯，,301210930.57168078,0.0
lsxp-ZheYiFeng-DingJunShan.xml_9,到明天午时三刻要成功劳。,311537771.72620481,0.0
sdxp-SuLongWei-WuJiaPo.xml_3,他三人与我有仇恨，,317331995.84869874,0.1
lseh-ZiNaRi-HongYangDong.xml_9,因此上臣的病重（呃）加十分、千岁爷呀！,321855776.99623692,0.0
sdxp-SuLongWei-WuJiaPo.xml_1,苏龙魏虎为媒证，,335822798.65741867,0.0
lsxp-DaHeYi-SiLangTanMu.xml_22,灯光之下看不真。,354980258.58913839,0.0
lsxp-WoBenShi-KongChengJi-2.xml_1,凭阴阳如反掌保定乾坤。,355675103.79687744,0.0
lsxp-WoBenShi-KongChengJi-1.xml_5,东西战南北剿博古通呃今。,368863672.3510825,0.0
lsxp-JiangShenEr-SanJiaDian.xml_5,因此上发配到登州。,370921650.2829597,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_2,眼望着孤坟台珠泪难忍，,372458074.19067246,0.0
lseh-LaoZhangBu-WuPenJi.xml_4,我忙将树（呃）枝摆摇（哇）动，,376285700.48426527,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_7,生死二字（喏）且由他。,380774829.26528525,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_5,他将我隐藏在后花园。,382273856.68285424,0.1
lsxp-WoBenShi-KongChengJi-1.xml_1,论阴阳如反掌保定乾坤。,384759769.12098575,0.0
lsxp-WoBenShi-KongChengJi-2.xml_5,东西战南北剿博古（呃）通（哦）今。,385334063.23266006,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_3,赏罚中公（呃）平莫要自由。,387854281.29841042,0.0
sdxp-DangNianHan-SanJiZhang.xml_5,我的儿说话言不逊，,390103489.62762755,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_0,一轮明月照窗前，,393286266.0027765,0.1
lsxp-DaHeYi-SiLangTanMu.xml_25,家住哪州并哪郡？,394518667.74262512,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_0,一轮明月照窗下，,395255648.42855257,0.1
lseh-XiRiLi-BaoLianDeng.xml_15,打死个秦官保父不能担承。,397541251.27312326,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_0,一轮明月照窗前，,399404801.95155275,0.1
sdxp-DangNianHan-SanJiZhang.xml_3,小奴才真个不孝顺，,399948643.61301917,0.0
lsxp-ZiGuDao-HuangHeLou.xml_2,曾记得当年赴河梁，,400667919.14526039,0.0
lseh-LaoZhangBu-WuPenJi.xml_6,我和你远无冤近无有仇恨，,414516254.7131651,0.0
sdxp-SuLongWei-WuJiaPo.xml_13,腰中取出银一锭，,415492772.17419291,0.1
lsxp-ShenGongWu-LongFengChengXiang.xml_2,朝欢暮乐无牵挂，,417002658.89766723,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_2,官封到节度使（喏）皇王恩重，,418591242.08445823,0.1
lseh-YiLunMing-ZhuoFangSuDian.xml_0,一轮明月照窗下，,419311121.01711738,0.1
lsxp-YiShiWu-YuCangJian.xml_3,靠山绿（哇）水常在面前。,419628071.54718643,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_2,官封到节度史（喏）皇王恩重，,421246659.68810534,0.1
lseh-WeiGuoJia-HongYangDong-2.xml_2,官封到节度使（喏）皇王恩重，,426044764.59919912,0.1
lseh-YiLunMing-ZhuoFangCao-2.xml_0,一轮明月照窗下，,427200657.49698353,0.1
