世上何尝尽富豪,9,世上何尝尽富豪，
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,4796667.946974461,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,4800202.8160096202,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,4840128.4073759168,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,4884188.3593206927,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,4923640.121281934,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,4932287.4682764281,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,4949646.81189459,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,4963265.35329712,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,4988260.806945771,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,4999224.0479996232,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,5022133.6129153604,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,5027674.131627989,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,5059769.8714979151,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,5070840.5785451578,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,5073005.0759110674,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,5086329.9152732389,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,5120815.1639450071,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,5122693.1340489257,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,5145788.5742503619,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,5171042.0613041874,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,5186059.4442969253,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,5191068.2539007012,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,5271042.3675386822,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,5275391.9025925566,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,5278335.1590778921,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,5282577.1713176873,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,5285588.2445353335,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,5285953.4050963232,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,5328975.2996299723,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,5348926.3855167795,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,5358309.4003443262,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,5366086.8307234943,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,5386511.5019482095,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,5403714.1719637709,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,5405515.6076772381,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,5415155.3224369744,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,5415217.4995442694,0.14285714285714285
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,5422955.3597750263,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,5488861.5983699346,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,5495403.7323333621,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,5502823.9166373713,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,5516697.8787860554,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,5535402.7673645495,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,5542705.2361775944,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,5553405.7085072752,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,5555052.9924127711,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,5591364.7581140446,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,5626912.4483729489,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,5641853.7422535149,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,5691418.3008881286,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,5718308.7082448201,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,5734394.4358106451,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,5735953.2925757812,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,5745350.1549074817,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,5750648.8619058849,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,5757033.8948210739,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,5758985.8360213507,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,5770105.6366575584,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,5818225.2572226338,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,5872274.4844781701,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,5878056.3321919125,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,5878268.8818113478,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,5911258.662332234,0.2857142857142857
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,5933661.8082147092,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,5936387.7034073807,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,5936622.8969607651,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,5962779.5736916168,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,5970360.9296241645,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,5970575.6047820849,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,5983823.5161167029,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,5986914.5695011001,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,5991786.5136961238,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,6036158.2026349213,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,6040807.2499126922,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,6045929.4360919977,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,6048036.5588783147,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,6052740.9991583591,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,6076236.2946196645,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,6088770.5287955673,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,6128950.8433300797,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,6142283.3427353175,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,6145130.6814917009,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,6155414.7478934964,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,6189839.6576227117,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,6210659.4151812093,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,6255978.1498052739,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,6264332.4611241864,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,6265301.6126413997,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,6291343.3342016041,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,6296797.3460590495,0.14285714285714285
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,6301573.1252668379,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,6339819.5290328674,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,6343918.7955173161,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,6353719.9925016947,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,6377834.9678925266,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,6392787.7040465353,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,6431410.0389770428,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,6453606.3745475961,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,6514944.2940116981,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,6546802.9355869349,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,6551597.0108251683,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,6563604.8818931459,0.14285714285714285
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,6582548.9448486557,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,6591134.0508894771,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,6620908.5340988012,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,6627593.3763059974,0.14285714285714285
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,6658811.9017242342,0.14285714285714285
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,6682945.204295163,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,6687946.201888375,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,6705565.0706009474,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,6709703.7373538101,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,6715886.5388027215,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,6778258.679739356,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,6784468.8207584135,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,6827987.7498808326,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,6867214.5211210623,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,6874108.1171217617,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,6875725.3651026925,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,6882494.6151019176,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,6943274.2250615079,0.14285714285714285
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,6989465.3333797157,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,7016240.2665029066,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,7017897.3380045574,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,7021542.9865034521,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,7040114.0772257019,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,7048192.2786715701,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,7052895.6765044341,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,7069394.5566336699,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,7082644.8463662127,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,7084339.6581151616,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,7136249.0466512656,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,7147346.9133160077,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,7163612.0755495541,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,7172122.5063518006,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,7203826.6438579168,0.2857142857142857
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,7235364.3860423025,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,7243119.3375449544,0.14285714285714285
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,7245233.6575880041,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,7279477.5165839288,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,7287100.8411191516,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,7290429.9712638231,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,7320377.685754261,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,7338112.7327688485,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,7361703.0607015993,0.0
