自那日与六郎阵前相见,0,自那日与六郎阵前相见，
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,10442745.17163715,0.0
danbz-KanDaWang-BaWangBieJi.xml_2,轻移步走向前荒郊站定，,10450643.960221006,0.1
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,10462770.180069348,0.1
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,10536742.51877654,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,10574402.626068452,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,10723197.220392428,0.1
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,10817990.656701421,0.1
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,10822055.283985954,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,10832510.349726522,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,10850503.668821646,0.1
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,10919239.514021557,0.1
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,10996505.670567008,0.0
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,11018801.879475212,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,11052664.830788162,0.0
daxp-ZheCaiShi-SuoLinNang.xml_3,残生一线付惊涛。,11110095.534866001,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,11122099.919056356,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,11138085.924036758,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,11249831.774682488,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,11269417.603485318,0.1
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,11277219.222154485,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,11314244.633857559,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,11335902.069319736,0.2
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,11338908.970872996,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_6,奴似嫦娥离月宫。,11371377.954437505,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,11372424.043505544,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,11408735.802655015,0.3
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,11456295.124520097,0.2
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,11460313.397230465,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,11461007.156451751,0.1
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,11472554.177046906,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,11486912.223081546,0.0
daxp-GuanShiYin-TianNvSanHua.xml_3,白鹦鹉与仙鸟在灵岩神岘上下飞翔；,11502480.211375443,0.1
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,11515021.341629399,0.0
daxp-JiaoZhangSheng-HongNiang.xml_5,听号令且莫要惊动了她。,11516066.504103784,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,11560448.422770526,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,11593248.443145754,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,11617894.328004759,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,11641436.243103025,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,11643166.104472328,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,11647739.831534127,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,11653650.56846261,0.0
daxp-ZhiJianTa-WangJiangTing.xml_1,长吁短叹语声低。,11654108.17758405,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,11675884.656812679,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,11696491.113160193,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,11734588.415845755,0.1
daxp-GuanShiYin-TianNvSanHua.xml_1,有善才和龙女站立两厢；,11767970.540457422,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,11782320.576012392,0.1
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,11879275.820792057,0.0
daxp-GuanShiYin-TianNvSanHua.xml_6,满眼中清妙景灵光万丈，,11913631.292417418,0.0
danbz-KanDaWang-BaWangBieJi.xml_0,看大王在帐中和衣睡稳，,11917816.950666711,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,11920402.341174746,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,11922764.437931255,0.1
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,11936921.884121906,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,11949404.300023932,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,11968878.167991184,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,11980003.158785067,0.1
lseh-YiLunMing-ZhuoFangCao-2.xml_2,悔不该心猿并意马，,12026665.655979477,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,12032957.191860028,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,12057956.128407994,0.2
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,12072195.616318751,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,12079607.132181404,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,12089107.31404262,0.0
lsxp-JiangShenEr-SanJiaDian.xml_14,眼见得红日坠落在西山后，,12097161.390579341,0.2
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,12098001.72542253,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,12136399.233020749,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,12146469.45713537,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,12221675.406986188,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_2,那冰轮离海岛，,12226735.384071469,0.1
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,12235223.606539417,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,12236865.407673955,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,12239705.596844248,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,12296324.374096831,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,12319193.073048664,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,12319537.492605655,0.1
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,12335300.398143008,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,12339635.113498027,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,12341266.58271548,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,12351461.4209178,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,12363877.843373884,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,12363877.843373884,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,12418109.360547636,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,12451477.033257764,0.0
daxp-ZhiJianTa-WangJiangTing.xml_5,隐情不敢实告妻。,12484734.883389266,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,12486802.63104932,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,12489309.606846608,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,12490658.016318552,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,12524877.757884573,0.1
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,12526557.139071418,0.0
daxp-GuanShiYin-TianNvSanHua.xml_4,绿柳枝酒甘露三千界上，,12554250.810058327,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,12561503.467615267,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,12600457.884632438,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,12618105.614808125,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,12641726.101885566,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,12695700.381208301,0.2
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,12698609.215588333,0.0
lsxp-ZiGuDao-HuangHeLou.xml_4,今日主公把宴上，,12748963.683577735,0.1
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,12756558.313796178,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,12783856.230675038,0.0
