自那日与六郎阵前相见,0,自那日与六郎阵前相见，
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,14676850.999210866,0.1
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,14681995.154016277,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,14700786.107771361,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,14716189.383642843,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,14752505.322973162,0.2
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,14767817.479281047,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,14826497.401855318,0.2
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,14870970.028555542,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,14887547.204175284,0.1
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,14922470.352013422,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,14923072.773055419,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,14936169.729951303,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,14949104.026593894,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,14981197.450405089,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,15056602.934417622,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,15066808.041452544,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,15091357.688818496,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,15092248.180291472,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,15117811.860273413,0.1
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,15125889.639291765,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,15126347.32145879,0.0
daxp-GuanShiYin-TianNvSanHua.xml_5,好似我散天花就纷落十方；,15128867.499500223,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,15139330.112602307,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,15155317.894980501,0.1
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,15172205.841614485,0.1
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,15178730.253452603,0.1
lseh-XiRiLi-BaoLianDeng.xml_10,首阳山前冻饿死（喏）。,15192786.842371807,0.1
sdxp-SuLongWei-WuJiaPo.xml_5,西凉川四十单八站，,15211397.605465122,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,15254592.684252765,0.1
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,15283724.454572691,0.1
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,15310504.285177143,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,15336426.445655657,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_3,悔不该随他人到吕家。,15351558.857412646,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_4,吕伯奢可算得义气（呀）大，,15391457.871377023,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,15412455.831548097,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,15478917.804181624,0.0
lsxp-WoBenShi-KongChengJi-1.xml_8,闲无哇事在敌楼哇我亮（呃）一亮琴哪音，,15484123.129523972,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_5,右手再把栾布拉，,15491443.331948048,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,15501032.456296731,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,15501794.160840245,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,15522909.4383411,0.1
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,15528683.694788529,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,15529918.59080838,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,15564009.416219547,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,15577052.895457286,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,15608072.894087484,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_6,舍子搭救忠（呃）良的后，,15609077.215594981,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,15640579.540604649,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,15656424.074324055,0.0
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,15681208.627480676,0.1
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,15703159.863751797,0.1
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,15739836.090146869,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,15747097.639532622,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_20,贼好比蛟龙未生鳞甲，,15760148.884204146,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,15764524.665277733,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,15798301.617129995,0.1
lsxp-JiangShenEr-SanJiaDian.xml_2,一不是响马与贼寇，,15799984.696962988,0.1
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,15821043.623009337,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,15844314.562255168,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,15863695.491270535,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,15894215.156065274,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,15927575.632351663,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_2,实指（惹）望到吴国借兵回转，,15960569.660966281,0.0
daxp-JiaoZhangSheng-HongNiang.xml_4,这也算是一段风流佳话，,16049721.654488036,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,16230284.034876298,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,16245201.122668723,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,16252419.141965646,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,16253449.104030481,0.0
sdxp-SuLongWei-WuJiaPo.xml_16,送与大嫂把家安。,16274935.859943153,0.1
sdxp-DangNianHan-SanJiZhang.xml_3,小奴才真个不孝顺，,16304726.405853156,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,16323611.649922425,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,16353991.378562294,0.1
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,16356748.525109597,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,16365959.37064681,0.1
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,16387121.542395808,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,16417092.687777545,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,16423134.109721858,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,16456883.206480015,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,16476690.831508255,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,16481660.501651311,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,16489120.662345475,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_3,莫负他好春宵一刻千金。,16610562.531385215,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,16613312.796666082,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,16616234.326024063,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,16693289.073556671,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,16698907.681143945,0.1
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,16713159.616164912,0.0
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,16739295.054907307,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,16779192.337097887,0.0
lsxp-ZouYingLong-DaYanSong.xml_3,偶遇见小小的顽童放悲声，,16781347.590440292,0.1
sdxp-WoHeNi-SiLangTanMu.xml_5,非是我这几日愁眉不展，,16828518.59158035,0.1
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,16845982.337269001,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_2,我不免去安排罗衾绣枕，,16851156.147928234,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,16872956.068052042,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_0,海岛冰轮初转腾；,16881173.005224224,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,16892072.764008459,0.1
sdxp-WoHeNi-SiLangTanMu.xml_8,我的娘押粮草来到北番。,16899094.679393589,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,16907965.737478089,0.1
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,16908659.675666776,0.1
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,16912647.963411909,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,16993841.434439231,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,17026400.408332709,0.1
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,17048153.905377012,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_3,悔不该随他人到吕家。,17048319.698574275,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_2,实指望到吴国借兵回转，,17050555.213055421,0.0
sdxp-WoHeNi-SiLangTanMu.xml_9,我有心回宋营见母一面，,17054885.291138828,0.1
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,17125195.543939143,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,17155173.008898661,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,17245414.808510199,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,17257263.316266336,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,17270136.825212169,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,17287164.544434972,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,17288703.627782427,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,17289237.122467261,0.1
lsxp-DaHeYi-SiLangTanMu.xml_21,龙行虎步非凡等，,17293336.938838623,0.0
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,17301887.003366556,0.1
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,17351145.631561007,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,17357799.920267239,0.1
lsxp-DaHeYi-SiLangTanMu.xml_7,将身站在了阶前等，,17376802.672957398,0.1
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,17392136.931678753,0.1
lsxp-ShenGongWu-LongFengChengXiang.xml_2,朝欢暮乐无牵挂，,17397762.497327071,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_4,马行在来道内我难（呐）以回（呀）马，,17403732.541855875,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_4,马行在来道内我难（呐）以回（呀）马，,17403732.541855875,0.0
lsxp-WoBenShi-KongChengJi-2.xml_8,闲无（呃）事在敌楼（呃）我亮一亮琴（呢）音，,17437199.585176978,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,17460544.258518398,0.1
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,17483796.586140737,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,17541080.62768954,0.0
lsxp-JiangShenEr-SanJiaDian.xml_12,儿想娘亲难叩首，,17546495.406071048,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,17551520.993693642,0.1
lsxp-HenPingWang-WenZhaoGuan.xml_3,满门的家着血染红。,17649604.008991674,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,17653294.023361985,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_4,先进咸阳为皇上，,17661975.451831602,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_3,为什么事到如今耍奸滑？,17684869.43399113,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,17694167.755105972,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,17765624.169793297,0.0
daxp-ZheCaiShi-SuoLinNang.xml_1,不想团圆在今朝。,17765624.169793297,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,17779650.4431848,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_5,恰便似嫦娥离月宫，,17785082.434116546,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,17835137.072545163,0.1
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,17877463.857119087,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,17911606.366724871,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,18011495.913100373,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,18014485.972039912,0.1
lsxp-ShenGongWu-LongFengChengXiang.xml_0,深宫无（哇）处不飞花，,18045336.321587611,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_6,又谁知此贼的疑心太大，,18130767.277551353,0.0
sdxp-SuLongWei-WuJiaPo.xml_13,腰中取出银一锭，,18142299.06893057,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,18147188.48970671,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,18147513.421286292,0.0
daxp-ZhiJianTa-WangJiangTing.xml_0,只见他一封书信握手里，,18176255.377408903,0.1
daxp-LaoDieDie-SanJiZhang-2.xml_2,父道那薛平贵是那化郎模样，,18185864.731325202,0.2
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,18192133.367925715,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,18196449.90239523,0.1
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,18240658.924377415,0.0
sdxp-WoHeNi-SiLangTanMu.xml_17,公主叫我盟誓愿，,18261259.85117358,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,18261800.776723627,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,18261800.776723627,0.1
lseh-XiRiLi-BaoLianDeng.xml_3,传口诏命次子即位为君，,18270804.558590155,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,18287288.396703091,0.0
lsxp-WeiCengKai-QiYuanBao.xml_4,奉母命京城往，,18332779.696353406,0.0
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,18340178.607638638,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_3,乾坤分外明，,18343891.745749284,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,18359389.924304727,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,18401767.929952711,0.0
lsxp-ZiGuDao-HuangHeLou.xml_2,曾记得当年赴河梁，,18405604.240348794,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,18408401.095886089,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,18461102.717336409,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,18471730.505163912,0.2
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,18480091.97037255,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,18508314.202971492,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,18511847.759860944,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,18522341.22196525,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,18539362.153762415,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,18553651.895495415,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,18570812.664823078,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,18588839.274306931,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_7,一路上得遇陆贾、郦生与张良。,18599790.647643428,0.1
daxp-GuanShiYin-TianNvSanHua.xml_7,催祥云驾瑞彩速赴佛场。,18614827.154875044,0.0
lsxp-YiShiWu-YuCangJian.xml_3,靠山绿（哇）水常在面前。,18653913.485871371,0.1
lsxp-ZuoRiLi-YuanMenZhanZi.xml_3,哭啼啼坐宝帐所为何来。,18675675.099481896,0.0
sdxp-DangNianHan-SanJiZhang.xml_1,登台拜帅是韩信，,18701697.144705072,0.0
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,18720587.961887635,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_4,吕伯奢可算得义气大，,18734260.273080092,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_13,我好（哇）比波浪中失舵的舟船（哪）。,18756797.801372472,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_13,我好（呃）比波浪中失舵的舟船（喏）。,18767141.605576687,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,18800890.797381818,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,18829772.11194063,0.0
sdxp-DangNianHan-SanJiZhang.xml_5,我的儿说话言不逊，,18892643.1692525,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,18925670.606171891,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_0,两国交锋龙虎斗，,18949374.283821598,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,18952583.211938731,0.0
daxp-ZhiJianTa-WangJiangTing.xml_3,害得儿夫犯焦急；,18974791.7682252,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,18977831.184246466,0.1
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,18983787.536000267,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,18994732.803179752,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,19003524.76014946,0.1
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,19003594.611903843,0.0
lseh-JinZhongXiang-ShangTianTai.xml_2,文凭着邓先生策划有准，,19027919.738934834,0.0
sdxp-WoHeNi-SiLangTanMu.xml_1,我和你好夫妻恩德不浅，,19193952.395031568,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,19219654.738244083,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,19229176.504756499,0.0
lsxp-DaHeYi-SiLangTanMu.xml_11,我父令公官极品，,19258096.013816033,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,19260801.257308647,0.0
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,19266419.733351011,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,19276359.549203206,0.0
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,19313803.896436516,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,19341169.116364487,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,19396912.487799708,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,19405170.80421555,0.0
lseh-XiRiLi-BaoLianDeng.xml_11,留得美名万古存，,19421845.381366976,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_12,越思越想好伤惨，,19452143.033200044,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,19495596.21992163,0.1
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,19512051.944403034,0.0
lsxp-YiShiWu-YuCangJian.xml_4,恨平王无道纲常乱，,19513583.458030291,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,19525577.831420746,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_2,管带三（呐）军要宽厚，,19527910.749671515,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,19559182.276977602,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,19583348.644000396,0.1
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,19691406.44112495,0.0
lsxp-ZouYingLong-DaYanSong.xml_7,站立在殿角用目来观定，,19698446.536535848,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,19705824.067588259,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,19723633.696516886,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_6,又谁知此贼的疑心（呐）太（呀）大，,19725988.652137756,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,19756016.07491364,0.2
lseh-YangYanZhao-PengBei.xml_1,在中途得一信甚是不明。,19772464.541081868,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_2,今日里斩宗保娘把儿怪，,19782173.501551595,0.1
lsxp-ZheYiFeng-DingJunShan.xml_1,天助黄忠成功劳。,19833453.639700063,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_4,皓月当空，,19845951.126928676,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,19896179.17235633,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_1,各为其主统貔貅，,19899987.919882845,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_12,我好（呃）比鱼儿吞了钩线，,19952489.285646927,0.0
lsxp-ZheYiFeng-DingJunShan.xml_2,站立在营门三军叫，,20003284.308091458,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,20014312.290968172,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,20087810.709720559,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,20087810.709720559,0.1
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,20105258.080698539,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_0,听他言听得我心（呐）惊胆怕，,20108879.392638691,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_0,听他言吓得我心（呐）惊胆怕，,20108879.392638691,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_28,越思越想好伤惨，,20115236.826826982,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,20178128.077491909,0.1
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,20179902.467943642,0.1
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,20258419.773290224,0.0
sdxp-WoHeNi-SiLangTanMu.xml_10,怎奈我身在番难以过关。,20260167.132777747,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,20318022.808596354,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,20325110.634256858,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,20350378.194967587,0.1
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,20375658.948294155,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,20401969.665822938,0.1
lsxp-LiangGuoJiao-ShiJieTing-2.xml_4,此一番领（呃）兵去镇守，,20409260.079358418,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_12,我好（哇）比鱼儿吞了钩线，,20448904.532824077,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_24,执宝剑将贼的（呀）头割下，,20513785.040080938,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,20562449.135700498,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,20566976.744731665,0.0
lsxp-JiangShenEr-SanJiaDian.xml_0,将身儿来至在大街口，,20615702.236224331,0.0
lsxp-ZiGuDao-HuangHeLou.xml_1,主公不必加愁肠。,20632892.127527587,0.0
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,20635472.219547465,0.0
lsxp-JiangShenEr-SanJiaDian.xml_5,因此上发配到登州。,20660944.383770443,0.0
lsxp-ZouYingLong-DaYanSong.xml_1,在朝房来了我这保国忠。,20686163.594593018,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,20691327.435324907,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_1,问三娘发雷霆却是为何？,20711330.25840782,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,20780786.131661754,0.1
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,20787361.733098701,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_21,贼好比猛虎未（呀）曾长牙，,20792203.983009987,0.0
