皓月当空,0,皓月当空，
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,7797922.9337591287,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,7804262.4643681925,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,7806584.7065643957,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_0,海岛冰轮初转腾；,7813879.6242780285,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,7817394.3671615869,0.0
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,7848701.0541172251,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,7870822.5380222732,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,7871943.1684052506,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,7898641.9095006138,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,7903467.9932107627,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,7981837.9305656282,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,7993787.2073531039,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,8013599.9619332841,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,8039223.6258103186,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_3,乾坤分外明，,8077042.8704738971,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,8120253.7194261309,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,8161248.9530104939,0.25
daxp-JiaoZhangSheng-HongNiang.xml_4,这也算是一段风流佳话，,8206790.472274594,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,8264363.6475649327,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,8288586.6497235047,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,8320089.5027782582,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,8365386.267356596,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,8380751.5647657597,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,8392277.2779223491,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,8428440.2322780155,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,8430944.9537043627,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,8435968.8783630915,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,8443736.9579170831,0.0
danbz-KanDaWang-BaWangBieJi.xml_0,看大王在帐中和衣睡稳，,8450160.2939082421,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,8479930.6627447661,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,8485108.1358345859,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,8485340.4229226187,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,8495363.8522694185,0.25
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,8522580.4014959037,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,8549927.9735451043,0.0
daxp-ZheCaiShi-SuoLinNang.xml_2,回首繁华如梦渺，,8600803.0532498676,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,8608822.0712489039,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,8608960.8127257712,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,8669541.8411168437,0.25
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,8716328.1248530168,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,8719651.4447740559,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,8728719.1804965567,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,8750885.2349657044,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,8757191.4389802571,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,8775273.422895465,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,8778325.7734807171,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,8787276.0343660899,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,8796987.0906063821,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,8824189.9191901237,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,8828195.3386019506,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,8886194.7484977711,0.25
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,8887485.4086494334,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,8894605.9126598146,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,8922413.3004016522,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,8949061.1088431831,0.0
