乾坤分外明,0,乾坤分外明，
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,6371762.6271323636,0.0
daxp-ZheCaiShi-SuoLinNang.xml_6,种福得福如此报，,6507106.7908232752,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,6596326.9488999145,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,6624425.0266890395,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,6625872.4880446615,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,6660524.9141132552,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,6661978.5146420496,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,6745320.3713573767,0.0
daxp-GuanShiYin-TianNvSanHua.xml_4,绿柳枝酒甘露三千界上，,6789932.1383680692,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,6792037.1511065066,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,6807201.9945818419,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_2,我不免去安排罗衾绣枕，,6817408.1406974318,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,6863695.7418587077,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,6885525.3764344119,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,6945113.9367303587,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,6947891.8374910429,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,7046021.1224151189,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,7074345.8834749004,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,7225925.1123779686,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,7256097.1602743221,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,7324681.8141622441,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,7399970.8974862806,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,7408124.429817331,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,7418181.8510270761,0.0
daxp-GuanShiYin-TianNvSanHua.xml_5,好似我散天花就纷落十方；,7419144.6369384238,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,7429083.0652169352,0.0
