轿内的人儿弹别调,32,轿内的人儿弹别调，
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,7679114.8838541973,0.125
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,7681601.2774408823,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,7684847.7291172668,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,7688657.6540971473,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,7692519.2826236496,0.125
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,7697083.7720976407,0.125
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,7715989.3712184234,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,7717792.5843724366,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,7849810.0758195911,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,7912413.1388759306,0.125
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,7933086.1597039942,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,7941005.7089231983,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,7967788.8961829171,0.125
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,8041209.1588916136,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,8184944.9361355416,0.25
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,8201403.0770363212,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,8310530.914602668,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,8331421.0403573718,0.125
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,8344348.8426734237,0.125
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,8368002.5966616981,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,8433966.4257431105,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,8449294.845060112,0.0
