猛听得金鼓响画角声震,36,猛听得金鼓响画角声震，
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,7208448.8268676475,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,7220959.9396853158,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,7246088.0686019473,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,7265136.4416941823,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,7295730.5005577914,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,7341132.3488749797,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,7377182.1861534836,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,7441915.5670615276,0.1
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,7467585.1867300831,0.2
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,7472172.3403749438,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,7496776.5679693008,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,7517234.0105627524,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,7519324.3057819866,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,7526890.8788722875,0.1
daxp-LaoDieDie-SanJiZhang-2.xml_2,父道那薛平贵是那化郎模样，,7554194.6996247554,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,7612777.6230956381,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,7614089.6427132422,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,7627173.0759241618,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,7647820.4812539397,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,7651218.6123209726,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,7665482.4761870904,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,7699321.534983105,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,7762702.1405222695,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,7831488.3600068651,0.0
