放大胆忍气吞声休害怕,0,放大胆忍气吞声休害怕，
daxp-ZheCaiShi-SuoLinNang.xml_1,不想团圆在今朝。,8801947.6563324519,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,8850862.6288997289,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,8853215.311284719,0.0
daxp-ZheCaiShi-SuoLinNang.xml_5,善果心花可自豪。,8876848.0304502845,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,8944981.3862841446,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,9008439.4301260412,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,9014370.5666151475,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,9015703.8463271726,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,9029810.2478409279,0.1
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,9085322.0549217109,0.0
daxp-ZhiJianTa-WangJiangTing.xml_3,害得儿夫犯焦急；,9096933.9995907061,0.1
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,9110024.3362042774,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,9111017.5730298012,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,9164214.2383308113,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,9192980.911264848,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,9304208.3381317314,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,9320693.2005133927,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,9339574.4916811213,0.0
daxp-ZheCaiShi-SuoLinNang.xml_3,残生一线付惊涛。,9374536.8173419107,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,9416345.4491884541,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,9450278.3278916292,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,9462026.9808506705,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,9554212.0868425164,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,9563308.3257926144,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,9990586.4525253605,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,10008906.220233634,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,10013393.816798368,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,10093082.522783486,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,10118297.984858658,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,10122534.704563899,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,10217118.202404728,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,10227584.598266874,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,10243789.361397106,0.0
