放大胆忍气吞声休害怕,0,放大胆忍气吞声休害怕，
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,16704344.143692756,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,16720685.622770192,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,16773705.547375066,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,16788609.220880508,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,16788609.220880508,0.0
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,16824338.955278076,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,16880140.285960175,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,16894818.504715696,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,16965384.556324217,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,17087348.535153877,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,17127745.379849426,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,17198092.542415686,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,17224553.320800722,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,17296135.246556852,0.0
daxp-GuanShiYin-TianNvSanHua.xml_3,白鹦鹉与仙鸟在灵岩神岘上下飞翔；,17313489.033252388,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,17328915.166845232,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,17389935.983416889,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,17443314.542189009,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,17449908.732719559,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,17450366.058397185,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,17493946.781563118,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,17694524.481953006,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_1,见玉兔（哇）玉兔又早东升。,17735961.115323137,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,17873162.800808515,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,17890856.783622384,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,17917777.29548005,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,18091331.899542786,0.0
daxp-JiaoZhangSheng-HongNiang.xml_0,叫张生隐藏在棋盘之下，,18162872.307936661,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,18202817.221859477,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,18254730.736511208,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,18283427.746276673,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,18288620.698084209,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,18379672.552775767,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,18395601.469554469,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,18395679.355067637,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,18396243.422450386,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,18397151.093734451,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,18427519.778348334,0.1
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,18429817.043180399,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,18479350.073948994,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,18485431.390787799,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,18590026.075452588,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,18603429.592824761,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,18638695.351374909,0.0
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,18658025.993708257,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_6,奴似嫦娥离月宫。,18678540.079689413,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,18694524.271929953,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,18718867.93354857,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,18724299.493867312,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,18732056.076565217,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,18752969.137539532,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,18833417.922938611,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,18860403.445153087,0.1
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,18878447.792871021,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,18889423.744049918,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,18924582.556261819,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,18944553.230308324,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,18988044.274750974,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,19015805.354725618,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,19168223.828671075,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,19181391.719143461,0.1
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,19231243.597886339,0.1
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,19239119.643667758,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,19292977.640144512,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,19350321.358187675,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,19396176.042665668,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,19430699.21263919,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,19441999.38026201,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,19463471.186920725,0.0
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,19469334.51931243,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,19486383.532657545,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,19536688.281326808,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,19617458.074154757,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,19699447.610749416,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,19792632.989772718,0.0
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,19845863.912159,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,19871389.383599494,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,19893850.812855154,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,19938704.533725187,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,19964288.400889341,0.0
daxp-ZheCaiShi-SuoLinNang.xml_7,愧我当初赠木桃。,20042593.360155281,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,20056771.085713271,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,20108365.06346634,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,20383369.141375631,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,20407049.130055085,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,20632243.991885472,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,20759380.550417401,0.0
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,20792188.512254953,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,20845564.924261495,0.1
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,20905925.523905706,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,20928337.784358792,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,20937142.128823183,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,20948943.140788112,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,21013778.038679566,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,21023865.193007831,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,21048192.584030308,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,21178980.419529565,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,21204860.659864154,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,21292911.923138361,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,21456284.113671225,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,21645862.673473649,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,21693838.433919072,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,21729730.939842552,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,21801460.021116368,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,21992917.141085986,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,22000249.286776677,0.0
daspd-DuShouKong-WangJiangTing.xml_2,孀居愁苦泪洗面，,22126533.489123937,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,22281167.130563866,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,22312654.816369712,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,22351624.59966309,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,22366614.587843321,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,22745162.310540937,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,22941945.452246241,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,23108309.265590645,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,23313366.406996254,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,23401390.954278179,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,23544412.921889964,0.1
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,23578485.25995953,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,23632703.382221792,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,23659676.627762612,0.2
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,23736901.035626516,0.1
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,23898254.041217763,0.0
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,23946253.768662337,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_5,恰便似嫦娥离月宫，,23993339.137431551,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,24000788.478308853,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,24423232.947214462,0.1
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,24503405.4109855,0.0
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,24615941.755980551,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,24652106.887381937,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,24689886.431414213,0.1
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_2,那冰轮离海岛，,24733202.74262638,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,24942018.626029033,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,24955429.298932146,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,25180883.565203268,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,25181117.90926794,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,25181117.90926794,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,25204646.736648865,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,25473550.276001405,0.1
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,25581517.807130706,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,25761572.988399677,0.1
daxp-JiaoZhangSheng-HongNiang.xml_5,听号令且莫要惊动了她。,25834607.316536903,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,25893456.573543105,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,25954489.333856735,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,26019661.273501869,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,26500585.746685091,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,26551737.455986023,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,26687529.294505183,0.0
daspd-DuShouKong-WangJiangTing.xml_3,为避狂徒到此间。,26777495.575017717,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_2,父道那薛平贵是那化郎模样，,26802399.40734937,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,26827947.197450049,0.1
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,26938941.964777257,0.0
daxp-GuanShiYin-TianNvSanHua.xml_0,观世音满月面珠开妙相，,27086561.523516003,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,27528796.102422144,0.0
daxp-ZhiJianTa-WangJiangTing.xml_8,出二堂深施礼，,27533357.338418439,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,27585151.751156729,0.1
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,27723290.316752423,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,28069554.139478635,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,28093501.307384521,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,28204504.215687428,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,28213538.221246872,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,28259376.728759162,0.0
daeh-TanHongYan-HuoXiaoYu.xml_1,美满姻缘付东流。,28266060.457601879,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,28313337.152080242,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_1,算当初曾经得几晌温存。,28342746.234224223,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,28583310.097614516,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,28719358.912831362,0.1
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,29033328.96610719,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,29101754.416812532,0.0
daxp-ZhiJianTa-WangJiangTing.xml_6,低下头心生计，,29238486.863316931,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,29404161.104274061,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,29795311.985063873,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,30082842.030915,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,30101756.459654137,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,30130072.673215803,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,30140692.395396136,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,30302528.929842636,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,30515255.901413824,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,30643706.599098932,0.0
daxp-ZhiJianTa-WangJiangTing.xml_0,只见他一封书信握手里，,30676206.044275694,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,30704971.513850823,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,31736641.995839644,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,32080891.713050894,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_4,原来是不耐烦已经睡困，,32217557.023422178,0.0
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,32472546.588192586,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,32579303.969000664,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,32932085.725290135,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,33810997.047203578,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,33988021.30291196,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,34395465.167086065,0.1
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,34453638.928904034,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,34509022.68558982,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_11,不舍娇儿难救孤身。,34632061.261268042,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,34656722.800992168,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_19,叫人难解巧机关，,34745926.726992667,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,34888708.822779633,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,35215755.985945828,0.1
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,35366797.737755321,0.1
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,36075070.010205768,0.0
daxp-QiaoLouShang-HuangShanLei.xml_10,我不免引寒机伴奴坐等，,36093081.898864463,0.0
daxp-GuanShiYin-TianNvSanHua.xml_7,催祥云驾瑞彩速赴佛场。,36788915.862945199,0.0
daxp-XiShiNv-XiShi.xml_3,每日里浣纱去又傍清溪。,37556418.732242264,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,37875661.219677858,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,38270339.882968806,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,38327307.063383356,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,38727293.997629389,0.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,38897979.874519385,0.0
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,39147842.019146726,0.1
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,39509169.267635778,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,39509169.267635778,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,40308208.715043269,0.0
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,40348472.014697097,0.1
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,40722970.231135145,0.1
lsxp-JiangShenEr-SanJiaDian.xml_4,杨林与我来争斗，,40787800.224001661,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,40953979.286020473,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,41021123.868870817,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,42222151.110254459,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,42250058.002818964,0.0
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,42775925.596978784,0.0
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,43751828.494688302,0.0
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,44805018.613164678,0.0
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,45405174.124632165,0.0
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,46029676.66217383,0.0
daxp-ZheCaiShi-SuoLinNang.xml_0,这才是人生难预料，,46733741.854055867,0.0
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,47539194.673783138,0.0
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,47928112.571361907,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,47928112.571361907,0.0
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,48114211.731309362,0.0
lsxp-JiangShenEr-SanJiaDian.xml_6,舍不得太爷的恩情厚，,48990996.454506062,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_3,发奋自强日夜读诗文。,49053063.680391699,0.0
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,49478562.705168679,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,49498717.944542952,0.1
lsxp-DaHeYi-SiLangTanMu.xml_13,十五年前沙滩会，,49882516.245692261,0.0
lsxp-ZheYiFeng-DingJunShan.xml_1,天助黄忠成功劳。,50309194.653187968,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_1,今朝仙女会襄王。,50416147.564124838,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_30,朝臣待漏（哇）五更寒，,51124139.385355778,0.0
lseh-LaoZhangBu-WuPenJi.xml_3,我本屈死一鬼魂。,51938751.596247986,0.0
lsxp-JiangShenEr-SanJiaDian.xml_0,将身儿来至在大街口，,52060849.151611798,0.1
lseh-XinZhongYou-WenZhaoGuan.xml_14,朝臣待漏五更寒。,53311709.319233455,0.0
lseh-ZenNengGou-BaDaChui.xml_1,前后话对文龙细说衷情。,53956438.001782864,0.0
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,54356183.342236996,0.0
lsxp-JiangShenEr-SanJiaDian.xml_12,儿想娘亲难叩首，,55225023.673897564,0.0
lsxp-JiangShenEr-SanJiaDian.xml_14,眼见得红日坠落在西山后，,56211621.657700501,0.0
sdxp-DangNianHan-SanJiZhang.xml_15,未央宫斩的是韩信，,57490780.509000093,0.0
sdxp-SuLongWei-WuJiaPo.xml_16,送与大嫂把家安。,59275017.969127595,0.1
lsxp-WoZhuYe-ZhuiHanXin.xml_10,项羽不遵怀王约，,60251936.732407138,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_6,也是我主洪福广，,62296952.887730569,0.0
lseh-XiRiLi-BaoLianDeng.xml_10,首阳山前冻饿死（喏）。,62936654.079684131,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_21,贼好比猛虎未（呀）曾长牙，,63196210.502207927,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_9,来年必定降麒麟。,63679088.865975745,0.0
lsxp-ZouYingLong-DaYanSong.xml_7,站立在殿角用目来观定，,63825172.98925487,0.0
sdxp-WoHeNi-SiLangTanMu.xml_8,我的娘押粮草来到北番。,65165692.818268515,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_1,诬杀赵家一满门。,65288298.944254965,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_4,吕伯奢可算得义气大，,65898763.669863611,0.2
lsxp-JiangShenEr-SanJiaDian.xml_8,实难舍街坊四邻与我的好朋友，,66785683.488941729,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_12,今日里萧何荐良将，,67185619.072378308,0.0
lseh-LaoZhangBu-WuPenJi.xml_7,望求老丈把冤伸。,67707660.389802396,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_12,我好（哇）比鱼儿吞了钩线，,69302481.961815983,0.1
lseh-YiLunMing-WenZhaoGuan-2.xml_12,我好（呃）比鱼儿吞了钩线，,69470052.479190409,0.1
lsxp-ZouYingLong-DaYanSong.xml_2,那一日打从大街进，,69534703.074595228,0.1
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,70410289.737791583,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_16,我只说贼是个宽宏量大，,70925182.008662388,0.1
lsxp-JiangShenEr-SanJiaDian.xml_10,娘生儿连心肉，,71650116.202495694,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_6,又谁知此贼的疑心太大，,72756358.73483108,0.1
lseh-YiLunMing-ZhuoFangCao-1.xml_13,越思越想把事来作差。,72939313.250128746,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,73053149.450110048,0.0
