想当年桃花马上威风凛凛,0,想当年桃花马上威风凛凛，
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,6550198.3980368432,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,6559638.7616954716,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,6568321.5369358789,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,6617316.0205794144,0.09090909090909091
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,6640809.0423346441,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,6641190.3566992413,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,6662927.2384419274,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,6727627.648743852,0.09090909090909091
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,6826627.8070066236,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,6860519.9100495493,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,6872978.9587967824,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,6939478.5627331669,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,6970412.3092839764,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,6993067.7994357683,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,7002963.8038548334,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,7016968.7643881878,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,7030833.3117094589,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,7082681.0847811876,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,7105562.987044232,0.0
