孀居愁苦泪洗面,2,孀居愁苦泪洗面，
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,5734796.9722848963,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,5744249.2987740431,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,5771092.2141600754,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,5799759.9008793384,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,5811662.3415910322,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,5829660.5301359929,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,5833731.5565886032,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,5833895.4766222881,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,5838059.1552410359,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,5910276.111367804,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,5926506.7744991276,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,5933946.7584377602,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,5969846.0181487799,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,5990693.7883452652,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,6012449.0270387204,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,6043262.264371464,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_2,那冰轮离海岛，,6055005.0855971174,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,6086824.4636697033,0.0
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,6093827.3856479106,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,6118532.2439686591,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,6129882.1685137711,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,6147623.061401953,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,6164374.364137047,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,6170545.9905773895,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,6180263.1383155435,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,6196948.0700266957,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,6207878.5626639044,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,6232072.279824526,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,6266375.4273643931,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,6293419.8103330405,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,6322653.7918526446,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,6362019.3087148583,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,6380097.6222505327,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,6398597.3967650924,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,6403206.6456425367,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,6419142.4231882365,0.0
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,6427571.3610505955,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,6443796.9411799302,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,6455486.5403688746,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,6477411.3445801204,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,6481689.8550152583,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,6551542.6806988912,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,6581966.4598437948,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,6600123.7717592968,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,6600487.0272785937,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,6679031.5108942017,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,6710439.2694185767,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,6712586.8662738362,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,6734258.6283083921,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,6792560.3114724196,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,6829176.9645849122,0.0
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,6842031.8463688241,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,6871282.2752074851,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,6874967.1208887417,0.0
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,6888321.716159788,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,6888321.716159788,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,6890239.9703655727,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,6933425.1132980213,0.14285714285714285
