隔帘只见一花轿,0,在隔帘只见这一花轿，
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,7343752.7846883945,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,7377480.5820397139,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,7414830.7879274562,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,7423981.3228423726,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,7512122.5215281118,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,7532749.0043915072,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,7549165.4059621114,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,7579242.8392155198,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,7585697.8223045487,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,7635831.2588725938,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,7658082.1033418225,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,7662715.2287738761,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,7688057.7669818262,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,7690522.6053811731,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,7704685.2842056211,0.14285714285714285
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,7726960.4642597511,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,7743484.2842829674,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,7751738.2845782302,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,7828261.2736546267,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,7839767.9333735723,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,7854144.5101315193,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,7855156.1138488902,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_2,父道那薛平贵是那化郎模样，,7885973.4013439873,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,7886092.4118138719,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,7928431.6440582573,0.14285714285714285
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,7980969.0983480541,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,7993556.1053202525,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,8032796.5230214735,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,8042887.8712878358,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,8107863.5014189268,0.14285714285714285
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,8108514.3053634642,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,8149185.2767743869,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,8163327.0934608439,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,8187815.2271915954,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,8201705.4952337202,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,8231213.3044416131,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,8237786.8764872011,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,8265807.9491841355,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,8355883.9490832034,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,8461954.1582372934,0.2857142857142857
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,8470424.0366121288,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,8494283.8999787141,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,8519008.7755260468,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,8522268.4363329224,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,8530674.360596627,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,8534604.5074999612,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,8563726.0700167269,0.14285714285714285
