隔帘只见一花轿,0,在隔帘只见这一花轿，
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,11736843.59483253,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,11764332.986716289,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,11777920.50588426,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,11787318.707120046,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,11822589.537429787,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,11831373.151570238,0.14285714285714285
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,11836671.491595771,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,11841008.328200271,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,11853635.725265343,0.0
daeh-TanHongYan-HuoXiaoYu.xml_1,美满姻缘付东流。,11869621.08052616,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,11916821.273073656,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,11923764.623583684,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,11982400.293784896,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,11983520.385050284,0.2857142857142857
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,11998794.549356872,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,12016187.96520306,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,12023539.234063841,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,12044184.887638241,0.14285714285714285
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,12089041.369694041,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,12108313.672979664,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,12157600.759120638,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,12175387.943369616,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,12182938.498094616,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,12192541.72629483,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,12246190.926720491,0.14285714285714285
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,12315213.104767071,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,12335763.81142802,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,12335834.906589767,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,12341633.198518382,0.0
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,12343205.850496719,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,12354897.314242752,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,12387319.900681915,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,12390122.717143966,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,12525027.549999043,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,12545424.45153846,0.14285714285714285
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,12605703.583814442,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,12622273.24157599,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,12688576.558485392,0.14285714285714285
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,12697019.045400959,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,12711221.884341706,0.2857142857142857
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,12724134.2923446,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,12733082.702309294,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,12798838.61033392,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,12846759.780814564,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,12864870.197248247,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,12887519.138920626,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,12887833.928539786,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,12924686.953323975,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,12936049.27301871,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,13009434.899370007,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,13113619.069061199,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,13146114.204587586,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,13152778.784796648,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,13153925.136656951,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,13191999.937747955,0.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,13193688.774326194,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,13242841.490928506,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,13270292.56770221,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,13274401.364661759,0.14285714285714285
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,13334474.968123375,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,13342888.913286589,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,13361279.666820232,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,13366243.196555173,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,13381511.320447132,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,13435047.892809674,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,13452551.705253882,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,13490053.615824904,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,13504882.750587491,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,13596544.503777318,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,13697668.784047015,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,13728371.494492827,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,13750103.468453694,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,13870971.010710994,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,13870971.010710994,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,13874423.855259083,0.14285714285714285
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,13923695.571418123,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,13953947.713028789,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,13983972.498502195,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,13988266.089224115,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,14018552.806658851,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,14018552.806658851,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,14027731.695660532,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,14107626.36645532,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,14110874.336266326,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,14145111.088365316,0.14285714285714285
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,14221233.600978246,0.14285714285714285
daxp-QiaoLouShang-HuangShanLei.xml_10,我不免引寒机伴奴坐等，,14246458.71316446,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,14399856.974809717,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,14406569.840085829,0.14285714285714285
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,14415214.255592769,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,14508225.039667714,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,14508759.126159744,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,14639357.562789435,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,14657684.333487837,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,14711610.32828063,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,14749415.592448914,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,14752999.801774753,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,14774166.410948414,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,14800508.635529168,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,14875960.659547057,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,14946237.386890281,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,14953948.777318897,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,14984749.650260711,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,14984749.650260711,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,15011416.168579901,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,15118710.636247296,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,15197828.516485771,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,15233895.35433517,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,15277829.18272054,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,15388215.637644237,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,15487887.725914985,0.0
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,15595037.156369286,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,15605639.882435966,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,15647895.199113261,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,15705266.855503753,0.0
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,15807337.884177646,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,15820290.498465229,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,15871346.134744147,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,15906512.36681075,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,15931025.474886341,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,15935557.04036396,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,16032926.819208177,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,16059650.857169749,0.14285714285714285
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,16246043.729498889,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,16292547.648186078,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,16301822.067831999,0.14285714285714285
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,16360483.093225816,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,16368094.776535545,0.14285714285714285
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,16376844.73079109,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,16440740.284944354,0.14285714285714285
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,16524960.370740257,0.0
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,16638466.723182803,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,16975261.007784996,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,17130872.016165204,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,17320767.22895119,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,17333987.508785427,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,17572087.620314371,0.0
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,17601429.095229492,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,17601429.095229492,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,17722419.020881448,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,17892184.533802401,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,17923725.603730708,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,17993432.50461784,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,18006669.773406688,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,18167097.93277996,0.14285714285714285
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,18286172.95396214,0.14285714285714285
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,18375267.269867588,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,18402605.308798734,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,18493923.459386997,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,18641028.211069066,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,18673972.694991894,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,18767174.315675195,0.0
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,18995265.198216088,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,19080172.094045073,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,19133402.148701668,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,19191680.080521002,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,19269049.574017353,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,19321593.075914968,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,19444319.851696666,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,19562858.810505576,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,19780712.952425778,0.14285714285714285
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,20304868.431267336,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,20346701.084548481,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,20574045.464569323,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,20575086.424281556,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,21014989.004881363,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,21104369.501310751,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,21402061.866762836,0.2857142857142857
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,21402724.568955336,0.14285714285714285
daxp-XiShiNv-XiShi.xml_3,每日里浣纱去又傍清溪。,21597755.486721322,0.0
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,21608266.227623772,0.2857142857142857
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,21642599.392279062,0.0
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,21956173.858973008,0.0
sdxp-DangNianHan-SanJiZhang.xml_15,未央宫斩的是韩信，,23393563.891715232,0.0
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,23644560.678817216,0.0
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,24694328.066121511,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_1,今朝仙女会襄王。,26629338.181570433,0.0
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,26839760.282214288,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,27116301.798280731,0.0
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,29719415.886361662,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_3,发奋自强日夜读诗文。,40715476.537696071,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_5,杀猪（喏）沽（哇）酒款待于他，,405714711.58325225,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,527349225.32079744,0.14285714285714285
lseh-YiLunMing-ZhuoFangSuDian.xml_5,杀猪（喏）沽酒款待与他，,536338709.85678291,0.0
lseh-XiRiLi-BaoLianDeng.xml_6,弟让兄来兄不能应（呐）允，,540058013.94753158,0.0
lseh-ZiNaRi-HongYangDong.xml_3,那乃是萧天佐以（呀）假成真；,560262403.6997205,0.0
lsxp-ZheYiFeng-DingJunShan.xml_3,大小儿郎听根苗，,561200834.74467778,0.0
lseh-XiRiLi-BaoLianDeng.xml_12,为父的怎比得孤竹君，,588635228.49191189,0.0
lseh-ZiNaRi-HongYangDong.xml_6,老军报他二人在洪洋（呃）洞丧（呃）命，,592513282.75913298,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,617344813.6495409,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_13,越思越想把事来作差。,634102695.71179414,0.0
lseh-YangYanZhao-PengBei.xml_3,又只见老爹爹瞌睡沉沉。,638957965.3050065,0.2857142857142857
lseh-YiLunMing-ZhuoFangCao-1.xml_9,年迈的老丈命（呐）染黄沙。,643553770.29546964,0.0
lseh-XiRiLi-BaoLianDeng.xml_3,传口诏命次子即位为君，,646523039.63904929,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_7,老天爷不绝我的后代根。,701247811.94847679,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,710278055.98167932,0.2857142857142857
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,720628378.27095652,0.0
lseh-YangYanZhao-PengBei.xml_1,在中途得一信甚是不明。,723846879.9002912,0.14285714285714285
lsxp-ZiCongQian-ZhuLianZhai.xml_4,山高路远少来问候，,725384146.64022148,0.0
lseh-XiRiLi-BaoLianDeng.xml_1,伯夷叔齐二大贤人，,728650770.29399753,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_9,年迈的老丈命（呐）染黄沙。,741734442.39710915,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_6,一连几天我的眉不（呃）展，,743365408.40643334,0.14285714285714285
lseh-XinZhongYou-WenZhaoGuan.xml_13,想当初在朝为官宦，,750972445.55446601,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_29,想当初在朝为官宦，,750972445.55446601,0.0
lseh-ZiNaRi-HongYangDong.xml_7,去了我左右膀难以飞行。,760564529.3529824,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,761396915.82634306,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_6,一连几天我的眉不（哇）展，,783761677.09414756,0.14285714285714285
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,788313872.87793481,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_6,又谁知此贼的疑心（呐）太（呀）大，,788651590.34805501,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,791588406.00417006,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,793097395.73382568,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,793097395.73382568,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_3,两路分（呐）兵定咸阳。,801506881.59076154,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_11,不舍娇儿难救孤身。,802494233.19819117,0.0
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,803493031.18729389,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,807240603.92564857,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,809536728.85391402,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,813182150.70884967,0.2857142857142857
lseh-XinZhongYou-WenZhaoGuan.xml_2,背地里只把东皋公怨，,817160026.79649818,0.14285714285714285
lseh-YiLunMing-ZhuoFangSuDian.xml_4,吕伯奢可算得义气（呀）大，,818203824.67877507,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_1,我也曾平服了塞北西东。,820292154.185776,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,820294178.23110831,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_2,我先前只望他宽宏量（呃）大，,821283374.49029624,0.14285714285714285
lsxp-TingTaYan-ZhuoFangCao-2.xml_2,我先前只望他宽宏量（呃）大，,821283374.49029624,0.14285714285714285
lseh-XiRiLi-BaoLianDeng.xml_10,首阳山前冻饿死（喏）。,825163847.13079166,0.0
lseh-ZiNaRi-HongYangDong.xml_4,二次（喏）里命孟良番营来进，,826146606.37936807,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,830248488.95311105,0.0
lseh-XiRiLi-BaoLianDeng.xml_13,二娇儿也难比那两个贤人。,848430892.95444834,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,849914556.68028462,0.0
lsxp-DaHeYi-SiLangTanMu.xml_13,十五年前沙滩会，,855489676.29917872,0.0
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,858027762.82676375,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_10,屈死的冤鬼魂休要怨咱，,862721550.54465723,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_14,撩袍端带我把金殿上，,863282557.8740077,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_18,背地里只把东皋公怨，,866268837.18983221,0.14285714285714285
lseh-XiRiLi-BaoLianDeng.xml_8,那伯夷出午门无（哇）有踪（呃）影，,868099843.50534105,0.0
lseh-ZiNaRi-HongYangDong.xml_8,为此事终（啊）日里忧成疾病，,868855727.70563734,0.0
sdxp-WoHeNi-SiLangTanMu.xml_3,杨廷辉有一日愁眉得展，,869690031.26608729,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-1.xml_8,一家人倶丧在宝剑之（喏）下，,870889562.66368425,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-2.xml_6,又谁知此贼的疑心太大，,872573330.28905725,0.0
lseh-XiRiLi-BaoLianDeng.xml_14,打死了别家子父能作主，,875604969.32207501,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_20,贼好比蛟龙未生鳞甲，,878144026.24923635,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_0,听他言听得我心（呐）惊胆怕，,884607774.83531201,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_0,听他言吓得我心（呐）惊胆怕，,884607774.83531201,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_5,杀猪沽酒款待与他。,886035175.25650418,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,887220153.85544753,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_7,一路上得遇陆贾、郦生与张良。,889427831.65670681,0.14285714285714285
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,891588214.1132443,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,892033031.75978386,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,892033031.75978386,0.0
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,894541832.31979012,0.14285714285714285
lsxp-WoZhuYe-ZhuiHanXin.xml_1,拔剑斩蛇天下扬。,897501319.80532253,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_10,屈死的怨鬼魂休要怨（呐）咱，,901362662.61045527,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,904574527.10649705,0.14285714285714285
lseh-JinZhongXiang-ShangTianTai.xml_3,武仗着姚皇兄保定乾坤。,905374812.96262252,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,909491319.35986483,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,911694947.01137161,0.0
