想当年桃花马上威风凛凛,0,想当年桃花马上威风凛凛，
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,1574722.1843324839,1.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,3300353.216307688,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,3385899.3959574909,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,3490811.717274345,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,3790439.6460434026,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,3830323.5680495077,0.09090909090909091
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,3899699.9958457956,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,3915090.4309210759,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,3949191.5179033694,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,3978533.6681981701,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,4033638.2327435585,0.09090909090909091
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,4041901.9343004981,0.09090909090909091
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,4076072.3537126882,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,4152599.9109495319,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,4173415.2145073996,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,4379291.1376084881,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,4456355.0706234267,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,4528908.261267581,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,4532270.0682458226,0.09090909090909091
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,4560376.1386860432,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,4611797.1058172518,0.09090909090909091
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,4678817.9944680687,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,4683096.168374517,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,4822018.3798561282,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,4850610.1855305256,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,4898631.7194585986,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,4901120.8371898644,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,4909399.8012575954,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,4947790.1053623734,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,4952434.1031413283,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,4994217.3730411576,0.0
