辛喜得珍珠衫称心如愿,0,幸喜得珍珠衫称心如愿，
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,9931821.7726494428,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,9932949.5316077303,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,9940888.3841585685,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,9941432.112211071,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,9948891.1987753045,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,9958789.4716810025,0.1
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,9965872.2872147597,0.1
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,10013222.057156729,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,10037686.670340266,0.1
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,10053765.89410165,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,10056410.265006244,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,10073317.835058214,0.1
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,10080120.827968214,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,10111337.709821045,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,10130731.887998618,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,10134751.678586986,0.1
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,10135060.007686324,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,10144888.113137502,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,10180314.597235871,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,10209647.679266987,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,10245408.654321618,0.1
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,10259941.428560412,0.0
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,10293111.290184749,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,10303143.699381899,0.0
daxp-XiShiNv-XiShi.xml_3,每日里浣纱去又傍清溪。,10314143.07789488,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,10322064.716339529,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,10357669.759676788,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,10386417.169522399,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,10443644.060302747,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,10447349.860928195,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,10466267.919791687,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,10477891.404525859,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,10481813.955737898,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,10513584.813303536,0.1
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,10563007.340428637,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,10607372.810300203,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,10623098.275734421,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_5,恰便似嫦娥离月宫，,10669152.189251442,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,10674910.056164021,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,10707194.006430285,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,10744105.85105262,0.1
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,10751543.535111692,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,10765066.623929916,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,10778538.876005286,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,10808173.45435624,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,10811492.529141685,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,10858251.543999167,0.1
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,10872895.805427903,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,10906680.90393612,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,10920508.089144329,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_1,算当初曾经得几晌温存。,10986289.515380148,0.1
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,11019519.039492702,0.0
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,11035119.317128815,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,11064902.207070328,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,11070774.909060527,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,11101565.698893299,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,11101934.287445063,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,11125971.307478288,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,11135625.76994931,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,11166467.371992843,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,11169093.951073028,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,11177433.168234641,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,11184230.533911414,0.4
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,11194145.37739267,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,11198164.554650672,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,11222287.960752036,0.1
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,11223768.000236124,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,11237629.258963171,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,11289236.826660698,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_6,奴似嫦娥离月宫。,11290702.022249768,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,11303724.652489042,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,11318312.667854512,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,11354192.180928279,0.1
daxp-ZhiJianTa-WangJiangTing.xml_6,低下头心生计，,11362168.764260227,0.1
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,11392261.249793043,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,11451811.057260506,0.0
daxp-ZheCaiShi-SuoLinNang.xml_7,愧我当初赠木桃。,11464865.300437925,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,11476338.982709516,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,11484248.459441857,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,11531964.753283544,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,11548344.296048891,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,11548379.076798413,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,11590283.245913506,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,11669311.327975526,0.0
daxp-GuanShiYin-TianNvSanHua.xml_1,有善才和龙女站立两厢；,11684811.392562531,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,11686286.773846513,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,11787499.814455464,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,11795267.696826313,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,11800787.981116049,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,11816265.669709096,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,11833188.995471586,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_2,父道那薛平贵是那化郎模样，,11836183.824654255,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,11838140.129881719,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,11856741.910578238,0.2
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,11881187.346565124,0.2
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,12111872.74065234,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,12286931.866371781,0.0
daxp-GuanShiYin-TianNvSanHua.xml_2,菩提树薝卜花千枝掩映，,12294727.054701151,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,12295828.299563019,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,12319584.181143401,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,12390817.661862526,0.1
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,12428476.34838669,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_3,莫负他好春宵一刻千金。,12447411.037993681,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,12469531.616886396,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,12481145.47974138,0.0
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,12510721.065400254,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,12554685.67968091,0.1
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,12573416.533383805,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,12601671.150366312,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,12605477.994833456,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,12632801.707773957,0.2
daxp-GuanShiYin-TianNvSanHua.xml_6,满眼中清妙景灵光万丈，,12839712.21048156,0.0
daxp-ZhiJianTa-WangJiangTing.xml_8,出二堂深施礼，,12853186.372663764,0.0
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,12863629.916297145,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,12958289.393890394,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,12966248.864814768,0.1
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,13014254.237623742,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,13061410.351824937,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,13111500.958202327,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,13113376.663405202,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,13139955.097924994,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,13186694.869386822,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,13208264.727015145,0.1
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,13224247.340550253,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,13261488.164442211,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,13273712.008619385,0.0
daxp-GuanShiYin-TianNvSanHua.xml_5,好似我散天花就纷落十方；,13315033.77432009,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,13346590.609295538,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,13421780.770014388,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,13435248.330627605,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,13445339.482386691,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,13483060.044494029,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,13491254.178623684,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,13587948.165232139,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,13642159.878130276,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,13658266.205563895,0.1
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,13660118.395171184,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,13676037.004232321,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,13684837.797236467,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,13687468.605820764,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,13758064.559640141,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,13770517.860653656,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,13824296.687899476,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,13824813.51557974,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,13830184.420532718,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,13897970.246640151,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,13937954.99775867,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,13995968.375743916,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,14000507.996574096,0.0
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,14025255.855731387,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_5,待我来搀扶（哇）你重订鸳盟。,14065111.429655911,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,14178992.251572931,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,14186187.226166092,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,14216451.260922499,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,14231360.114647962,0.0
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,14332376.989062371,0.1
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,14425772.04364874,0.2
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,14477765.978276692,0.1
danbz-BeiJiuChan-ChunGuiMeng.xml_2,我不免去安排罗衾绣枕，,14482830.522120275,0.0
daxp-ZheCaiShi-SuoLinNang.xml_6,种福得福如此报，,14531263.199815687,0.2
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,14587217.034746386,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,14614610.907819891,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,14621657.369711852,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,14846173.432537071,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,14851501.036916045,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,14889399.582242012,0.1
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,14910019.907537965,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,15068362.016967926,0.1
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_3,发奋自强日夜读诗文。,15124786.578234149,0.0
daxp-ZheCaiShi-SuoLinNang.xml_2,回首繁华如梦渺，,15394546.739639712,0.1
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,15410353.429208424,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,15497652.28539864,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,15504622.146126565,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,15607771.610747665,0.1
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,15608638.206260642,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,15623105.653527906,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,15676984.240687195,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,15862788.341971014,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,15949337.452013699,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,16165546.62355355,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,16181642.622050723,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,16405144.097150451,0.1
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,16628578.451104971,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,16637811.424730245,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,16746923.552429283,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,16858713.687157832,0.0
danbz-KanDaWang-BaWangBieJi.xml_0,看大王在帐中和衣睡稳，,16949387.849237274,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,16964809.241745446,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,17147200.609325655,0.1
daxp-ZheCaiShi-SuoLinNang.xml_5,善果心花可自豪。,17321190.842840292,0.1
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,17329656.664758056,0.0
daxp-ZhiJianTa-WangJiangTing.xml_3,害得儿夫犯焦急；,17425438.417385738,0.1
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,17504812.342449758,0.1
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,17595274.578185167,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,17683391.950598177,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,17724707.425720323,0.1
daxp-ZheCaiShi-SuoLinNang.xml_1,不想团圆在今朝。,17724707.425720323,0.0
daxp-ZhiJianTa-WangJiangTing.xml_2,何人来把书信寄？,17774428.113456797,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,17894736.772814799,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,18311132.063518256,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,18396395.054801866,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,18426629.903651234,0.2
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,18590865.657964531,0.2
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,18611048.788348746,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,18624571.138144381,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,18748980.37490131,0.1
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,19060243.944397196,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,19079470.749015529,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,19132144.351484269,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,19378921.135231003,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,19415073.512832042,0.1
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,19760604.775670961,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,19935315.090408579,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,19968422.036391445,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,20061578.341404364,0.0
daxp-ZhiJianTa-WangJiangTing.xml_4,莫不是平地风波起，,20124013.235694259,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,21215153.362023871,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,21550590.51761017,0.0
daxp-JiaoZhangSheng-HongNiang.xml_4,这也算是一段风流佳话，,21780843.724584896,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,22053562.240708653,0.1
daxp-JiaoZhangSheng-HongNiang.xml_2,放大胆忍气吞声休害怕，,22101173.528745513,0.0
daxp-ZheCaiShi-SuoLinNang.xml_4,柳暗花明休啼笑，,22700942.179223523,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,23281509.48420275,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,23440296.98897393,0.0
daxp-GuanShiYin-TianNvSanHua.xml_4,绿柳枝酒甘露三千界上，,24132239.394452509,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,24627646.089528453,0.0
danbz-KanDaWang-BaWangBieJi.xml_1,我这里出帐外且散愁情。,25801146.585809216,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,26514123.848591901,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_3,乾坤分外明，,27106847.968981776,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_4,皓月当空，,28357588.704356827,0.0
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,41697380.106604837,0.1
sdxp-WoHeNi-SiLangTanMu.xml_17,公主叫我盟誓愿，,540269431.19604027,0.1
lsxp-CiShiJian-HuaiHeYing-1.xml_7,生死二字（喏）且由他。,630717144.45166075,0.0
lseh-ZiNaRi-HongYangDong.xml_2,我前番命孟良骸骨搬（呐）请，,689682139.31254947,0.0
lsxp-WeiCengKai-QiYuanBao.xml_2,家住在南阳太平庄，,712164116.9635278,0.0
sdxp-SuLongWei-WuJiaPo.xml_9,衙里衙外我打点，,716863851.79197156,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_10,千言万（哪）语她不肯，,725434733.23606575,0.0
lseh-LaoZhangBu-WuPenJi.xml_1,我有言来你是（喏）听。,779568889.51894617,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_26,要相逢陈非是梦（兀）里团圆。,821957571.83493686,0.0
lsxp-ZheYiFeng-DingJunShan.xml_9,到明天午时三刻要成功劳。,824986894.63582492,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_1,我也曾平服了塞北西东。,836929387.92847502,0.0
lseh-JinZhongXiang-ShangTianTai.xml_1,寡人喜的是五谷丰登。,860298446.80354071,0.1
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,863022386.14187968,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_1,我也曾平服了塞北西东。,864485890.66798139,0.0
sdxp-SuLongWei-WuJiaPo.xml_5,西凉川四十单八站，,867725940.3922348,0.0
lsxp-ZouYingLong-DaYanSong.xml_0,忽听得万岁宣应龙，,868663740.79957783,0.1
lsxp-JiangShenEr-SanJiaDian.xml_5,因此上发配到登州。,888246032.06473899,0.0
lsxp-WoBenShi-KongChengJi-2.xml_1,凭阴阳如反掌保定乾坤。,890328635.96383822,0.1
lseh-WeiGuoJia-HongYangDong-2.xml_1,我也曾平服了塞北西东。,900652990.05891871,0.0
lseh-XiRiLi-BaoLianDeng.xml_2,都只为孤（哇）竹君身染重病（哪），,901342317.49686241,0.0
lsxp-WoBenShi-KongChengJi-1.xml_1,论阴阳如反掌保定乾坤。,903417391.77010059,0.1
lsxp-ShenGongWu-LongFengChengXiang.xml_3,耳听笙歌闹喧哗。,911078596.34494829,0.0
sdxp-WoHeNi-SiLangTanMu.xml_15,宋营（哪）虽然路途远，,918093500.65588832,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_2,官封到节度使（喏）皇王恩重，,928605635.47507167,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_3,赏罚中公（呃）平莫要自由。,945515901.84020567,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_2,官封到节度使（喏）皇王恩重，,947243029.20636618,0.0
sdxp-SuLongWei-WuJiaPo.xml_13,腰中取出银一锭，,947387350.46899414,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_24,执宝剑将贼的（呀）头割下，,951604685.78738487,0.0
lsxp-DaHeYi-SiLangTanMu.xml_9,家住后山磁州郡，,952142707.0316484,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_2,悔不该心猿并意马，,967215703.85767317,0.1
lseh-LaoZhangBu-WuPenJi.xml_4,我忙将树（呃）枝摆摇（哇）动，,986743660.42992008,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_0,深宫无（哇）处不飞花，,994765627.33568394,0.0
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,995743896.37332821,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_1,问三娘发雷霆却是为何？,1008725638.2054014,0.0
