但愿得令公令婆别无异见,2,但愿得令公令婆别无异见，
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,6907927.1384062301,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,6928043.714519511,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,6974454.6922877748,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,7011204.0233473768,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,7062478.3373526614,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,7112417.3546522446,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,7115068.7337647574,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,7203707.9957323633,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,7209271.2442550715,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,7251489.8171520606,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,7277602.9522803752,0.09090909090909091
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,7301542.2751528919,0.09090909090909091
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,7360638.6917953417,0.0
daxp-ZhiJianTa-WangJiangTing.xml_5,隐情不敢实告妻。,7370379.6161683118,0.0
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,7385764.2045467319,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,7417432.0125507871,0.0
danbz-KanDaWang-BaWangBieJi.xml_2,轻移步走向前荒郊站定，,7445227.5628634905,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,7456788.2303278726,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,7478340.6296298839,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,7526832.0484820921,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,7537499.4165923763,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,7540723.547753348,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,7546924.0674566459,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,7556511.8610512521,0.18181818181818182
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,7603597.5991185019,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,7612058.4968153369,0.09090909090909091
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,7650483.4060131153,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,7655918.823405535,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,7698242.5740356492,0.0
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,7748449.1522231186,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,7750313.0441053016,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,7767872.4011084531,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,7777924.224052771,0.0
daxp-QiaoLouShang-HuangShanLei.xml_10,我不免引寒机伴奴坐等，,7786825.942996663,0.0
daspd-DuShouKong-WangJiangTing.xml_2,孀居愁苦泪洗面，,7837107.4869674109,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,7969058.4799402244,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,8006091.941879957,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,8044815.5467333263,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,8068238.0087684831,0.09090909090909091
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,8086090.7616777075,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,8087471.6445679003,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,8092114.1916680522,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,8092312.877234281,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,8102350.3350845343,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,8128337.6835862482,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,8141380.9202903258,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,8144561.066278372,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,8160658.8916557804,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,8165786.3890901124,0.09090909090909091
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,8169987.4012274072,0.0
