也有饥寒悲怀抱,80,亦有饥寒悲怀抱，
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,3976934.924881672,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,3981737.6824850976,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,3988109.966598806,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,3993852.4461593148,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,4032778.2900489308,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,4038951.8179389518,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,4059226.2813714705,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,4063831.6976607433,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,4069610.6389482692,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,4072771.7395216962,0.0
daxp-ZheCaiShi-SuoLinNang.xml_4,柳暗花明休啼笑，,4104519.1489366912,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,4136911.7665457819,0.2857142857142857
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,4140596.6584934513,0.14285714285714285
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,4166448.018920999,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,4190146.3983533536,0.0
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,4190587.0355450627,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,4196453.9761152659,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,4211853.9545591176,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,4218657.0858066725,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,4230997.0754823983,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,4250497.8160107015,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,4255587.8032832043,0.8571428571428571
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,4259263.1767954137,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,4285315.1736153336,0.0
