叫张生隐藏在棋盘之下,13,叫张生隐藏在棋盘之下，
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,10385673.054687317,0.0
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,10414205.564731497,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,10445725.720401369,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,10488993.193377351,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,10510048.436853234,0.0
daxp-ZhiJianTa-WangJiangTing.xml_5,隐情不敢实告妻。,10527458.862943802,0.1
danbz-BeiJiuChan-ChunGuiMeng.xml_4,原来是不耐烦已经睡困，,10536259.026395079,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,10540502.225557439,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,10544174.949344106,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,10547097.020497572,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_1,见玉兔（哇）玉兔又早东升。,10564505.216268415,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_2,我不免去安排罗衾绣枕，,10571177.712735023,0.0
daxp-ZhiJianTa-WangJiangTing.xml_4,莫不是平地风波起，,10576281.867683269,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,10577125.707045674,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,10593833.072114944,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,10595389.202611849,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,10619250.102381364,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,10636014.525838468,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,10661073.230077246,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_2,那冰轮离海岛，,10686422.773699224,0.0
daxp-GuanShiYin-TianNvSanHua.xml_5,好似我散天花就纷落十方；,10746817.218822492,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,10747761.223678824,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,10747852.413981602,0.0
daxp-GuanShiYin-TianNvSanHua.xml_4,绿柳枝酒甘露三千界上，,10783632.115433326,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,10812666.770714719,0.1
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,10819411.198875776,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,10875243.127603132,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,10880796.168127472,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_3,莫负他好春宵一刻千金。,10881678.860605873,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,10902957.198936719,0.0
daxp-GuanShiYin-TianNvSanHua.xml_2,菩提树薝卜花千枝掩映，,10929751.332752129,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,10934207.851462789,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,10952303.870572748,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,10975441.474064508,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,10982497.831373641,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,11006304.473374022,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,11022091.893481834,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,11027481.621898578,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,11031806.414552046,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,11039808.873578476,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,11048197.067406431,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,11052032.655071583,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,11091011.441350069,0.0
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,11148674.09922114,0.1
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,11157577.910417445,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,11259232.147967735,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,11272783.120018892,0.0
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,11286060.043887246,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,11289434.123573158,0.2
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,11317002.131702477,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,11365627.48869429,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,11401814.184900275,0.2
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,11416328.680030556,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,11437049.068035945,0.0
daxp-ZheCaiShi-SuoLinNang.xml_0,这才是人生难预料，,11465749.280586867,0.1
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,11475191.839768576,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,11480861.376349974,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,11514104.541489063,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,11539908.458428947,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,11548572.436922472,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,11566405.848907964,0.1
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,11572925.319919355,0.1
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,11591123.316912573,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,11602833.786192209,0.0
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,11624001.919420578,0.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,11648452.226526564,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,11700506.383625582,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,11776628.746812334,0.0
daxp-JiaoZhangSheng-HongNiang.xml_2,放大胆忍气吞声休害怕，,11788087.930800606,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,11797951.146780461,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,11802588.450701768,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,11813550.091010863,0.2
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,11818419.421497736,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,11858515.97856543,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,11887673.8419888,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,11903489.359408034,0.1
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,11925295.813281864,0.1
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,11925794.032891471,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,11984875.405673178,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,11994470.694872728,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,12012962.283957597,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,12146206.92697111,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,12152829.892334258,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,12181578.845157728,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,12194200.690465447,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,12248195.582884945,0.0
daxp-ZhiJianTa-WangJiangTing.xml_2,何人来把书信寄？,12306244.989618944,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,12313403.677416669,0.1
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,12368714.069768926,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,12376893.907415872,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,12437165.641497351,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,12448729.235042101,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,12459591.595848763,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,12463427.165150089,0.1
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,12490982.773104548,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,12543048.494843321,0.1
danbz-KanDaWang-BaWangBieJi.xml_2,轻移步走向前荒郊站定，,12546338.295487504,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,12577342.688602302,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,12577342.688602302,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,12600337.879972482,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,12613522.143686375,0.2
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,12643264.43476809,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,12675017.339872507,0.0
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,12689889.713474531,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,12693378.162400462,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,12721172.016240999,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,12761453.276187928,0.0
daxp-JiaoZhangSheng-HongNiang.xml_4,这也算是一段风流佳话，,12767783.808503194,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,12781632.615145069,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,12845949.973358233,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,12864092.306653196,0.1
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,12864140.151107403,0.1
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,12946808.145964915,0.1
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,12951544.919459131,0.1
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,12976839.163840005,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,13017511.378707182,0.2
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,13046966.246606989,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,13047330.56021432,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,13048715.167587202,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,13070384.964975562,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,13107551.522839287,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,13148727.858321929,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,13188811.111235494,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,13193451.949511509,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,13193451.949511509,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,13215233.917862833,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_1,算当初曾经得几晌温存。,13250444.335181002,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,13263960.739871798,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_5,恰便似嫦娥离月宫，,13267561.763852352,0.0
daxp-ZhiJianTa-WangJiangTing.xml_0,只见他一封书信握手里，,13323985.361640843,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,13362558.158553274,0.0
daxp-ZheCaiShi-SuoLinNang.xml_3,残生一线付惊涛。,13368431.108131772,0.1
daxp-JiaoZhangSheng-HongNiang.xml_3,这件事倒叫我心乱如麻。,13395931.448422767,0.1
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,13399482.838726766,0.1
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,13435066.255454306,0.0
daxp-XiShiNv-XiShi.xml_3,每日里浣纱去又傍清溪。,13435166.566152899,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,13452736.827301722,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,13470826.475875434,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,13534451.958555173,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,13541571.633924855,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,13552425.592167823,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,13622658.057603715,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,13644746.228722729,0.1
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,13656369.639973419,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,13676379.442208862,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,13743351.576570196,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,13901054.980353031,0.1
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,14074273.141487233,0.1
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,14110962.099069936,0.0
daspd-DuShouKong-WangJiangTing.xml_1,芳心寂寞有谁怜，,14144162.190702636,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,14150054.747725032,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,14172900.815140016,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,14210618.832260873,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,14263017.031360181,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,14314709.73024738,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,14365149.389420673,0.1
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,14368213.021019869,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,14446617.454159172,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,14519574.950531809,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,14550032.252022419,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,14563409.428919688,0.1
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,14631455.216742668,0.0
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,14659454.120482987,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,14659454.120482987,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,14766355.14835172,0.1
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,14808432.520526901,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,14843711.726099284,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,14894194.00921482,0.0
sdxp-DangNianHan-SanJiZhang.xml_15,未央宫斩的是韩信，,14962968.266213296,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,14996219.669532079,0.0
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,15059080.257651635,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,15069225.660117051,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,15083940.551967854,0.0
daxp-ZhiJianTa-WangJiangTing.xml_3,害得儿夫犯焦急；,15114590.221406329,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,15156847.122462066,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_6,奴似嫦娥离月宫。,15163730.308627173,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,15215393.441721139,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,15221542.23909322,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,15245699.401326763,0.1
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,15344387.914204907,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,15372911.235644942,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,15405558.126246639,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,15416928.598921001,0.0
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,15531428.544419017,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,15646678.946869699,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,15654580.820172319,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,15710136.79423601,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,15717851.353596013,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,15845800.926130418,0.0
daxp-QiaoLouShang-HuangShanLei.xml_10,我不免引寒机伴奴坐等，,15874292.2293544,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,16007267.839768808,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,16028607.778125672,0.0
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,16069698.890818967,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,16070251.442233918,0.1
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,16283785.166636243,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,16328182.917826464,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,16373217.167662365,0.1
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_4,皓月当空，,16384781.293524833,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,16580557.364115715,0.1
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,16737376.737258673,0.1
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,16796281.497826457,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,16807166.580902781,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,16809369.93232647,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,16825773.590844855,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,17010048.62719319,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,17010048.62719319,0.1
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,17066255.000707507,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,17123592.962500636,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,17306468.881990276,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,17520802.434229076,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,17575415.278062973,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,17610040.923745114,0.0
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,17626654.036750369,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,17776448.075039446,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,17858932.53196023,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,17908832.182496935,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,18066439.769293468,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,18181284.134205587,0.1
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,18618943.730299212,0.1
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,19055869.331636675,0.1
daxp-JiaoZhangSheng-HongNiang.xml_5,听号令且莫要惊动了她。,19352500.440834027,0.0
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,19784644.865954209,0.0
danbz-KanDaWang-BaWangBieJi.xml_1,我这里出帐外且散愁情。,20144463.770350233,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,20349598.031286348,0.0
daxp-ZhiJianTa-WangJiangTing.xml_6,低下头心生计，,20543783.803510159,0.2
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,21036433.625598457,0.0
daxp-ZhiJianTa-WangJiangTing.xml_8,出二堂深施礼，,21186546.590253234,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,21726730.280421674,0.0
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,23334582.671606433,0.0
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,23354463.727408513,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,24611250.494696423,0.0
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,24786166.768057905,0.1
daxp-XiRiLiang-LongFengChengXiang.xml_1,今朝仙女会襄王。,25357273.996466618,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_3,发奋自强日夜读诗文。,31002530.32788359,0.0
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,684474943.76091921,0.0
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,707373908.15792155,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_7,拔出剑将他的满门杀。,877878714.92353511,0.0
sdxp-SuLongWei-WuJiaPo.xml_7,大嫂说话礼不端，,879766381.31274509,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_5,杀猪（喏）沽酒款待与他，,882062748.4083389,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,929570187.04357445,0.0
lsxp-WoBenShi-KongChengJi-1.xml_3,算就了汉家的业鼎足哇三分。,945269751.81598401,0.0
sdxp-SuLongWei-WuJiaPo.xml_19,是烈女就该在家院，,955953249.59631765,0.1
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,963762188.82606864,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_4,叫焦赞将宝剑悬挂帐外，,973359968.60592186,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_28,越思越想好伤惨，,1013167039.0328436,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,1037040784.2179735,0.0
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,1070170462.4687345,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_5,杀猪（喏）沽（哇）酒款待于他，,1103289161.6347957,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,1109265168.9868863,0.0
lsxp-ZheYiFeng-DingJunShan.xml_0,这一封（呃）书信来得巧，,1131824892.2708297,0.0
lseh-JinZhongXiang-ShangTianTai.xml_3,武仗着姚皇兄保定乾坤。,1131994170.6778738,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_12,越思越想好伤惨，,1145926329.2269323,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_9,年迈的老丈命（呐）染黄沙。,1155902085.3359721,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_18,寻短（呃）哎见爹娘（呃）。,1163928961.5075674,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_13,想当初在朝为官宦，,1170256521.8528879,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_29,想当初在朝为官宦，,1170256521.8528879,0.1
lsxp-WeiCengKai-QiYuanBao.xml_3,姓刘名安字世昌。,1172750833.6700237,0.0
lsxp-WeiCengKai-QiYuanBao.xml_5,贩卖绸缎转还乡。,1183856288.457726,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,1191383435.9744046,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,1193297803.9759221,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,1193297803.9759221,0.1
lseh-NiangZiBu-SouGuJiuGu.xml_9,来年必定降麒麟。,1208694722.7518694,0.0
lsxp-JianMaSu-ZhanMaSu.xml_0,见马谡（唩）跪帐下，,1226938913.235101,0.1
lseh-ZiNaRi-HongYangDong.xml_3,那乃是萧天佐以（呀）假成真；,1229154405.2165253,0.0
