叫张生隐藏在棋盘之下,13,叫张生隐藏在棋盘之下，
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,6633210.363698544,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,6641184.8166499957,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,6716387.2165714251,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,6752837.7879842343,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,6823906.0615216121,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,6891102.7792372201,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,6943035.1089294134,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,6971510.2866186081,0.1
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,7006209.9028881826,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,7019397.2108230926,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,7028482.3611553423,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,7065218.2409447329,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,7091606.1907346398,0.1
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,7101552.5175502086,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,7109340.2591953352,0.0
daxp-ZhiJianTa-WangJiangTing.xml_1,长吁短叹语声低。,7161758.7952327859,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,7163979.3820977006,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,7176313.0559065975,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,7225858.0499429349,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,7257077.5680723162,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,7281964.2083062353,0.0
