敌血飞溅石榴裙,0,敌血飞溅石榴裙。
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,5211026.9025019445,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,5229326.4981603231,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,5229953.5442977194,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,5239024.6042222828,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,5260411.7930215811,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,5281979.4167647073,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,5299257.6117401533,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,5303156.962030272,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,5322760.1459741825,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,5340811.7067016438,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,5361964.0937907528,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,5378544.9612444965,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,5393478.2654304095,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,5433567.9275986524,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,5461819.4911003113,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,5464965.2083812291,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,5465093.3152720053,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,5471740.860764469,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,5507631.7686746027,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,5571416.0328463111,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,5602784.8853260102,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,5649350.5489610089,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,5657581.8938128781,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,5704353.3349851547,0.0
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,5723447.3607482314,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,5724520.8963049594,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,5742627.0795753067,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,5776841.053769229,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,5777132.9410820063,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,5783316.6841387236,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,5802279.3533248669,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,5818573.6271968829,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,5891649.5517920833,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,5899329.262718658,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,5909739.4180586571,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,6013433.134996566,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,6044051.6175263869,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,6061217.0315388525,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,6066046.2885853928,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,6087832.7412027493,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,6102411.5037401132,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,6138151.2764304243,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,6139421.3657305371,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,6149637.3934829729,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,6191818.7495042076,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,6243425.4787906343,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,6245410.7737421812,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,6246562.5133608356,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,6267106.0591632519,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,6267106.0591632519,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,6270616.1176728038,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,6277963.1518523172,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,6286852.7668302841,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,6304392.9123805277,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,6307589.5889928471,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,6325854.6232037293,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,6333180.790662257,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,6338403.5733502656,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,6340740.9044794859,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,6340740.9044794859,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,6377337.0578209823,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,6388279.3437067699,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,6400747.280152089,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,6429178.8383112829,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,6441842.2399160871,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,6445475.9909528745,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,6453410.1579789249,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,6461451.7577721477,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,6505184.5955163781,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,6537319.8535973588,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,6568482.5287660705,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,6568649.595753571,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,6578025.4672785485,0.0
