春秋亭外风雨暴,1,春秋亭外风雨暴，
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,5101575.3747078422,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,5167319.765965228,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,5187376.5499184132,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,5207607.9851785842,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,5220982.8828191049,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,5270194.8037425512,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,5281226.1395077622,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,5290594.2725164387,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,5337919.9147072388,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,5339460.4953650488,0.2857142857142857
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,5340038.0114443814,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,5358379.223967379,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,5359028.8264620472,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,5390506.7502068756,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,5397988.4896886256,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,5397988.4896886256,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,5416806.7685269909,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,5428604.3806084106,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,5435340.9057535809,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,5440123.7103971615,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,5494062.2880481398,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,5579165.2340149386,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,5581347.739340147,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,5658872.2868340034,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,5659173.4895978495,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,5672524.0405412,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,5676118.540354806,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,5722607.5726186829,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,5724393.0137510169,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,5725664.8989600753,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,5747531.893756615,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,5772335.2394495681,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,5772721.0453899978,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,5774288.1680086041,0.2857142857142857
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,5780041.6726709353,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,5781907.8175418004,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,5798867.8020852515,0.0
