此时却又明白了,0,此时却又明白了，
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,5693752.6395657621,0.14285714285714285
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,5696690.5548466062,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,5758313.2053277325,0.14285714285714285
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,5810305.2835144512,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,5812861.6766044144,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,5817829.3847728698,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,5817829.3847728698,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,5859239.5377166802,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,5875570.2751618866,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,5916001.008285013,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,5926711.596950422,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,5935025.2611702187,0.0
daxp-QiaoLouShang-HuangShanLei.xml_10,我不免引寒机伴奴坐等，,6018093.6033359058,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,6068547.3290473875,0.2857142857142857
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,6068749.1128139943,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,6128324.1143244086,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,6157820.3751543248,0.14285714285714285
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,6176191.1450315621,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,6203099.5559068965,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,6228621.0974141369,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,6241360.6336940508,0.2857142857142857
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,6247403.8387474846,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,6291863.7933366839,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,6372664.0619139364,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,6382449.4771434236,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,6393364.2410161356,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,6415881.1596367098,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,6452703.3491150187,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,6462946.0271768952,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,6479451.6389320251,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,6494694.7085426729,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,6509459.5776013443,0.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,6549526.9295805786,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,6561117.5636457046,0.14285714285714285
