这桩事闷得我柔肠百转,0,这桩事闷得我柔肠百转，
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,11254498.512012135,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,11255589.308610477,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,11274213.839570286,0.2
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,11280493.368517959,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,11290292.526099782,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,11324268.533081245,0.1
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,11325843.305059282,0.2
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,11341647.640287412,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,11344278.226401554,0.1
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,11374452.182423957,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,11422094.006280832,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,11440224.876746478,0.1
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,11453061.167881608,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,11486552.127904095,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,11494278.972122664,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,11498743.016036708,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,11509514.926414143,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,11538604.014360338,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,11546875.454588808,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,11548897.000416964,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,11554517.334094703,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,11556150.609154414,0.1
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,11560801.475219799,0.1
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,11569321.01621343,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,11654712.250547389,0.1
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,11702493.222270275,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,11704125.831577247,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,11706395.061496068,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,11710205.34691124,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,11726318.764896495,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,11738612.23342015,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,11746640.499313382,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,11902775.332491726,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,11916723.526877664,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,11934339.870014217,0.2
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,11936181.687217619,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,11984078.247737637,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,11991134.639266297,0.1
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,12034329.21498939,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,12034329.21498939,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,12048615.416075695,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,12056265.727289757,0.1
lsxp-WoZhuYe-ZhuiHanXin.xml_8,一路上秋毫无犯军威壮，,12082103.569024064,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,12089655.864271414,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,12134060.008510731,0.1
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,12211482.180019502,0.1
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,12212484.218588302,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,12224791.626319857,0.1
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,12260898.575954879,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,12267468.457454994,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,12291834.362751773,0.1
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,12294575.672440331,0.1
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,12325009.100326622,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,12325339.632501906,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,12327610.8372389,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,12351763.729241515,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,12355731.109666446,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,12365125.15124215,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,12393822.228517767,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,12413514.031238424,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,12423498.537503207,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,12435951.104038227,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,12444491.697148282,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,12459446.126293227,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,12469062.528423524,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,12476700.015096728,0.1
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,12491722.914047165,0.1
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,12531229.760368299,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,12549422.157739313,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,12553926.092797944,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,12580768.313645707,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,12596286.919247773,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_2,管带三（呐）军要宽厚，,12627029.313377647,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,12633454.70718368,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,12633657.323398853,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,12638690.078524474,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,12638690.078524474,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,12655780.572199831,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,12668762.468185965,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,12682543.450330723,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,12682666.265608298,0.1
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,12737468.84554795,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,12760445.658054668,0.1
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,12762618.126937494,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,12791708.393679636,0.1
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,12803048.895936202,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,12820996.292354038,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,12852246.410546904,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,12898583.563923486,0.1
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,12948526.416866496,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,12960037.36660826,0.2
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,12985603.396595756,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,13067162.286541332,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,13084801.88901097,0.1
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,13087146.508296439,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,13099883.533354567,0.1
lsxp-ZouYingLong-DaYanSong.xml_3,偶遇见小小的顽童放悲声，,13112149.524911055,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,13141465.017299619,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,13148937.663049156,0.1
lseh-YiLunMing-WenZhaoGuan-2.xml_13,我好（呃）比波浪中失舵的舟船（喏）。,13156380.633806894,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,13158613.665572224,0.1
