绿柳枝洒甘露三千界上,1,绿柳枝酒甘露三千界上，
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,10131615.937206121,0.0
daxp-ZhiJianTa-WangJiangTing.xml_2,何人来把书信寄？,10194754.563217305,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,10222708.835610924,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,10240800.196015425,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,10247929.455802258,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,10288272.146146523,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,10329709.038945043,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,10395080.123642029,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,10430286.47244259,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,10449455.65730506,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,10450081.877704037,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,10454829.222278424,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,10467107.618781233,0.0
danbz-KanDaWang-BaWangBieJi.xml_2,轻移步走向前荒郊站定，,10478473.632739628,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,10494876.686145576,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,10507012.485177508,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,10509504.915254885,0.0
daxp-ZheCaiShi-SuoLinNang.xml_3,残生一线付惊涛。,10512624.264624573,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,10515316.871256914,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,10520704.982900107,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,10595061.074796338,0.0
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,10641567.34188085,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,10680524.624678466,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,10705038.733378418,0.1
daxp-JiaoZhangSheng-HongNiang.xml_3,这件事倒叫我心乱如麻。,10715538.663133757,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,10715620.887678238,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,10731522.635765554,0.1
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,10802389.205048786,0.1
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,10817749.959656693,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,10852974.999726888,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,10905873.739871338,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,10911005.150778241,0.0
daxp-ZhiJianTa-WangJiangTing.xml_5,隐情不敢实告妻。,10917148.345654776,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,10956970.13016014,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,10985880.269898782,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,11042146.26617722,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,11060600.546594786,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,11093504.531221928,0.1
daspd-DuShouKong-WangJiangTing.xml_3,为避狂徒到此间。,11099016.452221317,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,11118367.397776322,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_6,奴似嫦娥离月宫。,11157811.514362609,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,11272012.415141096,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_1,见玉兔（哇）玉兔又早东升。,11276512.248604639,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,11284660.26744668,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,11311026.818746094,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_0,海岛冰轮初转腾；,11315461.828595167,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,11315759.288797069,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,11316240.893493682,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,11384662.373443199,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,11418557.546752514,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,11436644.985818561,0.1
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,11438700.52641307,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,11472246.100628478,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,11488748.426811706,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,11520860.677796392,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,11526737.337484339,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,11540684.974469857,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,11651393.993853103,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,11675422.753778871,0.0
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,11676946.037575725,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,11715921.554976095,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,11749655.579383718,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,11847915.317166476,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,11963453.242410209,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,11994983.600676728,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,12022788.342431339,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,12042689.059444906,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,12062944.932917954,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,12066393.53512186,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,12141364.380882964,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,12217254.852601664,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,12220172.006112145,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,12286357.626453545,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,12293242.417515475,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,12331189.119433215,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,12363064.648688653,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,12410733.908967154,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,12468726.326820215,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,12479613.520919448,0.1
daspd-DuShouKong-WangJiangTing.xml_1,芳心寂寞有谁怜，,12506939.940684959,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,12510023.032959783,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,12574197.184616555,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_5,恰便似嫦娥离月宫，,12588842.94378845,0.0
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,12594865.006421657,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,12608504.910634473,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,12708723.741431627,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,12709800.098684601,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,12749459.351154808,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,12773037.702909702,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,12787193.195410639,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,12800955.230107928,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,12822156.466702931,0.0
daxp-ZhiJianTa-WangJiangTing.xml_1,长吁短叹语声低。,12823258.265233174,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,12862873.587479802,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,13018282.740987349,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,13019282.503690669,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,13095085.594419379,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,13151930.656778352,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,13178975.710522907,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,13244173.306809187,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_4,原来是不耐烦已经睡困，,13317746.774023993,0.0
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,13320618.023897436,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,13420943.384363273,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,13471970.764597908,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,13539745.910647895,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,13569844.895623727,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,13572095.762909574,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,13665551.429395204,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,13700782.416265734,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,13706758.09324442,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,13742188.447306557,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,13743720.319915731,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,13757648.606813323,0.0
daeh-TanHongYan-HuoXiaoYu.xml_1,美满姻缘付东流。,13790511.102606529,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,13884645.631076518,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,13915087.378056556,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,13989978.600252094,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,14085339.123715069,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,14221970.069081772,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,14315997.463063587,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,14353015.494547425,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,14390722.792563889,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,14503775.547097865,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,14553558.256587707,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,14584550.668876002,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,14688815.929496186,0.0
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,14754579.969018485,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,14787215.766061898,0.0
daxp-JiaoZhangSheng-HongNiang.xml_0,叫张生隐藏在棋盘之下，,14804375.634764446,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,14824773.611757306,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,14881030.935546705,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,14945273.024045231,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,14945614.901181055,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,15008537.709509991,0.0
daxp-ZhiJianTa-WangJiangTing.xml_8,出二堂深施礼，,15098907.887797505,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,15112720.941936418,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,15131655.8668637,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,15222822.477097424,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,15346203.488014096,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,15359083.331720494,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,15379887.626284402,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,15405217.615098471,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,15441433.87550546,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,15468791.525212698,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,15484024.706651431,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,15528769.115894226,0.1
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,15558704.918709649,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,15597421.731350442,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,15763446.182322031,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,15767182.700478224,0.1
daxp-ZhiJianTa-WangJiangTing.xml_6,低下头心生计，,15921907.983651832,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_2,那冰轮离海岛，,16327327.34297704,0.0
daspd-DuShouKong-WangJiangTing.xml_2,孀居愁苦泪洗面，,16341294.2216998,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,16378271.144649826,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,16400859.539242852,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,16538560.388157876,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,16726414.19620146,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,16804422.331347276,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,16951857.482444558,0.0
daxp-ZhiJianTa-WangJiangTing.xml_0,只见他一封书信握手里，,17019156.681356505,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,17156336.29691451,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,17174031.869525805,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,17377438.76110192,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,17424289.813022763,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_1,算当初曾经得几晌温存。,17512240.731859278,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,17677703.382481977,0.1
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,17698891.058865782,0.0
daxp-JiaoZhangSheng-HongNiang.xml_5,听号令且莫要惊动了她。,17731617.136728998,0.0
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,18319394.543163139,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,18459620.379621025,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,18484006.561342586,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,18587767.81536679,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,18611643.61934156,0.0
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,18892144.682770781,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,18938208.702095963,0.0
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,19004353.770164303,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,19122104.074506499,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,19312957.265407369,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,19326897.74188561,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,19505857.379530873,0.0
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,19699130.240396798,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,19699958.411545284,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,19739318.677959938,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,19799279.032057133,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,19847217.34967484,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,19853781.800701085,0.1
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,19853781.800701085,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,20056260.460616354,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,20447509.384586446,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,20472816.765093945,0.0
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,20485448.499304991,0.0
daxp-GuanShiYin-TianNvSanHua.xml_0,观世音满月面珠开妙相，,20553845.986926202,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,21062537.980142742,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,21221546.353858348,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,21291569.167539764,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,21614849.147266656,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,21685041.287454795,0.0
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,21792908.626265377,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,22040163.127226997,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,22044087.883877363,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,22125494.735558219,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,22333404.089389428,0.1
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,22349589.322235279,0.0
daxp-XiShiNv-XiShi.xml_3,每日里浣纱去又傍清溪。,22355129.652285147,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,22553075.731551237,0.0
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,22570155.913017396,0.0
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,23326530.27573071,0.0
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,23564749.514702167,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_2,父道那薛平贵是那化郎模样，,23683607.090350416,0.0
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,24206747.855888337,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,24936187.577590119,0.0
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,24959771.133638788,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,25198895.880004622,0.0
daxp-GuanShiYin-TianNvSanHua.xml_7,催祥云驾瑞彩速赴佛场。,25433426.771207765,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,25658233.634523287,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_3,发奋自强日夜读诗文。,25757644.674654696,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,26138185.12717741,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,26457475.816270545,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,26537651.049712069,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,26845994.585118361,0.0
daxp-ZheCaiShi-SuoLinNang.xml_0,这才是人生难预料，,27136874.729149178,0.0
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,28362712.932296906,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,30158066.047353815,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,30412073.447690997,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,30412073.447690997,0.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,30782809.28222587,0.0
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,31863560.102391198,0.0
sdxp-DangNianHan-SanJiZhang.xml_15,未央宫斩的是韩信，,32914123.71482699,0.0
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,33134679.424983494,0.0
daxp-QiaoLouShang-HuangShanLei.xml_10,我不免引寒机伴奴坐等，,33852416.349749535,0.0
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,34466338.051569402,0.1
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,34466338.051569402,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_1,今朝仙女会襄王。,34519989.614124611,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_21,贼好比猛虎未（呀）曾长牙，,1359662995.8459299,0.0
sdxp-DangNianHan-SanJiZhang.xml_6,句句话儿伤父心。,1513431202.0798428,0.0
sdxp-WoHeNi-SiLangTanMu.xml_4,誓不忘贤公主恩重如山。,1643800253.9005525,0.0
lseh-XiRiLi-BaoLianDeng.xml_11,留得美名万古存，,1802443234.9935083,0.0
sdxp-SuLongWei-WuJiaPo.xml_16,送与大嫂把家安。,2076792818.3995585,0.0
lsxp-JiangShenEr-SanJiaDian.xml_0,将身儿来至在大街口，,2085455468.1377122,0.0
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,2141992107.0543029,0.0
sdxp-WoHeNi-SiLangTanMu.xml_8,我的娘押粮草来到北番。,2222154457.5161505,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_19,叫人难解巧机关，,2224297506.7592564,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,2292887520.4217091,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_13,但愿得言听计从重整汉家邦、一同回故乡。,2320871854.1453061,0.0
lsxp-DaHeYi-SiLangTanMu.xml_13,十五年前沙滩会，,2322689013.1944714,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_5,右手再把栾布拉。,2342356628.8299179,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_14,朝臣待漏五更寒。,2348118901.5436025,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_30,朝臣待漏（哇）五更寒，,2374175185.3567624,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_8,一家人倶丧在宝剑之下，,2374860208.9141035,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_1,诬杀赵家一满门。,2389816654.9814444,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,2437819628.1312442,0.1
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,2440762802.5735784,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,2446936300.8105798,0.0
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,2478529344.2834749,0.1
lsxp-YiShiWu-YuCangJian.xml_1,叹光明一去不回还（呐）；,2538943631.5489392,0.0
lsxp-ZouYingLong-DaYanSong.xml_10,他本是我朝中上欺天子下压臣谋朝篡位卖国的奸贼他名叫严嵩，,2605021301.7125068,0.1
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,2609411767.9703918,0.0
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,2617709775.5055766,0.0
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,2627869825.9718738,0.0
lsxp-JiangShenEr-SanJiaDian.xml_12,儿想娘亲难叩首，,2657212705.621439,0.0
lseh-YangYanZhao-PengBei.xml_5,又恐怕惊动了年迈之人。,2671632061.1639581,0.0
lsxp-JiangShenEr-SanJiaDian.xml_6,舍不得太爷的恩情厚，,2684475143.168582,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,2691185951.6940837,0.0
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,2696422097.740972,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_21,为何几日他不言。,2697863611.9265022,0.0
