绿柳枝洒甘露三千界上,1,绿柳枝酒甘露三千界上，
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,6058472.0385435028,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,6073391.6943748388,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,6077126.7024573311,0.0
daxp-ZheCaiShi-SuoLinNang.xml_6,种福得福如此报，,6085849.4777908446,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,6146414.5875271391,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,6148708.9196861219,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,6172082.0402245848,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,6174676.1439691521,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,6194059.906848616,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,6200302.1229060842,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,6204015.0401082272,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,6258990.0571366437,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,6327482.7476492524,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,6328599.0952309249,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,6335778.6993084466,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,6409139.0896294452,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,6428544.3930975823,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,6464070.833948289,0.0
daxp-GuanShiYin-TianNvSanHua.xml_3,白鹦鹉与仙鸟在灵岩神岘上下飞翔；,6489509.6348745087,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,6577586.8783207899,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,6592287.7220227271,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,6629188.8958280785,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,6630317.2967219129,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,6635131.4519906295,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,6641330.9616153799,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,6667944.8871692773,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,6790411.6845205985,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,6818868.1752772145,0.1
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,6842215.4843700072,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,6856697.9970159605,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_3,乾坤分外明，,6860068.1824777322,0.0
daxp-ZhiJianTa-WangJiangTing.xml_3,害得儿夫犯焦急；,6896472.9959939346,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,6919037.2198727718,0.0
daxp-ZheCaiShi-SuoLinNang.xml_2,回首繁华如梦渺，,6924328.0762262372,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,6941882.9561846517,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,7001187.7797374064,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,7012599.4763005218,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,7071316.3060616134,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,7090334.1583545804,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,7100107.5834672181,0.0
