看大王在帐中合衣睡稳,0,看大王在帐中和衣睡稳，
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,4702685.4603214348,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,4702754.5923858611,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,4738763.9448628053,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,4791575.3837161222,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_3,乾坤分外明，,4822943.9137184322,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,4862932.8961136667,0.1
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,4868032.150586362,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,4885883.4383136285,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,4894962.6283597136,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,4916601.8119581342,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,4922341.5721083973,0.1
daxp-ZheCaiShi-SuoLinNang.xml_1,不想团圆在今朝。,4922341.5721083973,0.1
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,4938531.5642638123,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,4965058.985268198,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,4981772.5848311223,0.1
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,4997921.2433434967,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,5034813.5173678333,0.1
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,5041533.081328949,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,5065196.5910387235,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,5065304.4944339218,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,5074666.8592848666,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,5092851.6926391805,0.1
daxp-GuanShiYin-TianNvSanHua.xml_5,好似我散天花就纷落十方；,5111285.5769470185,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,5164453.4321800331,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,5180319.2741439734,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,5181457.0930246441,0.0
daxp-ZheCaiShi-SuoLinNang.xml_5,善果心花可自豪。,5183573.3742750576,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,5188088.0979397632,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,5205011.889390789,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,5266077.9498464949,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,5268931.544460116,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,5302269.3349309396,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,5330946.3677353989,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,5343187.7309597163,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,5353391.8938301587,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,5373858.6108505055,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,5391682.1378369574,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,5394909.6605020612,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,5445572.7832587045,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,5465595.7514112778,0.0
