看大王在帐中合衣睡稳,0,看大王在帐中和衣睡稳，
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,8394598.1702727303,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,8440335.6282740105,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,8450478.5434562545,0.1
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_0,海岛冰轮初转腾；,8458332.4039737545,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,8523093.7571591977,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,8539790.8916976228,0.2
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,8550065.0284474399,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,8567656.743685497,0.0
daxp-JiaoZhangSheng-HongNiang.xml_0,叫张生隐藏在棋盘之下，,8581719.8432158139,0.1
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,8585742.4348837882,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,8606433.4756694082,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,8638508.1490028296,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,8695464.7949444093,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,8716599.5992420316,0.0
daxp-GuanShiYin-TianNvSanHua.xml_2,菩提树薝卜花千枝掩映，,8792487.8028607909,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,8793847.2535986882,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,8835490.6217639465,0.1
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,8875904.1470879037,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,8920087.2016518991,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,8932658.4935773779,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,8940308.0174574126,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,8957727.9096291866,0.1
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,8989337.5726585053,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,9007603.6988912895,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,9040110.2519615181,0.1
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,9050783.6585431229,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,9066802.0659774691,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,9093609.6217189953,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,9095588.0039101262,0.0
daxp-JiaoZhangSheng-HongNiang.xml_3,这件事倒叫我心乱如麻。,9122848.6203974076,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,9128670.1252262574,0.0
daxp-ZheCaiShi-SuoLinNang.xml_2,回首繁华如梦渺，,9131504.9360376131,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,9143422.1186691448,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,9165632.4549444541,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,9198974.0239055641,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,9210347.3998910282,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,9218246.5990679525,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,9225577.0402395539,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,9249096.5548948515,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,9253777.1891956124,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,9264735.159825569,0.1
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,9344560.0962439403,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,9344922.0020842608,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,9356847.5236886144,0.1
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,9393046.605668962,0.2
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_4,皓月当空，,9450121.1252311096,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,9454390.6890788954,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,9496445.8789968062,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,9551852.0622573029,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,9551852.0622573029,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,9562219.0745096318,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,9568328.1405195631,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,9624141.2353116926,0.0
daxp-ZhiJianTa-WangJiangTing.xml_5,隐情不敢实告妻。,9676896.4047584478,0.0
daxp-ZhiJianTa-WangJiangTing.xml_3,害得儿夫犯焦急；,9714835.5848704558,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,9738922.4416391887,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,9738922.4416391887,0.1
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,9752824.4323362801,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,9779481.7206503861,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,9789608.1292859726,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,9851971.9398714527,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,9940264.5085973032,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,9955522.7955631968,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,9967039.8594966587,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,9969974.5961222388,0.2
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,10017854.641295552,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,10063024.392342318,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,10081841.638826836,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,10248238.298048478,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_5,恰便似嫦娥离月宫，,10249116.664731825,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,10254590.028513975,0.1
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,10271630.494965872,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,10310642.819512213,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,10362075.978637297,0.0
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,10377129.425050205,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,10386718.484527187,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,10442779.280864399,0.0
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,10457159.240640769,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,10459553.94707159,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,10469292.337417478,0.0
daxp-ZheCaiShi-SuoLinNang.xml_3,残生一线付惊涛。,10505723.386097014,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,10562819.765633248,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,10602088.163840249,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,10624868.951334547,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,10632099.055250151,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,10649284.934086641,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,10657376.022507001,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,10665207.543713015,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,10768151.129976755,0.0
daxp-ZheCaiShi-SuoLinNang.xml_7,愧我当初赠木桃。,10776350.146061841,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,10779060.64747606,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,10794278.647049006,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,10829968.252635151,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,11001733.39213036,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,11034698.522569302,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,11045704.626747997,0.0
daspd-DuShouKong-WangJiangTing.xml_1,芳心寂寞有谁怜，,11061434.384482652,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,11080199.220412008,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,11081069.445010962,0.0
daspd-DuShouKong-WangJiangTing.xml_2,孀居愁苦泪洗面，,11152313.712995557,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,11204662.678389803,0.0
daxp-GuanShiYin-TianNvSanHua.xml_3,白鹦鹉与仙鸟在灵岩神岘上下飞翔；,11227711.632503264,0.1
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,11238805.765913412,0.1
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,11283016.278995128,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,11309620.818241442,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,11324319.712191116,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,11350738.306632731,0.1
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,11366350.992911363,0.1
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,11439227.754828744,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,11495083.923401721,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,11556629.542199567,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,11660970.448526984,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,11687684.764717769,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_6,奴似嫦娥离月宫。,11728814.371643387,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,11748330.383112669,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_1,算当初曾经得几晌温存。,11755220.292530647,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,11896323.623837031,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,12005733.43820692,0.1
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,12012842.427806357,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,12020156.796050355,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,12223687.595255351,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,12308761.919169612,0.1
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,12343136.23597165,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,12361352.524794837,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,12386673.26091524,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,12423922.403709311,0.1
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,12464037.633287633,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,12480651.253999019,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,12531869.964470318,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,12718555.044813972,0.1
daspd-DuShouKong-WangJiangTing.xml_3,为避狂徒到此间。,12737691.026031544,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,12757920.502348356,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,12787155.175918451,0.1
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,12790283.629298864,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,12801979.794760935,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,12843372.653978562,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,12889365.095430957,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_4,原来是不耐烦已经睡困，,12969640.611634403,0.1
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_2,那冰轮离海岛，,12981928.624838667,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,13075231.198179962,0.0
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,13202345.60094076,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,13218371.770865491,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,13374464.990810988,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,13374464.990810988,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,13417685.390608925,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,13449669.060684947,0.0
daxp-JiaoZhangSheng-HongNiang.xml_5,听号令且莫要惊动了她。,13463209.232165882,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,13470037.265564434,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,13578929.271174129,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,13602962.939731304,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,13613939.220311221,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,13638722.489715334,0.1
daeh-TanHongYan-HuoXiaoYu.xml_1,美满姻缘付东流。,13725846.653359573,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,13737404.135095628,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,13828839.31213678,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,13830999.605074387,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,14024604.633743266,0.1
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,14051713.659991086,0.0
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,14142810.710331684,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,14262205.021838082,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,14307720.87517683,0.1
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,14332815.250272188,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,14344483.762312479,0.1
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,14397628.540717376,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,14403467.897314204,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,14408896.601340283,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,14448748.272980733,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,14483311.432000311,0.0
daxp-ZhiJianTa-WangJiangTing.xml_0,只见他一封书信握手里，,14588973.089462861,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,14640442.325570118,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,14811237.890284881,0.1
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,14882237.992546523,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,14897599.907304082,0.1
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,15036375.930009158,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,15084464.809011964,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_2,父道那薛平贵是那化郎模样，,15115970.879014052,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,15187956.277661923,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,15241899.816338882,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,15392833.159520291,0.0
daxp-GuanShiYin-TianNvSanHua.xml_7,催祥云驾瑞彩速赴佛场。,15427918.869116873,0.0
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,15593641.257226035,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,15597720.817530261,0.0
daxp-GuanShiYin-TianNvSanHua.xml_0,观世音满月面珠开妙相，,15656977.300977498,0.0
daxp-XiShiNv-XiShi.xml_3,每日里浣纱去又傍清溪。,15693057.783993509,0.0
daxp-ZhiJianTa-WangJiangTing.xml_8,出二堂深施礼，,15757327.527535742,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,15812524.083167033,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,15823523.867064357,0.0
daxp-ZhiJianTa-WangJiangTing.xml_6,低下头心生计，,16018010.168265725,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,16058247.144345803,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,16085988.929620273,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,16207202.260452712,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,16352941.916003471,0.0
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,16470221.146441756,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,16530627.566997131,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,16721068.534395903,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,16760200.294174319,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,17361218.66473024,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,17484411.846827745,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,17533722.820111852,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,17546918.361098304,0.0
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,17672882.316622008,0.1
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,17852182.962633483,0.0
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,17884578.910791416,0.0
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,17998880.773161355,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,18040965.690797478,0.0
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,18142930.275610026,0.0
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,18381488.209431533,0.0
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,18579459.517814025,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,18755971.539340489,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,18847202.396975297,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,19123779.526737057,0.0
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,19276353.990059417,0.1
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,19854524.021558918,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,19854524.021558918,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,20203560.563459747,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,20897859.428907465,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,20995657.205580905,0.0
daxp-ZheCaiShi-SuoLinNang.xml_0,这才是人生难预料，,21559492.502368074,0.0
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,21793030.646351971,0.0
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,21943408.550970335,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,22462053.968098875,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,22495084.857865021,0.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,23007900.202474259,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,23881605.133855842,0.0
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,25140455.034338489,0.1
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,25963585.628992107,0.0
daxp-QiaoLouShang-HuangShanLei.xml_10,我不免引寒机伴奴坐等，,26459388.688662145,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_3,发奋自强日夜读诗文。,26667758.206333,0.0
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,26711649.082552753,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,26711649.082552753,0.0
sdxp-DangNianHan-SanJiZhang.xml_15,未央宫斩的是韩信，,27433884.981004994,0.0
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,29324496.005994096,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_1,今朝仙女会襄王。,29377862.296833623,0.1
sdxp-WoHeNi-SiLangTanMu.xml_4,誓不忘贤公主恩重如山。,643698061.69714713,0.0
lsxp-DaHeYi-SiLangTanMu.xml_19,本帅帐中用目睁，,693941289.18311286,0.2
lsxp-JiangShenEr-SanJiaDian.xml_6,舍不得太爷的恩情厚，,704311233.1628629,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,709079538.35156488,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_21,贼好比猛虎未（呀）曾长牙，,728440821.44377792,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,749112378.33584678,0.1
lsxp-WoZhuYe-ZhuiHanXin.xml_3,两路分（呐）兵定咸阳。,774189965.76218939,0.0
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,785585640.59223306,0.0
sdxp-DangNianHan-SanJiZhang.xml_6,句句话儿伤父心。,807837923.13105726,0.0
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,823824276.62835884,0.0
sdxp-DangNianHan-SanJiZhang.xml_7,要退、要退、偏要退！,833454497.19630122,0.0
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,835084329.90500796,0.0
lsxp-ZouYingLong-DaYanSong.xml_8,上面坐的是有道君，,839606012.70201814,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,842952629.02998435,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_12,无奈何我只得双（呃）膝跪，,871612153.51723146,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,880870462.96917057,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_3,为千岁懒观五凤楼。,888813501.93059778,0.0
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,942640544.08301759,0.0
lsxp-DaHeYi-SiLangTanMu.xml_20,见一番汉帐中行。,949676027.25140977,0.2
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,950907537.71850729,0.0
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,952919157.54656518,0.1
lsxp-ShenGongWu-LongFengChengXiang.xml_1,年老得配女娇娃。,974311878.14197874,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,975317518.4646318,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_5,为何几日他不言，,976438202.13176048,0.0
sdxp-WoHeNi-SiLangTanMu.xml_8,我的娘押粮草来到北番。,988491347.86911881,0.0
lsxp-JianMaSu-ZhanMaSu.xml_3,失去了街亭差不差。,996941100.58992493,0.0
lsxp-ZiGuDao-HuangHeLou.xml_0,自古道吉人有天相，,1001475331.3860209,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,1002668150.3154029,0.2
lsxp-YiShiWu-YuCangJian.xml_9,行至在昭关有阻拦。,1011214977.360008,0.1
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,1017287457.6221178,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,1022007699.2947873,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,1034513669.6260082,0.0
lseh-YangYanZhao-PengBei.xml_5,又恐怕惊动了年迈之人。,1047683042.42268,0.0
