春秋亭外风雨暴,0,春秋亭外风雨暴，
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,3272066.0620738505,1.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,3543870.4248429378,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,3739479.7607096555,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,3746595.0834742095,0.14285714285714285
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,3802376.1523449672,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,3863352.0305451131,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,3891968.4740677536,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,3995550.3284812802,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,4023349.0840288163,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,4122122.4939212822,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,4136138.9257202107,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,4140288.5766673223,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,4173587.0528012323,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,4196988.6926790718,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,4216871.6796805821,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,4268263.5865913723,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,4279994.5848998334,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,4301485.4981619827,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,4374757.682661457,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,4387684.0628886959,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,4393570.3832553523,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,4400130.348457573,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,4409174.314357915,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,4414981.9647914879,0.14285714285714285
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,4433267.4632472573,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,4463022.2595599722,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,4514884.8182419464,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,4519794.4710497437,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,4569059.7420748677,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,4600146.063673011,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,4717725.5284637064,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,4754060.251943469,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,4799131.0791696925,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,4809476.5889830366,0.0
