原来是不耐烦已经睡困,0,原来是不耐烦已经睡困，
daxp-ZheCaiShi-SuoLinNang.xml_4,柳暗花明休啼笑，,6264683.3440915663,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,6267295.549268649,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,6267529.4273392912,0.1
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,6273583.692055406,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,6297215.1038145265,0.1
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,6342741.888595649,0.1
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,6357730.0615908522,0.1
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,6368415.3562631467,0.1
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,6370355.5296286214,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,6412833.2609284166,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,6414247.7385412976,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,6430790.5624603443,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,6432901.3535824362,0.1
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,6439436.5291837677,0.1
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,6469592.1877376819,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,6479320.8944323659,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,6501943.6828400306,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,6532663.6750583854,0.1
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,6571701.3316262597,0.0
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,6585541.6400088267,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,6601854.0657190401,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_1,见玉兔（哇）玉兔又早东升。,6647648.448120066,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,6647946.406356412,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,6670915.3441178948,0.0
daxp-ZhiJianTa-WangJiangTing.xml_2,何人来把书信寄？,6677440.5560392719,0.1
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,6694999.7736340156,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,6697650.5892766565,0.1
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,6698909.6845737509,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,6703884.9038380655,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,6721009.9354579411,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,6721416.037435228,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,6724162.0780073665,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,6735855.1294990452,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,6737624.3888023281,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,6743515.6046523442,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,6757259.754046442,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,6762374.2499393895,0.1
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,6800229.793222473,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,6826628.7937323255,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,6836466.0588378441,0.1
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,6837295.3578353385,0.2
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,6912269.8873829534,0.1
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,6920586.9747450883,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,6931279.8248949442,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,6936330.1551773548,0.2
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,6945368.3129294645,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,6961883.8509419141,0.2
daxp-ZhiJianTa-WangJiangTing.xml_0,只见他一封书信握手里，,6964640.157736484,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,6997222.2463047579,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,7029446.5915720705,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,7030202.925949892,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,7058428.5883764373,0.1
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,7069810.8775856048,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,7069840.6801480129,0.0
daxp-GuanShiYin-TianNvSanHua.xml_7,催祥云驾瑞彩速赴佛场。,7103341.121388034,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,7105924.9346465496,0.1
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,7137002.8941403832,0.1
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,7144152.0957285361,0.0
daxp-ZheCaiShi-SuoLinNang.xml_7,愧我当初赠木桃。,7158507.1979764886,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,7166226.0930394856,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,7187145.084674119,0.1
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,7190020.4725387376,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,7257572.6141124703,0.1
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,7266844.85765207,0.0
daxp-ZheCaiShi-SuoLinNang.xml_5,善果心花可自豪。,7307530.7634221353,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,7314839.8486770447,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,7322122.4731743447,0.0
daxp-GuanShiYin-TianNvSanHua.xml_5,好似我散天花就纷落十方；,7330255.3900668407,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,7332588.5464186659,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,7393286.7979810704,0.0
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,7414109.1065356312,0.0
daxp-GuanShiYin-TianNvSanHua.xml_1,有善才和龙女站立两厢；,7417928.3836604273,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,7424882.0408121152,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,7457238.451815878,0.1
danbz-BeiJiuChan-ChunGuiMeng.xml_5,待我来搀扶（哇）你重订鸳盟。,7485852.6909286687,0.1
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,7526181.8716352964,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,7529068.8269877406,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,7550893.6709267665,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,7563934.6624231311,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,7577191.392972135,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,7584620.5883572754,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,7619720.2209125487,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,7619720.2209125487,0.1
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,7656606.5065084016,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,7711155.2605049172,0.0
daxp-ZheCaiShi-SuoLinNang.xml_6,种福得福如此报，,7724216.6345824404,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,7768496.5896900743,0.1
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,7771000.1223244704,0.0
daxp-ZhiJianTa-WangJiangTing.xml_6,低下头心生计，,7772099.9497551173,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,7828606.0412018523,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,7837326.3666453268,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,7856329.8094169227,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,7883123.3170485673,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,7884216.0943134744,0.0
daxp-ZheCaiShi-SuoLinNang.xml_2,回首繁华如梦渺，,7925577.34497145,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,7937308.0147030801,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,7942228.964413465,0.1
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,7963746.7665553344,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,7970881.5136570949,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,7993409.774774963,0.0
daxp-ZhiJianTa-WangJiangTing.xml_8,出二堂深施礼，,8033120.6635063402,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,8036474.2854835466,0.0
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,8036724.0646973606,0.1
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,8055747.9528950909,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,8066717.9944819761,0.2
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,8159189.9277399853,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,8172107.6464595711,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,8172107.6464595711,0.0
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,8185531.3601425672,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,8190191.7245489741,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,8228122.3023632159,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,8250262.0916136988,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,8271942.4509594273,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,8276156.1893631741,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,8296318.8544725655,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,8296952.3645060025,0.2
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,8317410.4730946859,0.1
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,8364466.5123118414,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,8420633.5300767403,0.1
