但愿得状元郎月老引线,0,但愿得状元媒月老引线，
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,12475982.833249046,0.1
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,12522073.760045011,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,12525231.25220561,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,12528108.846104199,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,12572507.203518486,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,12581762.330834279,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,12583984.309889497,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,12589440.982388888,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_3,莫负他好春宵一刻千金。,12590805.790156949,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,12601698.677528666,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,12604706.171143241,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,12613580.804999419,0.1
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,12617407.705013871,0.1
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,12650684.344603544,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,12694805.247610267,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,12697885.126370808,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,12703972.259472569,0.4
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,12768246.121097814,0.1
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,12777934.164296485,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,12797975.249336593,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,12819511.60764125,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,12825133.698148329,0.1
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,12837895.409754692,0.3
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,12849465.778825797,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,12849465.778825797,0.0
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,12926069.463832233,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,12932558.255746771,0.1
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,12986246.745356204,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,13179159.675954126,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,13211039.952463644,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,13249210.200097675,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,13284107.075188626,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,13337186.323280929,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,13381739.168363217,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,13474221.531069294,0.2
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_0,海岛冰轮初转腾；,13515217.32751834,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,13516937.69891396,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,13549441.873078786,0.0
daxp-GuanShiYin-TianNvSanHua.xml_6,满眼中清妙景灵光万丈，,13552492.753985755,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,13564454.014058603,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,13615478.354592325,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,13657128.984747065,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,13670515.584052127,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,13689888.681552267,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,13779267.819945656,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,13836158.720225049,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,13855262.399860822,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,13864723.335935695,0.1
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,13934569.900886385,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,13978532.739272546,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,13979886.867669765,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,13997062.965030987,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,14052147.402401708,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,14054304.100771543,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,14077348.351422759,0.0
daxp-ZhiJianTa-WangJiangTing.xml_3,害得儿夫犯焦急；,14088192.411912389,0.1
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,14107472.13181523,0.1
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_5,恰便似嫦娥离月宫，,14109214.278394289,0.1
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,14155062.43879894,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,14212118.308126912,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,14221305.153364325,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_1,算当初曾经得几晌温存。,14267500.079213498,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,14293698.647993818,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,14296234.911342749,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,14312911.167849168,0.1
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,14315423.819466623,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,14331240.141588133,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,14341692.267124608,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,14378191.121541614,0.1
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,14399279.876743631,0.0
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,14440876.411163246,0.1
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,14465955.725182937,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,14592271.187497027,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,14653156.215491818,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,14663877.053668406,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,14670045.231043128,0.0
danbz-KanDaWang-BaWangBieJi.xml_1,我这里出帐外且散愁情。,14685155.793507626,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,14706782.609624691,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,14716132.903470857,0.0
daxp-GuanShiYin-TianNvSanHua.xml_1,有善才和龙女站立两厢；,14728136.836253934,0.0
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,14813768.012934785,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,14845559.611807222,0.1
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,14869726.013921043,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,14987227.29657156,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,15029328.35946263,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_5,待我来搀扶（哇）你重订鸳盟。,15037262.903221147,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,15166056.585273672,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,15218505.432974702,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,15239451.179594064,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,15288899.034688996,0.0
daxp-JiaoZhangSheng-HongNiang.xml_2,放大胆忍气吞声休害怕，,15324830.219321201,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,15357137.063397143,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,15427564.37320083,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,15497157.003541075,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,15524825.080971744,0.4
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,15544500.538324779,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,15644195.905210558,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,15649616.480792331,0.0
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,15687157.681368778,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,15828816.681250187,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,15903190.559464704,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_2,我不免去安排罗衾绣枕，,15915148.477991741,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,15955011.301510906,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,15958672.307124607,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,15978964.010664525,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,15978964.010664525,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,15989588.867535923,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,16009051.867809942,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,16017647.786702311,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,16038727.753747784,0.0
danbz-KanDaWang-BaWangBieJi.xml_0,看大王在帐中和衣睡稳，,16038754.913889211,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,16090672.502282554,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,16275165.188393118,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,16335458.434839765,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,16356426.895369595,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,16372458.518625354,0.0
daxp-ZheCaiShi-SuoLinNang.xml_0,这才是人生难预料，,16400778.514412656,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,16434036.228971979,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,16449727.641466539,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,16467086.775559468,0.1
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,16533495.297606036,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,16649224.106213804,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,16670741.795872563,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,16690142.352299856,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,16758913.202751424,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,16812697.118374452,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,16831216.764418647,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_4,皓月当空，,16866460.454823617,0.1
daeh-TanHongYan-HuoXiaoYu.xml_1,美满姻缘付东流。,16889310.803713582,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,16911023.33601734,0.1
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,16919077.322751839,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,16936763.045001891,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,16948436.22591114,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,17019533.542000633,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,17050119.744819731,0.0
daxp-JiaoZhangSheng-HongNiang.xml_4,这也算是一段风流佳话，,17141842.421622891,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,17155423.227445029,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,17244809.767197069,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,17318513.939095665,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,17323372.576661356,0.1
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,17389397.423303116,0.0
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,17528480.340052102,0.0
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,17545021.485120147,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,17686460.563607741,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,17786293.026016604,0.0
daxp-XiShiNv-XiShi.xml_3,每日里浣纱去又傍清溪。,17791544.61250139,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,17798965.885576237,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,17802944.659576893,0.0
daxp-ZhiJianTa-WangJiangTing.xml_2,何人来把书信寄？,17828750.172963582,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,17831454.739553791,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,17864115.804548714,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,17896882.27572865,0.0
daxp-GuanShiYin-TianNvSanHua.xml_5,好似我散天花就纷落十方；,17983106.775341827,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,18016145.42133357,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,18353495.702897869,0.0
daxp-ZheCaiShi-SuoLinNang.xml_1,不想团圆在今朝。,18353495.702897869,0.0
daxp-ZheCaiShi-SuoLinNang.xml_7,愧我当初赠木桃。,18465658.69737884,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,18527956.464436404,0.1
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,18670436.289856303,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,18684188.224180039,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,18706209.296779029,0.1
daxp-GuanShiYin-TianNvSanHua.xml_4,绿柳枝酒甘露三千界上，,18910311.738893114,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,18930168.722212814,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,19009290.607722528,0.0
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,19112190.52129776,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,19339790.301912848,0.1
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,19365186.057787821,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,19380203.848045867,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_1,今朝仙女会襄王。,19387219.006416939,0.0
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,19692691.441504449,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,19709124.757374294,0.0
sdxp-DangNianHan-SanJiZhang.xml_15,未央宫斩的是韩信，,19728751.531321466,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,19741905.891070373,0.0
daxp-ZheCaiShi-SuoLinNang.xml_6,种福得福如此报，,19791820.458675787,0.1
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,19881631.569121424,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,19923445.144179016,0.3
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,19928097.913901258,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,19959506.117747903,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,20009445.99792026,0.0
daxp-ZheCaiShi-SuoLinNang.xml_5,善果心花可自豪。,20106031.65189283,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,20165687.749512501,0.0
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,20226124.987497892,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,20383823.284682333,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,20586119.517494228,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,20644947.244797152,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,20745920.40611301,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,20781552.578806154,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,20794533.686751004,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,20828217.263534766,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,21051842.262890231,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,21202153.963931594,0.1
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,21312747.524667177,0.0
daxp-ZhiJianTa-WangJiangTing.xml_8,出二堂深施礼，,21356920.2233207,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,21387204.322693545,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,21473226.999353129,0.3
daxp-ZhiJianTa-WangJiangTing.xml_6,低下头心生计，,21540794.303017698,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,21573911.057991575,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,21673499.339680243,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,21692771.496144604,0.0
daxp-ZheCaiShi-SuoLinNang.xml_2,回首繁华如梦渺，,21930034.289861538,0.0
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,22370974.198530857,0.0
daxp-ZheCaiShi-SuoLinNang.xml_4,柳暗花明休啼笑，,22417744.441021197,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,22566551.024606176,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,22592529.119014997,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,22621386.08163267,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,22676488.179263145,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,22687016.281992674,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,22789521.975627925,0.3
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_3,乾坤分外明，,22803569.673151869,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,22928759.684292238,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,23060923.8610368,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,23365968.679295398,0.3
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,23543619.807494406,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,23564438.152800731,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,23713555.868602827,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,23892991.213809885,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,24254938.041736457,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_4,原来是不耐烦已经睡困，,24833161.329472281,0.0
daxp-ZhiJianTa-WangJiangTing.xml_4,莫不是平地风波起，,25161442.011907201,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,25834492.348593306,0.0
daspd-DuShouKong-WangJiangTing.xml_3,为避狂徒到此间。,27129030.217318479,0.0
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,27750251.938944995,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,28065641.905879822,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,28227353.048048109,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,28376774.805849537,0.1
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,28579391.114200573,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,28642026.483518936,0.0
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,29645651.463034,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_3,发奋自强日夜读诗文。,31837344.485286515,0.0
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,41576709.969756268,0.0
sdxp-DangNianHan-SanJiZhang.xml_1,登台拜帅是韩信，,1135855946.5133605,0.0
sdxp-WoHeNi-SiLangTanMu.xml_5,非是我这几日愁眉不展，,1144362758.0631542,0.0
lsxp-JiangShenEr-SanJiaDian.xml_2,一不是响马与贼寇，,1228376423.3116548,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_3,为什么事到如今耍奸滑？,1329217850.4571717,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_7,一路上得遇陆贾、郦生与张良。,1331924351.1492178,0.1
lseh-NiangZiBu-SouGuJiuGu.xml_6,舍子搭救忠（呃）良的后，,1342488956.2469916,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_24,执宝剑将贼的（呀）头割下，,1343353276.1912153,0.0
lsxp-WeiCengKai-QiYuanBao.xml_2,家住在南阳太平庄，,1349390514.2290368,0.0
lsxp-ZouYingLong-DaYanSong.xml_9,那一旁坐的就是严阁老，,1367984686.4703183,0.1
sdxp-DangNianHan-SanJiZhang.xml_3,小奴才真个不孝顺，,1424123966.760102,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_1,卑（呀）人言来你是（喏）听。,1484939673.9295926,0.0
sdxp-WoHeNi-SiLangTanMu.xml_17,公主叫我盟誓愿，,1498332084.2647672,0.1
lsxp-CiShiJian-HuaiHeYing-1.xml_3,为什么事到如今耍奸滑。,1512614360.4485576,0.0
lseh-XiRiLi-BaoLianDeng.xml_14,打死了别家子父能作主，,1552735664.2783794,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_3,哭啼啼坐宝帐所为何来。,1590980967.2681785,0.0
lsxp-ZouYingLong-DaYanSong.xml_7,站立在殿角用目来观定，,1606093323.1352086,0.0
lsxp-DaHeYi-SiLangTanMu.xml_21,龙行虎步非凡等，,1632621470.2946081,0.0
sdxp-SuLongWei-WuJiaPo.xml_9,衙里衙外我打点，,1663506552.7100925,0.0
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,1691303035.0183566,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_1,问三娘发雷霆却是为何？,1720877680.769321,0.0
sdxp-SuLongWei-WuJiaPo.xml_13,腰中取出银一锭，,1759769300.0719068,0.0
sdxp-DangNianHan-SanJiZhang.xml_5,我的儿说话言不逊，,1788971326.6802025,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,1818523375.8572264,0.0
lseh-LaoZhangBu-WuPenJi.xml_1,我有言来你是（喏）听。,1854504313.4500382,0.0
lsxp-WeiCengKai-QiYuanBao.xml_4,奉母命京城往，,1860361278.7130694,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_5,右手再把栾布拉，,1920420736.5913839,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,1921312642.2066953,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,2022694251.3363669,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_10,屈死的怨鬼魂休要怨（呐）咱，,2037017073.2481768,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_4,先进咸阳为皇上，,2039049373.3991091,0.0
lsxp-ZouYingLong-DaYanSong.xml_3,偶遇见小小的顽童放悲声，,2058978536.9100587,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_2,悔不该心猿并意马，,2069765530.9332805,0.0
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,2084097074.116889,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_2,今日里斩宗保娘把儿怪，,2095216309.2606912,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_20,若是真心来救我，,2103066961.1551411,0.0
