宋天子主婚姻此事成全,0,宋天子主婚姻此事成全。
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,6078981.0515536554,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,6092268.5485624159,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,6093031.439880562,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,6103984.6644157581,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,6108040.3193682982,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,6108040.3193682982,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,6144433.4730633805,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,6180278.219001052,0.1
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,6186619.5490128081,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,6220677.6144100158,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,6248698.1606596895,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,6263270.4976360807,0.2
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,6297743.3443029067,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,6335163.1293278104,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,6348380.9651413839,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,6349714.2529164301,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,6375920.0691449,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,6379955.1369595621,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,6410644.9294339651,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,6436926.9291247809,0.1
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,6446334.6284718905,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,6470447.1112943906,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,6473474.6224344783,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,6491587.3802087363,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,6510897.2798737958,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,6558320.8319009328,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,6569044.6393811414,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,6587188.6005284609,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,6597032.8686745893,0.1
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,6605569.0162781784,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,6612691.2236332819,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,6613096.9070960414,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,6636255.4851682428,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,6642689.9083594326,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,6663501.9276550114,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,6676531.0755292634,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,6688606.80371664,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,6724064.6134817069,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,6728206.9804650322,0.1
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,6739953.0952635985,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,6765244.3092508689,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,6781291.9815720376,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,6792600.2404413102,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,6810280.3813153859,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,6817986.9488133993,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,6825108.0555178616,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,6833960.3664735919,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,6836590.1987926019,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,6837338.0617253697,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,6937791.6050450709,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,6948951.4414250562,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,6954812.0610060766,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,6966960.7475312548,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,6974804.2596539883,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,6976217.8006011788,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,6978771.2807967225,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,7009226.8708631797,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,7028721.0373858372,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,7043643.623003738,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,7056679.5876748012,0.0
