有善才和龙女站立两厢,3,有善才和龙女站立两厢；
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,5588502.1046204241,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,5588591.2103625117,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,5622145.2837003795,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,5628341.5083776442,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,5645542.282717078,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,5659322.1085184254,0.1
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,5688511.811194092,0.1
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,5698526.210372299,0.1
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,5711917.7059939178,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,5722230.5981417662,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,5753070.6882037651,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,5772743.4281798704,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,5772743.4281798704,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,5780214.50571365,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,5783689.1095965821,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,5792619.4557568748,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,5815271.8036826989,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,5825908.4035794027,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,5837772.4595802799,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,5849969.9126757495,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,5859544.4868140882,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,5869793.799274886,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,5874138.2222795077,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,5874409.8197491486,0.0
daxp-ZheCaiShi-SuoLinNang.xml_5,善果心花可自豪。,5917384.9104731437,0.1
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,5919100.9978693631,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,5919688.541406366,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,5940332.809316705,0.0
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,5942361.4300095318,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,6013752.8388398942,0.0
daxp-JiaoZhangSheng-HongNiang.xml_3,这件事倒叫我心乱如麻。,6015861.6627245238,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,6048307.5831947969,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,6072452.1239274023,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,6126680.9859810248,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,6139292.9887728207,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,6191918.1984037627,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,6201720.1995356884,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,6231237.4911277229,0.1
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,6245491.7535913344,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,6259205.9251377787,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,6302545.66749012,0.0
daxp-ZheCaiShi-SuoLinNang.xml_2,回首繁华如梦渺，,6323624.3761344422,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,6323855.6435875529,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,6327480.2775677415,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,6352471.3709738133,0.1
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,6355214.7992481571,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,6390633.7238522824,0.0
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,6399124.792910452,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_2,我不免去安排罗衾绣枕，,6435029.9395902986,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,6452135.0041842302,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,6475666.5946786776,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,6478809.4129152801,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,6485033.0890217135,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,6498876.2732624151,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,6503998.4280214664,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,6513282.725509976,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,6532412.4674258223,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,6556546.3467998281,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,6557767.9392116787,0.0
