有善才和龙女站立两厢,3,有善才和龙女站立两厢；
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,9002348.7900900543,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,9010275.4054771345,0.1
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_5,恰便似嫦娥离月宫，,9023901.7801950909,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,9063879.1358963661,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,9123063.9214205202,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,9123425.9161888156,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,9188741.3161942158,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,9245032.8186357543,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,9251462.5009254143,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,9270926.7838025466,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,9299683.0863620061,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,9299683.0863620061,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,9319802.8638141677,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,9345727.142352486,0.0
daxp-ZhiJianTa-WangJiangTing.xml_3,害得儿夫犯焦急；,9352021.8757272605,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,9357965.1194534227,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,9370886.2078680024,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,9376373.8212277833,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,9377257.3231925145,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,9381556.4643431846,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,9400260.9788570311,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,9414000.3517155312,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,9425617.8717539161,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,9441459.7146429997,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,9451672.187204754,0.1
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,9463748.2459744643,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,9464458.2716397326,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,9488979.4399541393,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,9549839.9686235748,0.1
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,9559726.1062374618,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,9590500.1551181562,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,9638881.4640020542,0.0
daxp-ZhiJianTa-WangJiangTing.xml_4,莫不是平地风波起，,9660892.1760456003,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,9696729.4009002,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,9750279.7023357954,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,9769985.865613291,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,9785761.6580752954,0.1
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,9800602.4228682518,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,9803195.112725459,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,9833218.7822571062,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,9833929.957022924,0.1
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,9854348.998294076,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,9860398.8399439026,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,9868638.3121941052,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,9877347.5285285451,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,9885674.6412363648,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,9889460.5654071644,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,9905460.97687966,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,9982613.2199522816,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,9999061.5049078353,0.0
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,10034880.011544539,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,10041769.44654003,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,10043271.33623963,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,10062215.047699738,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,10062224.41041418,0.1
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,10093688.166543307,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,10105560.672725592,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,10119176.906181302,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,10161186.912484333,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,10178390.648045564,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,10180911.520735625,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,10243709.085733375,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,10251101.992606137,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,10277698.493126616,0.1
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,10301571.665751576,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,10308912.636213589,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,10312656.944527479,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,10318703.233447403,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,10319207.773006048,0.0
daxp-ZhiJianTa-WangJiangTing.xml_2,何人来把书信寄？,10387252.781917863,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,10400796.794630205,0.0
daspd-DuShouKong-WangJiangTing.xml_2,孀居愁苦泪洗面，,10418467.963668507,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,10473482.387650719,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,10475424.172169045,0.0
daxp-ZheCaiShi-SuoLinNang.xml_3,残生一线付惊涛。,10477511.505658155,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,10495603.217104858,0.1
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,10507536.82026042,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,10573483.429744083,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,10639678.961288447,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,10684257.166647162,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,10694338.339332459,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,10696751.483127901,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,10698656.564785527,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,10707987.868054638,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_4,原来是不耐烦已经睡困，,10713735.221458085,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,10747606.838596957,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,10770000.153579697,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,10774019.364255132,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,10783622.142918056,0.1
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,10784858.147947902,0.0
daxp-JiaoZhangSheng-HongNiang.xml_0,叫张生隐藏在棋盘之下，,10928174.834384093,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,10976050.535756683,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,11048831.140516203,0.0
daxp-ZhiJianTa-WangJiangTing.xml_6,低下头心生计，,11060330.603915734,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,11061360.550155239,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,11098795.191173987,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,11143897.227067733,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,11152365.792253196,0.2
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,11162652.205390712,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,11275060.359870818,0.1
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,11343431.434359994,0.1
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,11349731.904466813,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,11354831.411588298,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,11392527.658720912,0.0
daxp-JiaoZhangSheng-HongNiang.xml_5,听号令且莫要惊动了她。,11403633.825532001,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,11444910.893003313,0.0
daxp-JiaoZhangSheng-HongNiang.xml_2,放大胆忍气吞声休害怕，,11456929.023249473,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,11478166.744993526,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,11484908.079106977,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,11507306.583282238,0.1
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,11590923.659125349,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,11632413.737320919,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,11672011.000380788,0.0
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,11677796.857817233,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,11718212.394511489,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,11727850.636238623,0.0
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,11744789.191504115,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,11748407.760553237,0.1
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,11861235.064053033,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,11863948.667771673,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,11902429.691489525,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,11906272.750415653,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,11913251.557753069,0.0
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,12033211.84323721,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,12150742.360318167,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,12212393.108253138,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,12326466.869419085,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,12380657.8605213,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,12403520.478239775,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,12427006.441645881,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,12457709.821754504,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,12520800.743542936,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,12632652.184061453,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,12698039.104352904,0.1
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,12788110.793501779,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,12802924.937286282,0.1
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,12816598.945958881,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,12942289.286066176,0.0
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,12976504.176659465,0.0
daxp-ZhiJianTa-WangJiangTing.xml_8,出二堂深施礼，,12995217.88590374,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,13126728.458906138,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,13127425.430908356,0.0
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,13163030.45640609,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,13439412.519382078,0.0
daeh-TanHongYan-HuoXiaoYu.xml_1,美满姻缘付东流。,13469864.438786898,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,13509200.883415895,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,13576357.100967759,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,13646280.783606373,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,13775672.884447187,0.0
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,13909513.909025053,0.1
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,13944626.489449792,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,14023769.547600735,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,14032681.19833779,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,14125978.939652206,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,14126792.494024443,0.1
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,14185680.105137305,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,14195449.210860122,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,14274568.320545292,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_2,那冰轮离海岛，,14322164.957408927,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,14344289.363512874,0.1
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,14372925.259700751,0.1
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,14379898.427868254,0.1
daxp-XiShiNv-XiShi.xml_3,每日里浣纱去又傍清溪。,14460014.914545843,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,14471704.065346137,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,14542961.073120125,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,14554112.339914175,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,14643986.112376502,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,14673401.256911978,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,14684623.595352719,0.2
daspd-DuShouKong-WangJiangTing.xml_1,芳心寂寞有谁怜，,14716812.004661255,0.1
daxp-ZhiJianTa-WangJiangTing.xml_0,只见他一封书信握手里，,14730819.199668454,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,14827797.728088683,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,15015604.883802073,0.2
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,15118935.127648046,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_1,算当初曾经得几晌温存。,15214939.704337459,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,15274646.580832727,0.1
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,15370584.339085257,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,15374365.640954994,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,15401477.599259952,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,15404353.995516824,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,15424962.676778417,0.1
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,15447632.214639651,0.1
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,15481616.049723925,0.1
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,15492948.514302865,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,15492948.514302865,0.0
daxp-GuanShiYin-TianNvSanHua.xml_0,观世音满月面珠开妙相，,15536464.908966364,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,15583178.973298013,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,15726867.695498371,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,16048575.054329805,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,16209522.259832622,0.0
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,16348105.249790877,0.0
daxp-ZhiJianTa-WangJiangTing.xml_1,长吁短叹语声低。,16363137.533055086,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,16379386.386725031,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,16460708.276771739,0.0
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,16562472.200067878,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,16607203.640826615,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,16709624.968585482,0.1
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,16811253.692585029,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,16830242.129159357,0.0
daxp-ZheCaiShi-SuoLinNang.xml_0,这才是人生难预料，,16892665.56847987,0.1
daxp-LaoDieDie-SanJiZhang-2.xml_2,父道那薛平贵是那化郎模样，,16996738.976293124,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,17046499.19682366,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,17165481.566639889,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,17188774.326795276,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,17229419.698380738,0.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,17477842.721965637,0.1
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,17602463.824381057,0.1
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,17726895.702925522,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,17820217.130563837,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,17999737.146660589,0.0
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,18082087.517741781,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,18282551.488341611,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_3,发奋自强日夜读诗文。,18500696.440473448,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,18601842.099293489,0.0
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,19006986.491313443,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,19171701.515011035,0.0
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,19428139.784331482,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,19771728.955957618,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,19861842.285625976,0.0
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,19861898.886512585,0.0
daxp-GuanShiYin-TianNvSanHua.xml_7,催祥云驾瑞彩速赴佛场。,20572221.068313196,0.0
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,20576912.40461798,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,21155753.772840809,0.0
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,21388374.84884426,0.0
sdxp-DangNianHan-SanJiZhang.xml_15,未央宫斩的是韩信，,21867032.60640819,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,22093813.042427678,0.2
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,22119254.492790349,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,22159781.647797603,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,22159781.647797603,0.0
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,23590529.381044153,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,23590529.381044153,0.1
daxp-QiaoLouShang-HuangShanLei.xml_10,我不免引寒机伴奴坐等，,23960949.695131037,0.0
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,25442913.0297697,0.1
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,27439981.337809864,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_1,今朝仙女会襄王。,29843326.860090807,0.1
lsxp-ZheYiFeng-DingJunShan.xml_6,向前各各有赏犒，,306270369.09014606,0.1
lsxp-WeiCengKai-QiYuanBao.xml_7,借宿一宵起祸殃。,568604543.98109746,0.0
lsxp-WeiCengKai-QiYuanBao.xml_5,贩卖绸缎转还乡。,588864595.89040101,0.0
lsxp-ZiGuDao-HuangHeLou.xml_0,自古道吉人有天相，,842041220.44670951,0.1
lsxp-ZouYingLong-DaYanSong.xml_8,上面坐的是有道君，,848273786.28650975,0.1
lsxp-WeiCengKai-QiYuanBao.xml_3,姓刘名安字世昌。,848455312.11465597,0.0
lseh-XiRiLi-BaoLianDeng.xml_11,留得美名万古存，,919270509.95163894,0.0
sdxp-WoHeNi-SiLangTanMu.xml_8,我的娘押粮草来到北番。,926132468.74124408,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_1,年老得配女娇娃。,967079514.45306921,0.1
sdxp-DangNianHan-SanJiZhang.xml_7,要退、要退、偏要退！,988680955.55588603,0.0
sdxp-WoHeNi-SiLangTanMu.xml_18,将身跪在地平川。,1010591367.7050844,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_0,此时间不可闹笑话，,1016335136.0932927,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_1,父纳子（呃）妻礼难容，,1024460159.4676504,0.0
sdxp-WoHeNi-SiLangTanMu.xml_6,有一桩心腹事不敢明言。,1046363573.4521375,0.1
sdxp-WoHeNi-SiLangTanMu.xml_4,誓不忘贤公主恩重如山。,1046786985.2794852,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_0,此时间不可闹笑话，,1052439559.4696654,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_5,右手再把栾布拉。,1053033833.1847301,0.0
lsxp-DaHeYi-SiLangTanMu.xml_2,杨家将令鬼神惊。,1067899632.3571078,0.0
lsxp-JianMaSu-ZhanMaSu.xml_2,大胆不听我的话，,1080541261.6268628,0.0
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,1104796518.0780714,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,1114997257.286355,0.0
lsxp-ZouYingLong-DaYanSong.xml_1,在朝房来了我这保国忠。,1120079094.7277741,0.0
sdxp-DangNianHan-SanJiZhang.xml_6,句句话儿伤父心。,1131675268.2915697,0.0
lsxp-DaHeYi-SiLangTanMu.xml_20,见一番汉帐中行。,1170721661.2250392,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,1184923098.9343085,0.0
lsxp-DaHeYi-SiLangTanMu.xml_19,本帅帐中用目睁，,1307561235.6176195,0.0
lsxp-JiangShenEr-SanJiaDian.xml_14,眼见得红日坠落在西山后，,1343204879.1642869,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,1349954861.761436,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_7,拔出剑将他的满门杀，,1355242586.4073923,0.0
lsxp-JiangShenEr-SanJiaDian.xml_11,儿行千里母担忧。,1380665195.3281567,0.0
