想当年桃花马上威风凛凛,0,想当年桃花马上威风凛凛，
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,1358269.8167985168,1.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,2886462.6962227877,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,3821871.1446340755,0.09090909090909091
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,3938577.3266843609,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,3968913.7257977328,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,4211276.7705254722,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,4213301.9272887316,0.09090909090909091
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,4586001.0391408838,0.09090909090909091
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,4596567.0440844987,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,4734388.0349442977,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,4790452.5216575265,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,4800064.0946541885,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,4831916.6356069976,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,4928965.1407668376,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,4960886.448656993,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,4991978.8305517221,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,4994286.866908907,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,5014824.3263721894,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,5082225.2280305419,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,5086646.0182024017,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,5121467.7914427062,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,5147962.0938457074,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,5187756.9622541433,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,5189296.2198820366,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,5201883.8579772729,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,5242696.062063396,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,5249831.1565981349,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,5336247.1061330801,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,5378811.1691307221,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,5392338.6586227166,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,5438891.131178841,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,5446470.2194332369,0.09090909090909091
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,5475823.318770525,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,5596781.4424653389,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,5631291.646070309,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,5633340.2026746161,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,5677519.7296961062,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,5687571.496710862,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,5700637.1323681092,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,5714078.0876093032,0.09090909090909091
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,5729137.0057185832,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,5888363.6072085993,0.0
