猛听得金鼓响画角声震,0,猛听得金鼓响画角声震，
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,1704319.8563220319,1.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,2824649.2713912702,0.2
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,2972092.5367937447,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,3107599.0843454748,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,3113224.1501629781,0.1
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,3130733.2381246388,0.1
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,3148936.0210976126,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,3155789.8160891249,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,3281363.6158347763,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,3777742.4859639457,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,3830659.9404739412,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,3924713.5930794789,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,3932262.6358468262,0.1
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,3977489.817465222,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,4030752.0540938149,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,4044054.2355691609,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,4105333.2693819921,0.1
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,4112798.4236579817,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,4139768.0246405271,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,4171376.3754022745,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,4221695.9438952114,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,4226653.742416868,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,4271778.9208107106,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,4271778.9208107106,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,4321432.1264658747,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,4323860.2429541834,0.1
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,4335057.4948008228,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,4618119.0487312153,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,4655892.5798010491,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,4742063.6607800694,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,4815170.2052389625,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,4877362.6524734823,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,4905941.3280040193,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,4993707.33033456,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,5015334.2487377347,0.0
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,5058372.0988379773,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,5058372.0988379773,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,5059164.6156825498,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,5066198.2785966657,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,5155376.93343125,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,5178774.7790701929,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,5188195.1741302311,0.2
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,5199098.5056558829,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,5199098.5056558829,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,5213310.9879895858,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,5301797.6445808169,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,5324535.2738652313,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,5355361.9619992329,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,5387299.1965685394,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,5522264.4322745083,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,5585110.1718538264,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,5602384.9843511935,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,5640276.1557023376,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,5662696.3705625357,0.1
