猛听的金鼓响画角声震,0,猛听得金鼓响画角声震，
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,6081594.1324242996,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,6116786.5810154025,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,6131333.5293785399,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,6176639.6253318405,0.1
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,6185861.9946425464,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,6195279.644773527,0.0
daxp-JiaoZhangSheng-HongNiang.xml_0,叫张生隐藏在棋盘之下，,6288762.6714568119,0.0
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,6373897.3751545288,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,6395127.8751641614,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,6445353.6275541726,0.0
daxp-GuanShiYin-TianNvSanHua.xml_7,催祥云驾瑞彩速赴佛场。,6454560.0470844675,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,6490454.7446472775,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,6508073.6247956147,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,6515416.8173780208,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,6595689.5571164982,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,6616822.0177556593,0.1
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,6646255.1819043914,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,6647946.0604654085,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,6675902.696099367,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,6711323.8974187393,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,6740520.9583467059,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,6743778.1421509236,0.1
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,6753326.8185182093,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,6754764.7136289841,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,6767516.1843582494,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,6778436.2305645887,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,6840182.2124835011,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,6851456.8150984449,0.2
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,6858780.1852617608,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,6882199.9249738604,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,6902036.0721010789,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,6958524.2066410668,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,6997999.8795791166,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,7026600.004206189,0.3
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,7032166.3084687544,0.0
danbz-KanDaWang-BaWangBieJi.xml_2,轻移步走向前荒郊站定，,7036208.6522758445,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,7057189.1848737476,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,7144281.0360459937,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,7155050.5092242816,0.0
