猛听的金鼓响画角声震,0,猛听得金鼓响画角声震，
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,10105845.676100004,0.1
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,10157310.059794737,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,10165575.237646937,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,10167054.518914606,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,10181145.188192967,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,10208826.503554096,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,10211351.107350109,0.2
daxp-JiaoZhangSheng-HongNiang.xml_5,听号令且莫要惊动了她。,10224748.895358723,0.1
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,10227711.521234917,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,10229814.630111797,0.1
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,10253922.328877972,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,10276395.338270042,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,10292429.021788532,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,10293586.156284152,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,10313116.571051219,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,10341785.580273157,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,10347746.444667477,0.1
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,10349436.456870973,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,10349751.72678409,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,10351928.23947145,0.0
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,10360478.467536865,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,10384281.709711077,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,10392156.325813625,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,10453586.611119632,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,10466502.537138944,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,10492586.970995435,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,10526079.906559573,0.0
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,10537367.223672159,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,10539382.787908234,0.1
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,10539485.130892562,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,10540713.371222764,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,10541552.478966793,0.0
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,10543169.57850535,0.1
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,10572462.99374369,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,10575382.468508543,0.0
daxp-ZheCaiShi-SuoLinNang.xml_3,残生一线付惊涛。,10589728.268453605,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,10610187.533333464,0.0
daxp-ZhiJianTa-WangJiangTing.xml_3,害得儿夫犯焦急；,10624763.380360823,0.0
daxp-GuanShiYin-TianNvSanHua.xml_1,有善才和龙女站立两厢；,10658560.190493088,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,10671386.439430425,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,10699789.260725558,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,10704208.499953441,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,10733399.570962932,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,10735045.067480275,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,10738510.162098555,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,10774891.740650803,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,10788476.43101888,0.0
daxp-ZhiJianTa-WangJiangTing.xml_2,何人来把书信寄？,10798080.377355549,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,10798362.438296266,0.3
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,10802822.30892266,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,10806892.24401457,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,10877612.688841328,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,10885303.299646232,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,10927841.83085075,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,10966461.972189069,0.0
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,10975007.271361355,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,10992014.709491059,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,11014041.583320593,0.1
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,11092215.924513873,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,11127310.220981166,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,11148376.984294668,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,11149384.143627152,0.1
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,11167068.474470243,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,11168726.958713587,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,11190985.606137177,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,11256312.39373802,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,11265426.51449161,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,11280339.760777628,0.1
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,11287645.495848609,0.1
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,11363895.15234953,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,11402607.028457621,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,11405024.833179444,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,11419129.305335976,0.0
daxp-GuanShiYin-TianNvSanHua.xml_2,菩提树薝卜花千枝掩映，,11428708.395719163,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,11434689.646219401,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,11479630.076741423,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,11486487.788818544,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,11486916.309014281,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,11521556.570390167,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,11527546.933319286,0.0
daxp-ZhiJianTa-WangJiangTing.xml_8,出二堂深施礼，,11536936.617481109,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,11546662.48995165,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,11600087.08390457,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,11611599.172658438,0.0
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,11633901.842072152,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,11665129.884226633,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,11859510.422482861,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,11899679.406322805,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,11899679.406322805,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,11906929.406808171,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,11924420.795040136,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,11932735.973350929,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,11953867.70626861,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,11986717.7298862,0.1
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,12038135.026511692,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,12072175.387487225,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,12084362.417496994,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,12118895.110107932,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,12214634.618726971,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,12251931.718591619,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,12262432.299651613,0.0
daxp-ZheCaiShi-SuoLinNang.xml_1,不想团圆在今朝。,12262432.299651613,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,12291839.98872887,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,12295330.220889864,0.1
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_6,奴似嫦娥离月宫。,12296756.524494357,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,12299405.117068281,0.1
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,12305793.596864173,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,12308195.588329665,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,12310770.282823361,0.1
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,12317907.367006179,0.2
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,12444511.156928467,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,12459151.67384365,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,12502400.849919129,0.1
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,12512687.593758048,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,12518389.322849775,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,12587532.445512054,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,12590827.14099953,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,12623184.111300919,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,12727663.815051805,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,12755214.451510508,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,12765479.035689233,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,12776619.773639187,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,12805584.048569342,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,12851937.520830231,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,12864228.411016701,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,12893443.577112703,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,12913923.802087164,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,12947324.330081552,0.0
daxp-ZhiJianTa-WangJiangTing.xml_4,莫不是平地风波起，,12971924.434447775,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,13039296.656940419,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,13052974.040013364,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,13058410.688322706,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,13092066.60924576,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,13127241.11734592,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,13134524.532588718,0.2
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,13196803.863615775,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,13350259.091651576,0.0
daxp-ZheCaiShi-SuoLinNang.xml_7,愧我当初赠木桃。,13473133.06684421,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,13484481.388877477,0.0
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,13500500.124486011,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,13527523.414047629,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,13562392.456985997,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,13568707.213788643,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,13603044.259379271,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,13724030.987814581,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,13742304.362014895,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_0,海岛冰轮初转腾；,13760741.548222635,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,13823035.981747808,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,13841797.236841479,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_5,待我来搀扶（哇）你重订鸳盟。,13900534.126872405,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,13955016.296318131,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,13965451.844753891,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,13977593.633995265,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,13983061.465003876,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,14059153.048485084,0.2
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,14074714.972921027,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,14116553.24343304,0.2
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,14169922.923934631,0.2
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,14183043.234425057,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,14261826.341694126,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,14308625.091305723,0.2
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,14321664.283747507,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,14331136.830392877,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,14343166.190663408,0.0
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,14351489.021631783,0.0
daxp-GuanShiYin-TianNvSanHua.xml_5,好似我散天花就纷落十方；,14355860.210179618,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,14376730.122912606,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,14430309.024986997,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,14453493.82428671,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,14531555.761088816,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,14586545.918392856,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,14603206.587291928,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,14617505.048762493,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_2,我不免去安排罗衾绣枕，,14731814.230635684,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,14755723.379300063,0.0
danbz-KanDaWang-BaWangBieJi.xml_0,看大王在帐中和衣睡稳，,14954277.87694045,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,15083199.114523839,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,15127032.864664428,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,15150056.722130539,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,15166995.632836774,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_3,莫负他好春宵一刻千金。,15197663.063845472,0.1
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,15403027.998183995,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,15431578.359822046,0.1
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,15587093.144393666,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,15611607.418719998,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,15649410.051842554,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,15652183.237938967,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,15708605.545940962,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,15710181.002269207,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,16019460.548984921,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,16106707.216532629,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,16119814.99079317,0.0
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,16250283.722836319,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,16304953.100875467,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,16537244.440088173,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,16634032.794075791,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,16653089.732313428,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,16678375.90046287,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,16776513.781711096,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,17065042.823175814,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,17302978.773422435,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,17549267.075693466,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,17667723.101451017,0.2
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,17705640.57267661,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,17837111.295076799,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,18227465.000321697,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,18350088.587926883,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,18353985.906464677,0.0
daxp-ZheCaiShi-SuoLinNang.xml_5,善果心花可自豪。,18760892.019494046,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,18824350.773971364,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,19079309.301233318,0.1
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,19544000.422053929,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,19586027.131285544,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,19594896.678576577,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,20130020.128552686,0.0
danbz-KanDaWang-BaWangBieJi.xml_1,我这里出帐外且散愁情。,20385223.946214058,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_3,发奋自强日夜读诗文。,20656476.736374814,0.0
daxp-JiaoZhangSheng-HongNiang.xml_4,这也算是一段风流佳话，,21140432.979075633,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,21207352.451801356,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,21283758.6043493,0.1
daxp-ZheCaiShi-SuoLinNang.xml_4,柳暗花明休啼笑，,21859806.582332652,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,21974735.349668991,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,22227020.537716586,0.0
daxp-JiaoZhangSheng-HongNiang.xml_2,放大胆忍气吞声休害怕，,23329705.868327219,0.1
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,23493486.881259851,0.0
daxp-GuanShiYin-TianNvSanHua.xml_4,绿柳枝酒甘露三千界上，,24832080.140724622,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,25783832.867474843,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_4,皓月当空，,26064146.821446724,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,26931061.850365322,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_3,乾坤分外明，,27068313.324736536,0.0
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,40886356.965850115,0.1
lsxp-DaHeYi-SiLangTanMu.xml_10,火堪寨上有家门。,808211955.69498467,0.0
lsxp-ZouYingLong-DaYanSong.xml_0,忽听得万岁宣应龙，,815029042.84937561,0.1
lsxp-DaHeYi-SiLangTanMu.xml_9,家住后山磁州郡，,949145704.96312046,0.0
lseh-LaoZhangBu-WuPenJi.xml_4,我忙将树（呃）枝摆摇（哇）动，,1039839494.8066643,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_0,一轮明月照窗前，,1062818287.3570296,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_1,我也曾平服了塞北西东。,1078734770.9809072,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_0,一轮明月照窗前，,1128209329.5283368,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_1,我也曾平服了塞北西东。,1173916885.4079905,0.0
lsxp-WoBenShi-KongChengJi-2.xml_1,凭阴阳如反掌保定乾坤。,1181525355.0957456,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_8,一路上秋毫无犯军威壮，,1181840351.6692019,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_0,深宫无（哇）处不飞花，,1187498395.4842093,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_1,我也曾平服了塞北西东。,1188377114.8901386,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_0,一轮明月照窗下，,1192257563.8789291,0.0
lsxp-WoBenShi-KongChengJi-2.xml_2,先帝（呀）爷下南阳（呃）御驾三（呃）请，,1192824422.8511117,0.0
lsxp-ZheYiFeng-DingJunShan.xml_9,到明天午时三刻要成功劳。,1223080354.7541914,0.0
lsxp-WeiCengKai-QiYuanBao.xml_2,家住在南阳太平庄，,1261740953.2229946,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_0,一轮明月照窗下，,1271689916.6093094,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_7,生死二字（喏）且由他。,1271696488.319386,0.0
sdxp-SuLongWei-WuJiaPo.xml_9,衙里衙外我打点，,1285777465.5251293,0.0
lsxp-JiangShenEr-SanJiaDian.xml_5,因此上发配到登州。,1318084419.2087667,0.0
lsxp-WoBenShi-KongChengJi-1.xml_1,论阴阳如反掌保定乾坤。,1329442663.2718737,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_7,生死二字（喏）且由他！,1332846004.7340934,0.0
lsxp-JiangShenEr-SanJiaDian.xml_1,尊一声过往的宾朋听从头：,1391253091.5752451,0.3
sdxp-WoHeNi-SiLangTanMu.xml_18,将身跪在地平川。,1398438674.3458078,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_4,先进咸阳为皇上，,1407816361.686692,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_0,一轮明月照窗下，,1412664818.037734,0.0
lsxp-WeiCengKai-QiYuanBao.xml_1,尊一声太爷听端详。,1415642801.7269163,0.2
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,1417180026.241215,0.1
lsxp-DaHeYi-SiLangTanMu.xml_22,灯光之下看不真。,1420993733.577883,0.0
lseh-YangYanZhao-PengBei.xml_1,在中途得一信甚是不明。,1421156115.4970732,0.0
lseh-ZiNaRi-HongYangDong.xml_2,我前番命孟良骸骨搬（呐）请，,1430202140.2920735,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_1,请先生到江边即刻登舟。,1441899199.0383761,0.0
