待我来再与你重订鸳盟,0,待我来搀扶（哇）你重订鸳盟。
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,6974013.2715745401,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,7011589.9024395579,0.1
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_4,皓月当空，,7011876.9983125459,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,7029630.1487331707,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,7049467.655974905,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,7067176.0563826095,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,7107211.4909355156,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,7111498.1404587133,0.1
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,7112590.866918087,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,7134983.2359244218,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,7138941.302252423,0.0
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,7175480.6306804875,0.3
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,7193297.4267247748,0.1
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,7217384.7041851506,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,7223551.475398968,0.1
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,7236028.4334909068,0.1
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,7238081.9079277832,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,7313230.2145963935,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,7331026.667422954,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,7331691.4492366891,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,7341621.3402328473,0.1
daxp-JiaoZhangSheng-HongNiang.xml_3,这件事倒叫我心乱如麻。,7342453.2713155327,0.1
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,7369217.5923106475,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,7380383.1462526387,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,7417721.2649073228,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,7437508.4720243895,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,7457121.7632802632,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,7466006.3669080576,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,7491940.1150513152,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,7554556.7240932537,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,7563004.8815789502,0.0
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,7569508.8323241612,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,7591734.0324982479,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,7604224.560954392,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,7618372.3219995098,0.1
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,7621817.9514978016,0.2
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,7658457.6640298385,0.1
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,7667416.5399859929,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,7690642.5575037692,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,7701877.3326367745,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,7704505.8694312293,0.2
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,7725342.0783359818,0.2
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,7731862.7427097326,0.1
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,7739157.5929223113,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,7743810.6104663005,0.1
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,7755261.8857823927,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,7783537.9269712418,0.1
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,7805174.5218865247,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,7814495.9820459317,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,7825967.4018369019,0.0
daspd-DuShouKong-WangJiangTing.xml_1,芳心寂寞有谁怜，,7874573.4613338234,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,7896420.5794382002,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,7920070.8787187543,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,7988140.2680314621,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,8007465.9745800653,0.0
danbz-KanDaWang-BaWangBieJi.xml_1,我这里出帐外且散愁情。,8041719.0139457928,0.1
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,8061603.155467527,0.1
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,8061603.155467527,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,8066515.8610623153,0.0
danbz-KanDaWang-BaWangBieJi.xml_2,轻移步走向前荒郊站定，,8070366.4154132316,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,8091576.3831304489,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,8111703.2940070881,0.0
daspd-DuShouKong-WangJiangTing.xml_2,孀居愁苦泪洗面，,8112339.4812651156,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,8136539.6559617976,0.0
daxp-ZhiJianTa-WangJiangTing.xml_5,隐情不敢实告妻。,8146244.6825036732,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,8158283.2688947152,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,8201953.3092237618,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,8206145.6984569123,0.0
daxp-ZheCaiShi-SuoLinNang.xml_3,残生一线付惊涛。,8243216.7668744577,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_2,那冰轮离海岛，,8273224.5101498775,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,8296914.9386059837,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,8311667.4062580112,0.1
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,8394444.6969906781,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,8490903.5888660997,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,8521887.6257856209,0.1
daspd-DuShouKong-WangJiangTing.xml_3,为避狂徒到此间。,8541774.2758110296,0.0
daxp-GuanShiYin-TianNvSanHua.xml_6,满眼中清妙景灵光万丈，,8564774.0522089675,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,8584042.2086311765,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,8585155.1695519015,0.1
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,8596220.977438394,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,8609696.0002194978,0.1
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,8628948.108947318,0.1
daxp-GuanShiYin-TianNvSanHua.xml_3,白鹦鹉与仙鸟在灵岩神岘上下飞翔；,8660220.1277927291,0.1
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,8696973.2117898986,0.0
daxp-GuanShiYin-TianNvSanHua.xml_2,菩提树薝卜花千枝掩映，,8738162.5399452467,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,8782969.1766663976,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,8792003.5579985939,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,8822500.0801013913,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,8839065.7190824915,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,8844302.9634150099,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,8866064.3468068205,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,8870265.0549978446,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,8875483.1712284479,0.2
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,8879714.4942532685,0.1
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,8888680.3819983844,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,8923178.0508645866,0.1
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,8947328.9044922739,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,8950627.0022881236,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,8962616.812330395,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,9010629.7465911079,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,9042770.3719290104,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,9055628.6581235994,0.0
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,9096226.5966660734,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,9097262.6039312761,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,9138293.1310535949,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_5,恰便似嫦娥离月宫，,9229980.0693579149,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,9235209.0210015234,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,9243983.4847154878,0.1
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,9280044.8655265123,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,9308158.6705223043,0.1
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,9315326.521169547,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,9345106.5847631115,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,9435593.1306528449,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,9447354.3187079579,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_6,奴似嫦娥离月宫。,9491637.3545421045,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,9494314.2926575541,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,9507324.4401812963,0.1
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,9507862.9305661656,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,9564012.0965797249,0.0
daxp-ZhiJianTa-WangJiangTing.xml_1,长吁短叹语声低。,9570911.2465800215,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,9579555.5127824061,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,9597458.6726998482,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,9662816.7587217558,0.1
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,9669501.8937115725,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,9686203.4914137684,0.0
daxp-JiaoZhangSheng-HongNiang.xml_5,听号令且莫要惊动了她。,9788763.6778846383,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,9789840.7537711449,0.1
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,9789840.7537711449,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,9821209.4519458544,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,10000169.512279103,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,10003344.175107177,0.0
daeh-TanHongYan-HuoXiaoYu.xml_1,美满姻缘付东流。,10008736.720165322,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,10048106.688382097,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,10049042.390387643,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,10051247.268726759,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,10149727.02537298,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,10204079.408119012,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,10216354.540747341,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,10241265.130005773,0.1
daxp-ZhiJianTa-WangJiangTing.xml_3,害得儿夫犯焦急；,10246800.227081776,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,10285198.37836252,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,10324364.787598936,0.1
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,10407578.444885837,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,10462534.565591343,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,10546765.15660269,0.1
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,10572958.740725964,0.1
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,10602967.770335164,0.1
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,10624333.199254088,0.0
daxp-ZhiJianTa-WangJiangTing.xml_2,何人来把书信寄？,10674681.047011157,0.1
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,10697687.397353439,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,10712357.053258317,0.1
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,10751076.749978036,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_4,原来是不耐烦已经睡困，,10818371.9067435,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,10877622.852761103,0.0
daxp-ZhiJianTa-WangJiangTing.xml_4,莫不是平地风波起，,10926077.368118569,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,10936778.089311106,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,11087424.147308839,0.1
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,11130451.776835496,0.0
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,11283119.863356877,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,11363217.825782236,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,11363636.977379754,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,11371271.410985377,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,11388100.341701964,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,11419518.586023787,0.0
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,11458986.872258488,0.1
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,11531490.240077065,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,11577462.794572236,0.0
daxp-XiShiNv-XiShi.xml_3,每日里浣纱去又傍清溪。,11617701.728015382,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,11684493.684398144,0.0
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,11806731.323510766,0.1
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,11946467.963858457,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,12013910.750980755,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,12063430.637287173,0.2
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,12317107.381162057,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,12321395.53362122,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,12326413.732383128,0.0
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,12331840.684667822,0.2
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,12449371.982875613,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,12460181.529943768,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,12469603.20402652,0.2
daxp-ZhiJianTa-WangJiangTing.xml_0,只见他一封书信握手里，,12713525.263440531,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,12752456.048613992,0.1
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,12825444.023517407,0.1
daxp-ZhiJianTa-WangJiangTing.xml_8,出二堂深施礼，,12850013.038549809,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,12867361.35380787,0.2
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,13163538.626984218,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,13220698.150163433,0.0
daxp-ZhiJianTa-WangJiangTing.xml_6,低下头心生计，,13373087.699268809,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,13387516.892780337,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,13461305.282687893,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,13502345.837711969,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,13784946.246754264,0.0
daxp-ZheCaiShi-SuoLinNang.xml_0,这才是人生难预料，,13788049.37234145,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,13808062.713666562,0.1
danbz-BeiJiuChan-ChunGuiMeng.xml_1,算当初曾经得几晌温存。,13904488.038121777,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,13985177.877619574,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,13988484.794704231,0.1
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,14068069.73873244,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,14099831.837954028,0.0
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,14118863.617560513,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,14223261.357402204,0.1
daxp-GuanShiYin-TianNvSanHua.xml_7,催祥云驾瑞彩速赴佛场。,14463826.56026946,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,14575945.504136451,0.0
daxp-GuanShiYin-TianNvSanHua.xml_0,观世音满月面珠开妙相，,14630984.364118529,0.0
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,14781377.691322269,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,14956632.809034223,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,14959890.2790171,0.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,15204919.723705916,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,15208243.536642861,0.1
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,15331996.914249133,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,15605060.287302451,0.0
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,15685551.672596984,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_2,父道那薛平贵是那化郎模样，,16192992.815539291,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,16196403.170392215,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,16196403.170392215,0.1
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,16318973.120708238,0.0
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,16843982.643207684,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,16932600.791410938,0.0
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,16996629.229291257,0.0
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,17094965.969727986,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,17384117.366191551,0.1
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,17388561.202310652,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,17680557.291241899,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,19076949.790890757,0.1
sdxp-DangNianHan-SanJiZhang.xml_15,未央宫斩的是韩信，,19551547.601719975,0.0
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,19712115.987837255,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,19712115.987837255,0.0
daxp-QiaoLouShang-HuangShanLei.xml_10,我不免引寒机伴奴坐等，,21334138.661145099,0.1
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,21593333.130012006,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_3,发奋自强日夜读诗文。,22169546.30804386,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_1,今朝仙女会襄王。,23429326.182521649,0.0
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,23871172.005523808,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,108422795.49466951,0.1
lseh-XiRiLi-BaoLianDeng.xml_11,留得美名万古存，,127449447.40506116,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,136765904.41668329,0.0
sdxp-WoHeNi-SiLangTanMu.xml_6,有一桩心腹事不敢明言。,138634123.20095363,0.0
lsxp-ZheYiFeng-DingJunShan.xml_6,向前各各有赏犒，,143349597.44543537,0.0
lsxp-ZouYingLong-DaYanSong.xml_8,上面坐的是有道君，,148994018.22808808,0.0
sdxp-WoHeNi-SiLangTanMu.xml_18,将身跪在地平川。,152075652.22143576,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,157188178.27619153,0.0
lsxp-DaHeYi-SiLangTanMu.xml_19,本帅帐中用目睁，,162152905.74345198,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,163600041.484763,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,164895170.12218559,0.1
lseh-NiangZiBu-SouGuJiuGu.xml_12,无奈何我只得双（呃）膝跪，,171876583.18615708,0.1
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,173073616.3391965,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_0,此时间不可闹笑话，,176070607.1923067,0.0
lsxp-DaHeYi-SiLangTanMu.xml_5,弟兄们分别十五春，,177098086.39551917,0.0
sdxp-WoHeNi-SiLangTanMu.xml_8,我的娘押粮草来到北番。,178563669.01801091,0.2
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,184643256.98596188,0.0
lsxp-YiShiWu-YuCangJian.xml_4,恨平王无道纲常乱，,184995619.92417735,0.0
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,185655782.00642934,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,187910261.79453897,0.1
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,191281693.05961987,0.1
lsxp-CiShiJian-HuaiHeYing-1.xml_0,此时间不可闹笑话，,191466097.14711174,0.0
sdxp-WoHeNi-SiLangTanMu.xml_1,我和你好夫妻恩德不浅，,192060609.62722796,0.2
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,193126765.68102294,0.1
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,193247464.81677467,0.0
lsxp-WeiCengKai-QiYuanBao.xml_3,姓刘名安字世昌。,196380742.19999269,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,200122760.88161141,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,200369017.17593381,0.0
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,200406260.94746506,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,204334886.77035561,0.1
sdxp-DangNianHan-SanJiZhang.xml_6,句句话儿伤父心。,209010009.91161659,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,211668113.70817471,0.0
