待我来再与你重订鸳盟,0,待我来搀扶（哇）你重订鸳盟。
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,4049357.390925339,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,4050707.9246871863,0.1
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,4060742.0188141,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,4062087.5618608152,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,4069430.2087745131,0.0
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,4085564.7993071685,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,4132010.5714377142,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,4145653.362891383,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,4151241.1380605008,0.1
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,4153097.0963181723,0.1
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,4158394.3075954295,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,4175392.4332469711,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,4186717.8528693463,0.1
daxp-ZheCaiShi-SuoLinNang.xml_4,柳暗花明休啼笑，,4187096.1529915482,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,4193208.568869526,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,4194357.0516047627,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,4198206.4130815892,0.0
daxp-GuanShiYin-TianNvSanHua.xml_4,绿柳枝酒甘露三千界上，,4211978.7567026503,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,4236032.9985026475,0.2
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,4247069.9605224915,0.2
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,4261882.4005494872,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,4340610.356404461,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,4357056.2340527335,0.1
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,4369998.1190504795,0.1
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,4370542.3927112557,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,4386242.1093316227,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,4386749.8805543585,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,4399556.1126095979,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,4419815.372727707,0.2
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,4440947.9951882362,0.1
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,4457589.2591427434,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,4471890.3051944608,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,4480245.2710980168,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,4484473.110573018,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,4492155.2237788895,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,4513962.651511875,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,4537281.3895121701,0.1
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,4537282.0856572874,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,4555769.301175274,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,4596040.5859465171,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,4600734.9372385992,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,4619911.300897833,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,4623878.9867351055,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,4654181.4361263579,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,4659322.6382651851,0.1
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,4664731.5920991395,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,4669452.0636641318,0.0
daxp-GuanShiYin-TianNvSanHua.xml_5,好似我散天花就纷落十方；,4670099.5716940034,0.1
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,4675995.9964753957,0.0
